"gmtNames","gmtDriver"
"REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA","Unclear"
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION","Unclear"
"REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND","Both"
"REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Unclear"
"REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Herbivore"
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Unclear"
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE","Herbivore"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS","Unclear"
"REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT","Herbivore"
"REACTOME_SIGNALING_BY_SCF_KIT","Both"
"REACTOME_REGULATION_OF_KIT_SIGNALING","Both"
"REACTOME_REGULATION_OF_SIGNALING_BY_NODAL","Unclear"
"REACTOME_COLLAGEN_DEGRADATION","Both"
"REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE","Unclear"
"REACTOME_BETA_DEFENSINS","Unclear"
"REACTOME_DEFENSINS","Herbivore"
"REACTOME_ALPHA_DEFENSINS","Herbivore"
"REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION","Unclear"
"REACTOME_REPRODUCTION","Both"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX","Both"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","Both"
"REACTOME_COLLAGEN_FORMATION","Both"
"REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE","Herbivore"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PC","Herbivore"
"REACTOME_ACYL_CHAIN_REMODELING_OF_CL","Unclear"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS","Herbivore"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE","Herbivore"
"REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG","Unclear"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI","Herbivore"
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG","Herbivore"
"REACTOME_HYDROLYSIS_OF_LPC","Unclear"
"REACTOME_SYNTHESIS_OF_PG","Both"
"REACTOME_SYNTHESIS_OF_PA","Herbivore"
"REACTOME_SYNTHESIS_OF_PC","Unclear"
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS","Herbivore"
"REACTOME_SYNTHESIS_OF_PE","Unclear"
"REACTOME_SYNTHESIS_OF_PI","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_ER_MEMBRANE","Both"
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM","Insectivore"
"REACTOME_PI_METABOLISM","Insectivore"
"REACTOME_PHOSPHOLIPID_METABOLISM","Herbivore"
"REACTOME_DAG_AND_IP3_SIGNALING","Both"
"REACTOME_MEIOSIS","Both"
"REACTOME_CELL_CELL_COMMUNICATION","Both"
"REACTOME_SIGNALING_BY_ACTIVIN","Unclear"
"REACTOME_G0_AND_EARLY_G1","Unclear"
