	GO_Biological_Process_2023.stat	GO_Biological_Process_2023.pval	GO_Biological_Process_2023.p.adj	GO_Biological_Process_2023.num.genes	GO_Biological_Process_2023.gene.vals
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605)	-0.015417068	0.543732584	0.947741173	131	"ZNF281:299, LRP1:373, POU4F1:472, MYADM:501, ROCK2:515, NOCT:520, NOTCH1:672, TGFB1:723, WNT4:794, PRKN:795, STAT3:816, HAND2:847, DICER1:879, CILP:1023, TARDBP:5124.5, MEF2C:5124.5, BMP2:5124.5, ACVRL1:5124.5, SMAD5:5124.5, ENG:5124.5, HINFP:5124.5, NKX3-1:5124.5, YAP1:5124.5, YY1:5124.5, PSEN1:5124.5, TAF1:5124.5, TERF2:5124.5, NFKB1:5124.5, IGF1:5124.5, KDR:5124.5, CCR1:5124.5, OPRD1:5124.5, OPTN:5124.5, ID2:5124.5, CRKL:5124.5, SLC7A5:5124.5, KRT17:5124.5, NOTCH2:5124.5, DLL4:5124.5, APP:5124.5, ESR1:5124.5, HSP90AB1:5124.5, RB1:5124.5, ATOH8:5124.5, CD28:5124.5, CD3E:5124.5, INS:5124.5, PINK1:5124.5, FLCN:5124.5, SFRP2:5124.5, DIP2A:5124.5, LGMN:5124.5, ROBO1:5124.5, PDGFB:5124.5, VEGFA:5124.5, APOE:5124.5, DGKQ:5124.5, VHL:5124.5, ADAM10:5124.5, CD34:5124.5, APLNR:5124.5, GATA5:5124.5, EMILIN1:5124.5, IFNG:5124.5, EDNRB:5124.5, HIF1A:5124.5, AMH:5124.5, DDRGK1:5124.5, MMP8:5124.5, TRAT1:5124.5, FGF19:5124.5, KLF4:5124.5, HDAC1:5124.5, LDLR:5124.5, SH3GL2:5124.5, TIPARP:5124.5, NR0B2:5124.5, KDM4A:5124.5, CHD4:5124.5, PPP2CB:5124.5, LRP3:5124.5, FLOT2:5124.5, CREB3L1:5124.5, NDFIP1:5124.5, ERP29:5124.5, NDFIP2:5124.5, HAVCR2:5124.5, ZNF503:5124.5, RBL2:5124.5, PTRH2:5124.5, SMCR8:5124.5, AP1AR:5124.5, PARP14:5124.5, SFMBT2:5124.5, MYCN:5124.5, ZNF410:5124.5, NTS:5124.5, SETDB2:9179, CXCL8:9443, REL:9455, MSR1:9491, TNF:9500, STC2:9529, OVOL2:9549, MARK1:9551, PGR:9573, SMO:9636, PTPN22:9726, SIRT1:9869, ITGB8:10098, ANXA7:10176, CPNE1:10263, RBL1:10582, TTBK1:10652, MAPT:10860, PARP9:11120, ZC3H12A:11150, NOS2:11157, AURKA:11260, SETDB1:11297, EDN1:11444, DAXX:11468, WWP2:11506, PLA2G3:11521, OCLN:12149, PTH:12153, ATP2B4:12412, SORD:12462, STOX1:12509, SLC2A10:12539, DNMT1:12650"
Negative Regulation Of Macrophage Activation (GO:0043031)	0.020078042	0.802125338	0.985463696	13	"GRN:241, ZC3H12A:1585, CST7:2319, IL31RA:2705, IL4:7610.5, PTPRC:7610.5, FCGR2B:7610.5, NR1H3:7610.5, LRFN5:7610.5, NR1D1:7610.5, LDLR:7610.5, TAFA3:7610.5, CD200:12519"
Negative Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010745)	-0.092001616	0.399302092	0.939968884	7	"ITGAV:5124.5, ITGB3:5124.5, NR1H3:5124.5, ABCG1:5124.5, ADIPOQ:5124.5, PPARA:5124.5, ABCA5:5124.5"
Negative Regulation Of Macrophage Migration (GO:1905522)	-0.18975265	0.188740815	0.814887427	4	"CD200:216, EMILIN1:5124.5, SLAMF8:5124.5, C5:5124.5"
Negative Regulation Of Mast Cell Activation (GO:0033004)	0.100578774	0.546275318	0.947741173	3	"ENPP3:192, FER:7610.5, CD84:7610.5"
Negative Regulation Of Meiotic Cell Cycle (GO:0051447)	0.16377309	0.422437533	0.939968884	2	"FBXO43:1043, FBXO5:7610.5"
Negative Regulation Of Meiotic Nuclear Division (GO:0045835)	-0.054684976	0.671959858	0.962939274	5	"TRIP13:1024, ERCC4:5124.5, FBXO5:5124.5, HORMAD1:5124.5, FBXO43:11692"
Negative Regulation Of Membrane Potential (GO:0045837)	0.06657916	0.606159092	0.950426317	5	"MAPT:1875, PIP5KL1:3249, PRELID1:7610.5, HEBP2:7610.5, RNF122:7610.5"
Negative Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051045)	-0.087964459	0.49576806	0.939968884	5	"TIMP3:921, ROCK1:5124.5, TIMP1:5124.5, TIMP4:5124.5, PTPN3:9607"
Negative Regulation Of Metabolic Process (GO:0009892)	-0.035806404	0.470309491	0.939968884	34	"NOTCH1:672, ACVR2B:5124.5, MAP2K6:5124.5, ATF4:5124.5, TLR4:5124.5, IL1B:5124.5, ADAM17:5124.5, ZNF423:5124.5, RB1:5124.5, FLCN:5124.5, DOCK7:5124.5, NR1H3:5124.5, APOC2:5124.5, LNPEP:5124.5, ADIPOQ:5124.5, ACTN3:5124.5, NR1D1:5124.5, IL15:5124.5, IL18R1:5124.5, ACOT11:5124.5, CIDEA:5124.5, PLCL1:5124.5, ARRDC3:5124.5, PLCL2:5124.5, NRDC:5124.5, LGR4:5124.5, NPR3:5124.5, LAMA4:5124.5, TFE3:5124.5, STK11:9596, ADAMTS5:10284, DDIT3:10770, ACOT13:11231, ALDH1A1:12675"
Negative Regulation Of miRNA Metabolic Process (GO:2000629)	-0.015531298	0.835068161	0.988080918	15	"TGFB1:723, NFIB:1110, RELA:5124.5, TENT2:5124.5, ESR1:5124.5, NCOR2:5124.5, PDGFB:5124.5, HIF1A:5124.5, PPARA:5124.5, NCOR1:5124.5, ZNF512B:5124.5, POU5F1:9989, RARA:10438, NFATC4:10713, NFATC3:12512"
Negative Regulation Of miRNA Processing (GO:1903799)	-0.046268255	0.781355133	0.978053047	3	"STAT3:816, LIN28B:5124.5, IL6:11248"
Negative Regulation Of miRNA Transcription (GO:1902894)	-0.010062802	0.896305285	0.989743607	14	"TGFB1:723, NFIB:1110, RELA:5124.5, ESR1:5124.5, NCOR2:5124.5, PDGFB:5124.5, HIF1A:5124.5, PPARA:5124.5, NCOR1:5124.5, ZNF512B:5124.5, POU5F1:9989, RARA:10438, NFATC4:10713, NFATC3:12512"
Negative Regulation Of miRNA-mediated Gene Silencing (GO:0060965)	0.003861686	0.978660892	0.99613885	4	"POU5F1:2746, ELOB:7610.5, ELOC:7610.5, ZSWIM8:7610.5"
Negative Regulation Of Microglial Cell Activation (GO:1903979)	0.022798869	0.859865161	0.989244605	5	"GRN:241, PTPRC:7610.5, NR1D1:7610.5, LDLR:7610.5, TAFA3:7610.5"
Negative Regulation Of Microtubule Depolymerization (GO:0007026)	-0.049475512	0.480182166	0.939968884	17	"APC2:175, HDGFL3:522, ARHGEF2:1055, TAOK1:5124.5, CIB1:5124.5, CLASP1:5124.5, CLASP2:5124.5, FGF13:5124.5, CAMSAP2:5124.5, SPEF1:5124.5, KATNB1:5124.5, NAV3:5124.5, TRIM54:5124.5, ATXN7:9272, CKAP2:10352, TPX2:11831, TTBK2:12102"
Negative Regulation Of Microtubule Polymerization (GO:0031115)	-0.092699182	0.431691289	0.939968884	6	"TUBB4A:466, TBCD:5124.5, CDH5:5124.5, MAPRE1:5124.5, EML2:5124.5, MAP2:9764"
Negative Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031111)	-0.06212696	0.292341564	0.893425943	24	"APC2:175, TUBB4A:466, HDGFL3:522, ARHGEF2:1055, TAOK1:5124.5, CIB1:5124.5, CLASP1:5124.5, CLASP2:5124.5, FGF13:5124.5, TBCD:5124.5, CDH5:5124.5, MAPRE1:5124.5, CAMSAP2:5124.5, SPEF1:5124.5, KATNB1:5124.5, NAV3:5124.5, FKBP4:5124.5, TRIM54:5124.5, EML2:5124.5, ATXN7:9272, MAP2:9764, CKAP2:10352, TPX2:11831, TTBK2:12102"
Negative Regulation Of Mitochondrial Fusion (GO:0010637)	-0.144770945	0.21945137	0.814887427	6	"MUL1:769, PRKN:795, HUWE1:5124.5, SLC18A1:5124.5, TFRC:5124.5, OMA1:9832"
Negative Regulation Of Mitochondrial Membrane Permeability (GO:0035795)	-0.030007742	0.799082895	0.983969399	6	"SLC25A5:5124.5, MPV17L:5124.5, SLC25A31:5124.5, SLC35F6:5124.5, SLC25A6:5124.5, BAK1:9841"
Negative Regulation Of Mitochondrial Membrane Potential (GO:0010917)	0.06657916	0.606159092	0.950426317	5	"MAPT:1875, PIP5KL1:3249, PRELID1:7610.5, HEBP2:7610.5, RNF122:7610.5"
Negative Regulation Of Mitochondrial Outer Membrane Permeabilization Involved In Apoptotic Signaling Pathway (GO:1901029)	-0.030007742	0.799082895	0.983969399	6	"SLC25A5:5124.5, MPV17L:5124.5, SLC25A31:5124.5, SLC35F6:5124.5, SLC25A6:5124.5, BAK1:9841"
Negative Regulation Of Mitochondrion Organization (GO:0010823)	-0.071938486	0.213361382	0.814887427	25	"MUL1:769, PRKN:795, SLC25A5:5124.5, TRIAP1:5124.5, HUWE1:5124.5, IGF1:5124.5, OPA1:5124.5, PINK1:5124.5, FLCN:5124.5, GPX1:5124.5, FXN:5124.5, SLC18A1:5124.5, CLU:5124.5, GHITM:5124.5, HGF:5124.5, MPV17L:5124.5, TFRC:5124.5, PRELID1:5124.5, SLC25A31:5124.5, SLC35F6:5124.5, SLC25A6:5124.5, ADCK1:5124.5, OMA1:9832, BAK1:9841, MAPT:10860"
Negative Regulation Of Mitotic Cell Cycle (GO:0045930)	-0.09776842	0.112579633	0.749979465	22	"CHEK1:382, TRIM35:711, SCRIB:802, CTNNB1:906, ZFP36L1:5124.5, ZFP36L2:5124.5, IL10:5124.5, BCL6:5124.5, CDKN1B:5124.5, SLC9A3R1:5124.5, TOM1L1:5124.5, FOXC1:5124.5, GAS1:5124.5, BRINP3:5124.5, CHFR:5124.5, HECA:5124.5, BTG1:5124.5, TOM1L2:5124.5, AURKAIP1:5124.5, PTPN3:9607, BTG4:10073, ZWINT:12012"
Negative Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901991)	0.083642069	0.113077128	0.750710482	30	"GFI1B:317, WEE1:539, DACT1:602, PKD2:621, PINX1:1144, USP44:1312, KANK2:1411, RBL1:2153, MYO16:2318, GPNMB:2541, USP47:2632, APC:3412, ZFP36L1:7610.5, ZFP36L2:7610.5, CDKN1A:7610.5, FBXO5:7610.5, E2F7:7610.5, CDC73:7610.5, GPR132:7610.5, RB1:7610.5, DLG1:7610.5, JADE1:7610.5, KLF4:7610.5, BRD7:7610.5, PRMT2:7610.5, RBL2:7610.5, CDK2AP2:7610.5, CRLF3:7610.5, AVEN:7610.5, PTEN:12584"
Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	0.084694824	0.151143327	0.814887427	24	"ZWILCH:406, BUB1B:426, ZWINT:723, USP44:1312, ATM:2005, BUB1:2008, SPC24:2216, TPR:2591, KNTC1:3006, MAD2L2:3174, FBXO5:7610.5, PLK1:7610.5, ZW10:7610.5, IK:7610.5, NUF2:7610.5, MAD1L1:7610.5, NDC80:7610.5, KLHL22:7610.5, TEX14:7610.5, SPC25:7610.5, TTK:7610.5, HASPIN:7610.5, BUB3:7610.5, TRIP13:11711"
Negative Regulation Of Mitotic Nuclear Division (GO:0045839)	-0.068861066	0.593871588	0.94895479	5	"CHEK1:382, FBXO5:5124.5, TOM1L1:5124.5, TOM1L2:5124.5, USP44:11423"
Negative Regulation Of Monoatomic Ion Transport (GO:0043271)	0.044027113	0.582655573	0.947791985	13	"INPP5K:8, NEDD4:629, ADRA2A:732, WNK4:1128, PXK:2851, HTR1B:7610.5, VIP:7610.5, CAV3:7610.5, NOS1:7610.5, CASQ2:7610.5, PACSIN3:7610.5, HRH3:12409, PTK2B:12672"
Negative Regulation Of Monocyte Chemotaxis (GO:0090027)	-0.091973751	0.52409093	0.939968884	4	"SLIT2:5124.5, GREM1:5124.5, SLAMF8:5124.5, NBL1:5124.5"
Negative Regulation Of Mononuclear Cell Migration (GO:0071676)	-0.028767637	0.792124143	0.981429936	7	"PLCB1:5124.5, CCN3:5124.5, SLIT2:5124.5, GREM1:5124.5, SLAMF8:5124.5, NBL1:5124.5, MIA3:10769"
Negative Regulation Of Monooxygenase Activity (GO:0032769)	0.098727787	0.444563018	0.939968884	5	"CYP27B1:1415, GFI1:1610, NFKB1:7610.5, CAV3:7610.5, GLA:7610.5"
Negative Regulation Of Morphogenesis Of An Epithelium (GO:1905331)	0.110440226	0.392436394	0.939968884	5	"TNF:3235, SULF1:3319, TACSTD2:3435, TBX2:7610.5, NKD1:7610.5"
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	-0.001885135	0.933122023	0.989743607	168	"PTEN:151, KLF7:254, PTPN23:343, TNNT1:406, RPS6KA6:419, WWC3:563, PTGER4:615, NOTCH1:672, SAP30L:828, APOA1:868, NFIB:1110, PARP1:5124.5, IL10:5124.5, IL4:5124.5, MEF2C:5124.5, HDAC9:5124.5, FCGR2B:5124.5, GAS6:5124.5, ACVR2B:5124.5, BMP2:5124.5, SMAD6:5124.5, NODAL:5124.5, NKX3-1:5124.5, ING2:5124.5, MAP2K6:5124.5, ATF4:5124.5, CALR:5124.5, EGFR:5124.5, DAB2IP:5124.5, TLR4:5124.5, IL1B:5124.5, ADAM17:5124.5, ZNF423:5124.5, SF3B3:5124.5, SRSF6:5124.5, SLC11A1:5124.5, RB1:5124.5, INS:5124.5, SHH:5124.5, BTN2A2:5124.5, FLCN:5124.5, WNT9B:5124.5, SFRP2:5124.5, EVL:5124.5, DOCK7:5124.5, ROBO1:5124.5, ACVR1C:5124.5, APOA2:5124.5, NR1H3:5124.5, ADM:5124.5, FOXA2:5124.5, TIFAB:5124.5, HOXA7:5124.5, NEUROG1:5124.5, LNPEP:5124.5, EMILIN1:5124.5, GRHL2:5124.5, TREM2:5124.5, IFNG:5124.5, OGT:5124.5, PON1:5124.5, IFNGR1:5124.5, PTPRO:5124.5, RPS6KA5:5124.5, PTCH1:5124.5, ADIPOQ:5124.5, FFAR4:5124.5, NPTN:5124.5, TRPV3:5124.5, MYOCD:5124.5, DKK1:5124.5, ACTN3:5124.5, DLX1:5124.5, TIMP1:5124.5, N4BP1:5124.5, RAB11FIP5:5124.5, CRHBP:5124.5, AGER:5124.5, NR1D1:5124.5, HDAC1:5124.5, RPS6KA4:5124.5, IL15:5124.5, CYP51A1:5124.5, HMGCR:5124.5, APOM:5124.5, CHSY1:5124.5, SUDS3:5124.5, FOXA1:5124.5, HDAC2:5124.5, LOXL2:5124.5, IL18R1:5124.5, PPP1R11:5124.5, SLAMF8:5124.5, DUSP10:5124.5, RAB11FIP3:5124.5, SRGN:5124.5, ZNF750:5124.5, ACOT11:5124.5, BRMS1L:5124.5, BRMS1:5124.5, IL13:5124.5, KREMEN2:5124.5, CIDEA:5124.5, SPX:5124.5, PHF14:5124.5, WWC1:5124.5, WWC2:5124.5, SINHCAF:5124.5, SPRED3:5124.5, LRPAP1:5124.5, PFN2:5124.5, IL17RD:5124.5, VASN:5124.5, PROCR:5124.5, PLCL1:5124.5, ARRDC3:5124.5, PLCL2:5124.5, NRDC:5124.5, LGR4:5124.5, NPR3:5124.5, LAMA4:5124.5, TFE3:5124.5, ELAPOR2:5124.5, NPVF:5124.5, GDF15:9211, F2R:9258, SPRY1:9280, TACSTD2:9300, BRCA2:9456, TNF:9500, NR1H4:9522, OVOL2:9549, MARK1:9551, MAD2L2:9561, LRP4:9563, STK11:9596, SDHAF2:9603, MCC:9631, TBX18:9639, BMPR2:9716, PTPRR:9780, GPNMB:10194, ADAMTS5:10284, ALPK2:10363, TBX5:10389, HS3ST6:10442, APOA4:10709, SLC6A4:10738, DDIT3:10770, PTPRG:10980, BBS2:11107, NLRP12:11162, ACOT13:11231, SFMBT1:11339, CORO1C:11341, FOXP3:11514, ARID4A:11586, USF3:11627, PROC:11636, EFNA1:11723, HPN:11749, ARID4B:11934, TMEM53:12006, ATP2B4:12412, GRN:12494, ALDH1A1:12675, RAB11FIP1:12682, TET1:12728"
Negative Regulation Of Muscle Cell Apoptotic Process (GO:0010656)	-0.024670341	0.821188879	0.988080918	7	"IGF1:5124.5, APOH:5124.5, BAG3:5124.5, GRIA4:5124.5, LYPD3:5124.5, DIPK2A:5124.5, ZC3H12A:11150"
Negative Regulation Of Muscle Cell Differentiation (GO:0051148)	0.005008078	0.969065267	0.99613885	5	"ZBED6:1407, ID2:7610.5, FOXO4:7610.5, TCF23:7610.5, PTBP1:7610.5"
Negative Regulation Of Muscle Hypertrophy (GO:0014741)	-0.063448787	0.590445449	0.948103722	6	"NOTCH1:672, GLRX3:855, SMAD4:5124.5, CAV3:5124.5, P2RX4:9429, MLIP:11844"
Negative Regulation Of Myeloid Cell Apoptotic Process (GO:0033033)	0.026022211	0.856962839	0.989164808	4	"EPO:1576, IRF7:7610.5, SELENOS:7610.5, NOD2:7610.5"
Negative Regulation Of Myeloid Cell Differentiation (GO:0045638)	-0.118189629	0.101781363	0.728890269	16	"PTK2B:63, HOXB8:797, ZFP36L1:5124.5, ZFP36:5124.5, CIB1:5124.5, PEX2:5124.5, CTR9:5124.5, LEO1:5124.5, CDK6:5124.5, PF4:5124.5, HOXA5:5124.5, ZBTB16:5124.5, MEIS2:5124.5, MEIS1:5124.5, MAFB:5124.5, MYB:9289"
Negative Regulation Of Myeloid Leukocyte Differentiation (GO:0002762)	-0.10068637	0.139310871	0.806056087	18	"GPR55:29, MYC:324, TNFAIP6:700, IL4:5124.5, CDK6:5124.5, TLR4:5124.5, TLR3:5124.5, INHA:5124.5, APCS:5124.5, HOXA7:5124.5, LRRC17:5124.5, FBN1:5124.5, C1QC:5124.5, MAFB:5124.5, GPR137B:5124.5, GPR137:5124.5, RARA:10438, PTPN2:12411"
Negative Regulation Of Myeloid Leukocyte Mediated Immunity (GO:0002887)	-0.091955183	0.652408806	0.955504398	2	"CD84:5124.5, CX3CR1:5124.5"
Negative Regulation Of Myoblast Differentiation (GO:0045662)	-0.238840638	0.028660362	0.627203235	7	"NOTCH1:672, TGFB1:723, DLL1:1013, SOX4:5124.5, PRICKLE1:5124.5, SOX8:5124.5, TBX3:5124.5"
Negative Regulation Of Myotube Differentiation (GO:0010832)	0.005693869	0.955530643	0.993274113	8	"BHLHE41:2139, XBP1:2751, BHLHA15:2940, HDAC5:7610.5, CCN3:7610.5, HDAC3:7610.5, HDAC1:7610.5, HDAC4:12617"
Negative Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)	0.020742909	0.91907124	0.989743607	2	"CLEC12B:237, TGFB1:12012"
Negative Regulation Of Necroptotic Process (GO:0060546)	-0.14576391	0.216305872	0.814887427	6	"ARHGEF2:1055, YBX3:5124.5, CASP8:5124.5, BIRC2:5124.5, BIRC3:5124.5, RIPK1:5124.5"
Negative Regulation Of Nervous System Development (GO:0051961)	0.010098896	0.895935465	0.989743607	14	"MBD1:1264, IL6:1487, TLR2:1697, TNF:3235, SORL1:7610.5, IL1B:7610.5, WNT7A:7610.5, B2M:7610.5, ROBO2:7610.5, SLIT1:7610.5, PAX6:7610.5, DYNLT1:7610.5, ELAPOR2:7610.5, NOTCH1:12063"
Negative Regulation Of Nervous System Process (GO:0031645)	-0.243497577	0.059355208	0.679125738	5	"TMEM98:195, JAM2:531, EIF2AK3:5124.5, TNFRSF21:5124.5, GLRA1:5124.5"
Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178)	-0.091973751	0.52409093	0.939968884	4	"NF1:5124.5, SIRT2:5124.5, WNT5A:5124.5, KDM2B:5124.5"
Negative Regulation Of Neurogenesis (GO:0050768)	-0.033861955	0.609499441	0.950772434	19	"PTEN:151, GDI1:384, NOTCH1:672, SORL1:5124.5, IL1B:5124.5, NF1:5124.5, THY1:5124.5, WNT7A:5124.5, RUFY3:5124.5, YWHAH:5124.5, B2M:5124.5, PAX6:5124.5, DYNLT1:5124.5, MCF2:5124.5, TNF:9500, LRP4:9563, IL6:11248, MBD1:11471, RAPGEF2:12337"
Negative Regulation Of Neuroinflammatory Response (GO:0150079)	0.052166886	0.56790315	0.947741173	10	"GRN:241, TNFRSF1B:1852, CST7:2319, IL4:7610.5, PTPRC:7610.5, IGF1:7610.5, TREM2:7610.5, NR1D1:7610.5, LDLR:7610.5, TAFA3:7610.5"
Negative Regulation Of Neuron Apoptotic Process (GO:0043524)	-0.064668997	0.107156735	0.744552164	52	"PTK2B:63, POU4F1:472, PRKN:795, WFS1:925, TOX3:1058, MSH2:5124.5, MEF2C:5124.5, LIG4:5124.5, PPARGC1A:5124.5, CLN3:5124.5, ZPR1:5124.5, GDNF:5124.5, KIF14:5124.5, PINK1:5124.5, AGAP2:5124.5, LGMN:5124.5, PPT1:5124.5, APOE:5124.5, NDNF:5124.5, SOD1:5124.5, CX3CR1:5124.5, TYRO3:5124.5, SOD2:5124.5, CLU:5124.5, ERBB3:5124.5, FOXB1:5124.5, CNTF:5124.5, NTRK1:5124.5, UNC5B:5124.5, SEMA3E:5124.5, HIF1A:5124.5, RASA1:5124.5, SIX1:5124.5, KDM2B:5124.5, MAG:5124.5, SNX6:5124.5, IL6ST:5124.5, FGF20:5124.5, NTRK2:5124.5, NGF:5124.5, PTPRZ1:5124.5, CNTFR:5124.5, NRBP2:5124.5, NONO:5124.5, RETREG1:5124.5, F2R:9258, BDNF:9714, NFATC4:10713, SIX4:11175, PLA2G3:11521, IL27RA:11982, GRN:12494"
Negative Regulation Of Neuron Death (GO:1901215)	-0.052754325	0.154787544	0.814887427	61	"TRAF2:55, PTK2B:63, CD200:216, POU4F1:472, PRKN:795, WFS1:925, TOX3:1058, MSH2:5124.5, MEF2C:5124.5, LIG4:5124.5, HTRA2:5124.5, ATF4:5124.5, PPARGC1A:5124.5, CDK5:5124.5, CLN3:5124.5, SORL1:5124.5, GDNF:5124.5, KIF14:5124.5, PINK1:5124.5, VPS35:5124.5, AGAP2:5124.5, LGMN:5124.5, PPT1:5124.5, APOE:5124.5, NDNF:5124.5, SOD1:5124.5, TYRO3:5124.5, SOD2:5124.5, CLU:5124.5, ERBB3:5124.5, FOXB1:5124.5, CNTF:5124.5, NTRK1:5124.5, UNC5B:5124.5, SEMA3E:5124.5, RASA1:5124.5, SIX1:5124.5, KDM2B:5124.5, EIF4G1:5124.5, MAG:5124.5, SNX6:5124.5, IL6ST:5124.5, FGF20:5124.5, NTRK2:5124.5, NGF:5124.5, PTPRZ1:5124.5, CNTFR:5124.5, CSF1:5124.5, NRBP2:5124.5, RETREG1:5124.5, F2R:9258, BDNF:9714, FBXO7:10150, GPNMB:10194, NFATC4:10713, TNFRSF1B:10883, SIX4:11175, PLA2G3:11521, ATP13A2:11842, IL27RA:11982, GRN:12494"
Negative Regulation Of Neuron Differentiation (GO:0045665)	-0.107142136	0.240783085	0.832740471	10	"CNTN4:70, DLL1:1013, DTX1:5124.5, CALR:5124.5, HES1:5124.5, MED1:5124.5, B2M:5124.5, DLX1:5124.5, DISP3:5124.5, NEPRO:12537"
Negative Regulation Of Neuron Migration (GO:2001223)	-0.091964466	0.58117075	0.947741173	3	"TNN:5124.5, COL3A1:5124.5, NEXMIF:5124.5"
Negative Regulation Of Neuron Projection Development (GO:0010977)	-0.074992334	0.114760093	0.754735032	37	"PTEN:151, GDI1:384, BAG5:403, MINAR1:691, TNR:951, GAK:977, CIB1:5124.5, THY1:5124.5, TRPV4:5124.5, RUFY3:5124.5, NGEF:5124.5, APOE:5124.5, ADCY6:5124.5, SEMA3A:5124.5, RTN4RL1:5124.5, DCC:5124.5, PTPRO:5124.5, TSKU:5124.5, MAG:5124.5, SPOCK1:5124.5, HDAC2:5124.5, KANK1:5124.5, KIAA0319:5124.5, MYLIP:5124.5, CBFA2T2:5124.5, RTN4R:5124.5, MCF2:5124.5, FKBP4:5124.5, PRAG1:5124.5, CRMP1:5124.5, BCL11A:9152, ZNF365:9263, LRP4:9563, DENND5A:9878, PTPRS:10786, GFI1:11125, EFNA1:11723"
Negative Regulation Of Neuron Projection Regeneration (GO:0070571)	-0.003170436	0.980413377	0.99613885	5	"THY1:5124.5, RTN4RL1:5124.5, OCRL:5124.5, RTN4R:5124.5, PTPRS:10786"
Negative Regulation Of Nitric Oxide Biosynthetic Process (GO:0045019)	0.055073195	0.702860447	0.970801259	4	"PTGIS:1429, ZC3H12A:1585, GLA:7610.5, ROCK2:12220"
Negative Regulation Of Nitric Oxide Metabolic Process (GO:1904406)	0.055073195	0.702860447	0.970801259	4	"PTGIS:1429, ZC3H12A:1585, GLA:7610.5, ROCK2:12220"
Negative Regulation Of Nitrogen Compound Metabolic Process (GO:0051172)	-0.016767677	0.861734323	0.989244605	9	"TGFB1:723, NFKB1:5124.5, HSP90AB1:5124.5, APOE:5124.5, EDNRB:5124.5, LDLR:5124.5, CLTC:5124.5, EDN1:11444, ACMSD:11944"
Negative Regulation Of Nuclear Division (GO:0051784)	-0.069558046	0.555183204	0.947741173	6	"CHEK1:382, FBXO5:5124.5, TOM1L1:5124.5, DMRT1:5124.5, TOM1L2:5124.5, FBXO43:11692"
"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900152)"	-0.137865366	0.206572348	0.814887427	7	"TENT4A:1076, DHX9:5124.5, YBX1:5124.5, IGF2BP1:5124.5, PABPC1:5124.5, HNRNPD:5124.5, TENT4B:5124.5"
"Negative Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Nonsense-Mediated Decay (GO:2000623)"	0.076115486	0.64795805	0.955504398	3	"DHX34:1145, PABPC1:7610.5, APOBEC1:7610.5"
