	stat	pval	p.adj	num.genes	gene.vals	Directionality	DirectionalityNumeric
REACTOME_OPIOID_SIGNALLING	-0.117410489	0.002020171	0.025650477	58	"PRKCG:5, CAMK2B:10, ADCY1:11, NBEA:64, ITPR1:76, CAMK2D:339, GNB3:663, ADCY9:751, ADCY2:901, PPP2R5D:1081, GNAT3:1261, GRK2:1272, PDE1B:1343, PRKCA:1524, CAMKK2:1525, ADCY8:1624, GNA14:1733, ADCY3:2148, GNB5:2158, PRKAR1B:2273, PPP2R1B:2431, PPP3R1:7062, PRKAR2B:7062, GNA15:7062, PRKACA:7062, PRKAR1A:7062, PRKAR2A:7062, PDE1A:7062, PLA2G4A:7062, ITPR2:7062, PRKACB:7062, CAMKK1:7062, CAMK2A:7062, PDYN:7062, PLCB4:7062, OPRM1:7062, PDE4D:7062, ADCY7:7062, PPP1R1B:7062, PLCB2:7062, GNAL:7062, CAMK2G:7062, PLCB3:7062, PDE1C:7062, PPP1CA:7062, ADCY5:7062, ADCY6:7062, KPNA2:7062, PLCB1:7062, PRKX:7062, PDE4B:7062, ITPR3:12481, PRKCD:12881, CAMK4:13232, PDE4C:13913, PDE4A:13983, PPP3CC:14276, ADCY4:14955"	Both	3
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	-0.15845254	0.023767144	0.122785561	17	"ADCY1:11, NBEA:64, ADCY9:751, ADCY2:901, ADCY8:1624, ADCY3:2148, PRKAR1B:2273, PRKAR2B:7062, PRKACA:7062, PRKAR1A:7062, PRKAR2A:7062, PRKACB:7062, ADCY7:7062, ADCY5:7062, ADCY6:7062, PRKX:7062, ADCY4:14955"	Both	3
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	-0.136182735	0.182321794	0.404337263	8	"CAMK2B:10, CAMK2D:339, CAMKK2:1525, CAMKK1:7062, CAMK2A:7062, CAMK2G:7062, KPNA2:7062, CAMK4:13232"	Both	3
REACTOME_CA_DEPENDENT_EVENTS	-0.158343979	0.001660866	0.022685916	33	"PRKCG:5, CAMK2B:10, ADCY1:11, NBEA:64, CAMK2D:339, ADCY9:751, ADCY2:901, GRK2:1272, PDE1B:1343, PRKCA:1524, CAMKK2:1525, ADCY8:1624, ADCY3:2148, PRKAR1B:2273, PRKAR2B:7062, PRKACA:7062, PRKAR1A:7062, PRKAR2A:7062, PDE1A:7062, PLA2G4A:7062, PRKACB:7062, CAMKK1:7062, CAMK2A:7062, ADCY7:7062, CAMK2G:7062, PDE1C:7062, ADCY5:7062, ADCY6:7062, KPNA2:7062, PRKX:7062, PRKCD:12881, CAMK4:13232, ADCY4:14955"	Both	3
REACTOME_G_PROTEIN_MEDIATED_EVENTS	-0.144585772	0.000919894	0.015500641	44	"PRKCG:5, CAMK2B:10, ADCY1:11, NBEA:64, ITPR1:76, CAMK2D:339, ADCY9:751, ADCY2:901, GNAT3:1261, GRK2:1272, PDE1B:1343, PRKCA:1524, CAMKK2:1525, ADCY8:1624, GNA14:1733, ADCY3:2148, PRKAR1B:2273, PRKAR2B:7062, GNA15:7062, PRKACA:7062, PRKAR1A:7062, PRKAR2A:7062, PDE1A:7062, PLA2G4A:7062, ITPR2:7062, PRKACB:7062, CAMKK1:7062, CAMK2A:7062, PLCB4:7062, ADCY7:7062, PLCB2:7062, GNAL:7062, CAMK2G:7062, PLCB3:7062, PDE1C:7062, ADCY5:7062, ADCY6:7062, KPNA2:7062, PLCB1:7062, PRKX:7062, ITPR3:12481, PRKCD:12881, CAMK4:13232, ADCY4:14955"	Both	3
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS	-0.236658075	0.066872563	0.23097937	5	"GJC1:1348, PANX2:1467, GJD2:2439, PANX1:7062, GJA10:7062"	Unclear	3
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	-0.180724378	0.047870465	0.189277301	10	"CACNB2:533, CACNA1B:536, CACNG4:665, CACNB4:1652, CACNA1E:2271, CACNA2D2:7062, CACNB1:7062, CACNA2D3:7062, CACNB3:7062, CACNA1A:13631"	Unclear	3
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	-0.016639336	0.709407749	0.87029154	42	"SYT1:120, SLC32A1:262, DNAJC5:380, SLC17A7:504, SLC18A2:877, SNAP25:1005, SYN3:2287, TSPOAP1:7062, SYN1:7062, SLC6A13:7062, CHAT:7062, SLC1A3:7062, RIMS1:7062, SLC1A6:7062, STX1A:7062, APBA1:7062, SLC1A2:7062, GLS:7062, SLC5A7:7062, GAD1:7062, SLC6A11:7062, SLC38A2:7062, NAAA:7062, PPFIA2:7062, PPFIA4:7062, ARL6IP5:7062, LIN7C:7062, SLC6A1:7062, SYN2:7062, SLC1A7:7062, SLC22A1:7062, PPFIA3:7062, SLC18A3:7062, UNC13B:7062, SLC22A2:12281, MAOA:12453, GAD2:12457, ABAT:12652, ALDH5A1:12946, GLS2:14324, SLC1A1:14479, SLC6A12:14920"	Herbivore	1
REACTOME_NEUROTRANSMITTER_CLEARANCE	0.09599686	0.293283866	0.536843463	10	"COMT:328, MAOA:2653, SLC22A2:2825, SLC22A1:8044, ACHE:8044, SLC6A4:8044, ALDH2:8044, BCHE:8044, SLC6A3:8044, LRTOMT:8044"	Herbivore	1
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	-0.138942501	1.80E-09	6.51E-07	159	"PRKCG:5, CAMK2B:10, ADCY1:11, GABRR1:20, KCNJ9:60, NBEA:64, RPS6KA2:115, CHRNA4:152, GRIK1:157, KCNJ12:236, CAMK2D:339, GRIK3:352, GABRG3:359, AP2A2:372, KCNJ6:415, TUBA4A:420, GABRB3:485, GRIN2B:490, GRIN2A:572, GRIK2:646, GNB3:663, CACNG4:665, TUBA1B:702, GABBR1:708, ADCY9:751, GRIN1:826, KCNJ5:833, DLG3:843, GLRA3:896, ADCY2:901, GABRR3:902, KCNJ3:1077, ACTN2:1229, NSF:1233, GNAT3:1261, GABRA5:1416, PRKAB2:1425, GABRG2:1459, TUBB2A:1503, PRKCA:1524, CAMKK2:1525, CHRNA3:1551, PRKAA1:1558, RPS6KA6:1580, CHRNB2:1619, ADCY8:1624, NPTN:1654, GABRQ:1715, TUBA8:1763, PRKAG2:1919, GLRA2:2050, GABRB2:2120, ADCY3:2148, GNB5:2158, DLG2:2186, DLG4:2220, PRKAR1B:2273, GLRA1:2288, TUBB4A:2317, RASGRF1:2335, CHRND:2550, GRIK5:2633, MAPK3:7062, MAPT:7062, PRKAR2B:7062, PRKACA:7062, PICK1:7062, TUBB1:7062, PRKAR1A:7062, PRKAR2A:7062, TUBB2B:7062, PDPK1:7062, PRKACB:7062, TSPAN7:7062, PRKCB:7062, TUBA1A:7062, TUBAL3:7062, TUBB4B:7062, SRC:7062, CAMKK1:7062, CAMK2A:7062, ADCY7:7062, PLCB2:7062, GNAL:7062, CAMK2G:7062, PLCB3:7062, ADCY5:7062, ADCY6:7062, KPNA2:7062, PLCB1:7062, PRKX:7062, APBA1:7062, LIN7C:7062, GABRA3:7062, GABRA1:7062, LRRC7:7062, DLG1:7062, EPB41L1:7062, GRIN2D:7062, GIT1:7062, CHRNE:7062, GABRA4:7062, GLRB:7062, PRKAB1:7062, GABRR2:7062, RASGRF2:7062, KIF17:7062, RPS6KA1:7062, CHRNB4:7062, GRIA2:7062, CHRNA2:7062, KCNJ2:7062, GRIA3:7062, ARHGEF9:7062, MDM2:7062, GABBR2:7062, CHRNA1:7062, CACNG8:7062, GABRA6:7062, CHRNB3:7062, HTR3B:7062, GABRA2:7062, GRIA4:7062, GRIA1:7062, GRIP1:7062, AP2M1:7062, GRIN2C:7062, PRKAA2:7062, GABRB1:7062, HTR3A:7062, KCNJ4:7062, CHRNA5:7062, CHRNA9:7062, PPM1E:7062, CHRNA7:7062, KCNJ10:7062, ERBB4:7062, PRKAG1:7062, CHRNG:7062, AP2A1:7062, GRIN3A:7062, NEFL:7062, CAMK1:11528, MYO6:11773, PPM1F:11918, NCALD:12212, TUBB8B:12217, TUBB8:12220, KCNJ15:12823, NRG1:13151, CAMK4:13232, KCNJ16:13393, GRIN3B:13517, GRIP2:13545, HTR3D:13558, ARHGEF7:14361, CHRNA6:14847, ADCY4:14955, HTR3C:14964"	Both	3
