"","names.currentPhenotypeVector.","names.currentCommonPhenotypeVector.","currentPhenotypeVector"
"vs_HLpsaObe1","vs_HLpsaObe1","Fat sand rat","Herbivore"
"vs_ptePar1","vs_ptePar1","Mustache Bat","Insectivore"
"vs_HLpteBra1","vs_HLpteBra1","Giant Otter","Vertivore"
"vs_HLpygNem1","vs_HLpygNem1","Douc Langur","Herbivore"
"vs_HLratNor7","vs_HLratNor7","Rat","Omnivore"
"vs_HLrhiSin1","vs_HLrhiSin1","Horseshoe Bats","Omnivore"
"vs_HLrouAeg4","vs_HLrouAeg4","Rousette Fruit Bats","Herbivore"
"vs_HLsagImp1","vs_HLsagImp1","Long-tusked Tamarins","Omnivore"
"vs_HLsaiBol1","vs_HLsaiBol1","Squirrel monkey","Omnivore"
"vs_HLsarHar2","vs_HLsarHar2","Tasmanian devil","Omnivore"
"vs_HLscaAqu1","vs_HLscaAqu1","Eastern American Mole","Insectivore"
"vs_HLsigHis1","vs_HLsigHis1","Cotton Rat","Omnivore"
"vs_HLsolPar1","vs_HLsolPar1","Solenodons","Omnivore"
"vs_sorAra2","vs_sorAra2","Shrew","Omnivore"
"vs_susScr11","vs_susScr11","Pig","Omnivore"
"vs_HLtadBra1","vs_HLtadBra1","Free-tailed Bats","Insectivore"
"vs_HLtapInd1","vs_HLtapInd1","Malayan Tapir","Herbivore"
"vs_HLtonSau1","vs_HLtonSau1","Round-eared Bats","Insectivore"
"vs_HLtraJav1","vs_HLtraJav1","Asiatic Mouse Deer","Herbivore"
"vs_HLturTru3","vs_HLturTru3","Bottle-nose Dolphin","Vertivore"
"vs_HLuroGra1","vs_HLuroGra1","Asiatic Shrew Mole (Sichuan and Yunnan)","Insectivore"
"vs_HLvulLag1","vs_HLvulLag1","Arctic Fox","Vertivore"
"vs_HLxerIna1","vs_HLxerIna1","African Ground Squirrel","Omnivore"
"vs_HLzapHud1","vs_HLzapHud1","Jumping Mouse","Omnivore"
"vs_HLzipCav1","vs_HLzipCav1","Goose-beaked Whale","Insectivore"
"vs_HLacoRus1","vs_HLacoRus1","Golden spiny mouse","Omnivore"
"vs_HLaepMel1","vs_HLaepMel1","Impala","Herbivore"
"vs_HLantFla1","vs_HLantFla1","Yellow-footed antechinus","Insectivore"
"vs_HLantMar1","vs_HLantMar1","Springbok","Herbivore"
"vs_HLapoSyl1","vs_HLapoSyl1","Wood mouse","Omnivore"
"vs_HLarcGaz2","vs_HLarcGaz2","Antarctic fur seal","Insectivore"
"vs_HLarvNil1","vs_HLarvNil1","African grass rat","Herbivore"
"vs_HLaxiPor1","vs_HLaxiPor1","Indian hog deer","Herbivore"
"vs_HLbalMys1","vs_HLbalMys1","Bowhead whale","Insectivore"
"vs_HLbalMus1","vs_HLbalMus1","Blue whale","Insectivore"
"vs_HLbasSum1","vs_HLbasSum1","Cacomistle","Omnivore"
"vs_HLbosFro1","vs_HLbosFro1","Gayal","Herbivore"
"vs_HLcalPym1","vs_HLcalPym1","Pygmy Marmoset","Omnivore"
"vs_HLcapPyg1","vs_HLcapPyg1","Siberian roe deer","Herbivore"
