"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"FNDC8",1.44429455391477,-0.464346248447645,0.762956553776661,0.891936822483552,0.642399694010567,0.445489306784128,1,0.859677013279956,0.712072637868397,"DoubleBoth",4
"ACAP1",-2.28861089156482,0.378437869228902,-1.84919232368326,0.132611823061902,0.705105340708979,0.0644300467765489,1,0.887690824471088,0.289284015015753,"DoubleBoth",4
"DERL2",NA,-1.3473244848429,NA,NA,0.177875749677153,NA,NA,0.490338099747785,NA,"MissingData",5
"NOX3",-0.786321345701872,1.60057439793702,0.201355086977224,1,0.109471216545267,0.840420931320076,1,0.388233478409036,0.936934974678691,"Insectivore",1
"ANO8",1.58160100016096,1.24720368109521,2.65545531783827,0.682444113372065,0.21232282351938,0.00792014252503928,1,0.535862418936787,0.105222802247971,"Vertivore",2
"ICAM3",-1.20724273638473,1.68302270693678,0.16068706703603,1,0.0923706957732041,0.872339876071875,1,0.357130516246042,0.951432762207427,"Insectivore",1
"CTTNBP2",0.959495857997118,-0.330324409927841,0.891230988355107,1,0.741154850663041,0.372805263079421,1,0.903174382907929,0.654981639005972,"Both",3
"ACTL6B",NA,0.404107628121833,NA,NA,0.686133575817705,NA,NA,0.878409219684795,NA,"MissingData",5
"KIF22",0.318569372327123,1.02781618050675,1.24741669503354,1,0.30403630355806,0.212244748129444,1,0.629711786911909,0.502546586572679,"Unclear",0
"PRSS22",-0.66916789317419,1.06393117465541,-0.725487571436316,1,0.287359879308471,0.468152966848049,1,0.613791842514178,0.728816987350333,"Unclear",0
"YTHDC2",1.80280682387375,-2.53513784756044,0.0738686019476485,0.428511348755922,0.0112403084914348,0.941114939586889,1,0.122360080817775,0.977956659616124,"Insectivore",1
"TMEM161A",-0.102726834290919,2.33248400230782,1.33186384683177,1,0.0196752435451872,0.18290493298402,1,0.164432478044312,0.468932940731786,"Insectivore",1
"FOXJ2",-1.42211664008688,2.03073981459694,-0.46729333086234,0.929954357365887,0.0422813952045066,0.640290027264493,1,0.242850307117275,0.840001786832528,"Insectivore",1
"GOLGA5",-2.78833953751095,0.977097431311843,-2.7672741047099,0.031787391304404,0.328520919330895,0.00565272052204214,0.50691207007678,0.65074707919882,0.090136538004048,"Both",3
"PPP2R5B",0.461789405697319,-0.0969753084629902,0.436660125014098,1,0.922746003004432,0.662357851553595,1,0.974300164637596,0.85144404773779,"Both",3
