,Rho,N,P,p.adj
MRPS34,0.00192132035000415,267,0.774501558740644,0.873716011912653
MAP2K5,0.000500000680575437,227,0.945066411814789,0.971746373557127
TIGAR,0.0670835635469092,293,5.57741377138395e-05,0.00211885243173133
FGF20,0.0161813775057978,185,0.225668824999153,0.431441761745099
MTMR7,0.0126134633751162,277,0.175404955694972,0.371349712917431
CPB2,0.00966227227406331,339,0.195357510016511,0.395565348172684
FAM107B,0.0294645741069482,307,0.0110195992858608,0.0687212005444513
CDK13,0.00138311588034017,289,0.81941165776898,0.901238758194571
TSPAN32,0.00588530412409618,263,0.462561924465225,0.652145685616147
TRAM2,0.0413510994234796,256,0.00513197257330582,0.0425471715110647
CLDN18,0.0423283500619445,289,0.00225347364978376,0.0248827267024688
NDUFB4,0.0625722552239937,276,0.00018342859517717,0.00471323544388462
HEATR6,0.0378796259400114,324,0.0022038276503678,0.024514927888376
ERLEC1,0.0189465549041579,248,0.0963373166905786,0.262461469545901
TMEM131,0.00474489683540875,337,0.450614681974664,0.641731414796603
TMEM38A,0.0206272542252487,243,0.0824224225091062,0.239139766467836
ACTR6,NA,NA,NA,NA
FAP,0.00520034805737311,319,0.437422670862045,0.631697103161952
DMRT3,0.0155282004744384,250,0.144675647053824,0.332516887684129
GAL3ST2,0.0162279897367057,235,0.149766959068332,0.339820489606543
UHRF1BP1,0.0349422829040419,338,0.00277314099127152,0.0282665639849245
OSTM1,0.0496481609255819,276,0.00108451529202397,0.0152841634865212
SLC13A1,0.0115321463073002,346,0.136791797141249,0.32129807274386
HSPB11,0.0164779055759613,261,0.117404772021109,0.294673024162097
STRADB,0.0195640150012055,295,0.0563648126040715,0.189771231307314
DLG3,0.0258434484947231,240,0.0455797338156368,0.166603707246086
PLOD1,0.00515570259588198,328,0.430435679791493,0.625338155770272
OXCT1,0.0203592413655699,299,0.0481455307928839,0.172221536977338
FAM234B,0.000440564271630009,319,0.932347463193653,0.965082846981027
RRN3,0.0408138870975991,304,0.00206359866548583,0.0237472097962273
MOGAT2,0.0231609069848195,302,0.0306318028405788,0.130437239905143
CHERP,0.0115848043566983,228,0.268507805555582,0.476606119016685
AQP2,0.0120321065975304,254,0.218261480180956,0.422501518523661
DIMT1,0.0252789870581293,228,0.0567462881903204,0.190499955387908
EIF2AK1,0.000694516744914249,317,0.896072776353856,0.945595298942021
NME8,0.0337426096404101,343,0.00311980041577385,0.0304471142426348
EPDR1,0.000344437436580617,250,0.958023988770736,0.977751398074591
HBQ1,0.0136851520350193,249,0.18323993726252,0.381214265709328
RBM22,NA,NA,NA,NA
HSD17B2,0.0477270942524634,315,0.000556883888966745,0.0101415044148483
ZW10,0.0134578938887737,323,0.114552629409739,0.289570069358283
ITGB4,0.0826760380713316,354,4.5987058702915e-07,7.89638606765941e-05
TRIP6,0.00064291153768259,293,0.91040558177821,0.952953833716784
ADAM11,0.00844701447338281,289,0.296303774955823,0.50576440310777
SLC22A4,0.0424365300552663,291,0.00212645956553337,0.0239922197296193
TFAP2C,0.0132523140522201,273,0.164916711534832,0.358717160665301
SULT2B1,0.0204658645168172,248,0.0798556804511026,0.234779455495542
EPS8L1,0.0314580648798788,308,0.00799600722265084,0.0557824660079491
REM1,0.0145918231194714,293,0.118789034863426,0.296813484532017
PDRG1,2.53701645786722e-05,221,0.997213172330237,0.998375992431368
PPP1R13B,0.0230194266288833,325,0.024013307722248,0.111665229525892
TGM6,0.00327874436603717,301,0.611517531313819,0.764893896382026
RALGAPA2,0.00113750611481794,343,0.823235026940736,0.903527917937135
RPL6,0.00474667583470995,222,0.591846670762433,0.750849732252079
ESF1,0.0108971391180282,332,0.164725220426673,0.358649846962629
SLC8B1,0.00203172818905988,343,0.706504632202441,0.830862735958451
SIRT4,0.0029484442684975,289,0.654047058864279,0.795286456957894
TRMT6,0.0237773043519122,302,0.0279179813487941,0.123216831800001
HAUS5,0.0129740606489933,346,0.106668918413648,0.279447239824582
UQCRC1,0.0184801984388611,305,0.060265820346922,0.19810490692791
GMIP,0.0359104060807525,349,0.00193352472743049,0.0226145534371176
LAG3,0.00888481587142807,329,0.232908454231912,0.439071710585295
OTUB2,0.000380632109070689,241,0.955351586272262,0.976101716048312
TFAP4,0.00452286843553015,191,0.65072217044625,0.793042872550672
PDCD7,0.00337926625253205,238,0.670023125899392,0.806236644364559
SPG21,0.00143379863714402,190,0.873284427760938,0.932554443589028
CHRD,0.0628974353851887,340,2.34388583935236e-05,0.00113487337624819
GNPTG,0.00642670116958033,318,0.361088522734541,0.569109796466183
EFNB1,0.0199140967979054,223,0.109649677580212,0.283322626736792
GLG1,0.0627485303423104,301,8.17144625681526e-05,0.00274934355447914
DLL3,0.00480632650723787,273,0.520138370866431,0.697017002430939
NAT14,0.011445065902761,224,0.279116827524972,0.487479878240193
AASDH,0.052307051523361,333,0.000169446968063917,0.00446181982456154
