,X.1,X,FaName,Zoonomia,CommonName,scientific,phenotype,Binomial,BinomialPretty,PantheriaMaturity,pantheriaMaxAge,pantheriaBodysize,lifeHistoriesMaturity,lifeHistoryMaxAge,lifeHistoryBodysize,anAgeMaturity,anAgeMaxAge,anAgeBodysize,combinedMaturity,combinedBodysize,MaximumAge,MaturityPercentage,elifeLongevity,L3,ELL,logCombinedMaturity,arcsignPercentage
63,63,63,HLbosInd1,vs_HLbosInd2,Zebu,bos_indicus,Herbivore,bos_indicus,Bos indicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.491473755,0.112096082
64,64,64,bisBis1,vs_bisBis1,American Bison,bison_bison_bison,Herbivore,bison_bison,Bison bison,921.77,NA,624577.07,883.5,9000,497666.67,912,12227.5,630000,912,630000,12227.5,0.074585974,NA,NA,NA,3.215901813,0.112842063
65,65,65,bosMut1,vs_HLbosMut2,Yak,bos_mutus,Herbivore,bos_mutus,Bos mutus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.86332286,0.115197145
66,66,66,bubBub1,vs_HLbubBub2,Asian Water Buffalo,bubalus_bubalis,Herbivore,bubalus_bubalis,Bubalus bubalis,755.15,7092,929500.97,596.4,10440,950000,502,12738.5,725000,502,725000,12738.5,0.039408094,NA,NA,NA,3.5774918,0.11532395
67,67,67,HLoviAri4,vs_HLoviAri5,Domestic sheep,ovis_aries,Herbivore,ovis_aries,Ovis aries,831.62,NA,39097.89,546.9,NA,50000,548,8322,80000,548,80000,8322,0.065849555,NA,NA,NA,3.241795431,0.121479117
68,68,68,HLoviCan1,vs_HLoviCan1,Bighorn sheep,ovis_canadensis,Herbivore,ovis_canadensis,Ovis canadensis,761.25,NA,74644.87,692.1,7200,68166.67,707,7519,70275,707,70275,7519,0.094028461,NA,NA,NA,2.514547753,0.123034888
69,69,69,HLcapHir2,vs_HLcapHir2,Domestic goat,capra_hircus,Herbivore,capra_hircus,Capra hircus,498.97,NA,47386.47,480,7470,60000,406,7592,61000,406,61000,7592,0.053477345,NA,NA,NA,2.549003262,0.123077969
70,70,70,panHod1,vs_panHod1,Tibetan antelope,pantholops_hodgsonii,Herbivore,pantholops_hodgsonii,Pantholops hodgsonii,NA,NA,NA,NA,NA,27500,NA,NA,NA,27500,NA,NA,NA,3650,-0.09675236,-0.953527249,3.215373153,0.12778745
71,71,71,HLodoVir1,vs_HLodoVir3,White-tailed Deer,odocoileus_virginianus,Herbivore,odocoileus_virginianus,Odocoileus virginianus,365,NA,75901.25,272.7,8280,59500,309,8395,87000,309,87000,8395,0.036807624,NA,NA,NA,3.451632947,0.129323321
72,72,72,HLcerEla1,NA,NA,cervus_elaphus_hippelaphus,NA,cervus_elaphus,Cervus elaphus,659.91,6444,240867.13,850.8,9720,120333.33,852,11497.5,2e+05,852,2e+05,11497.5,0.074103066,NA,NA,NA,3.103119254,0.132477375
73,73,73,susScr11,vs_susScr11,Pig,sus_scrofa,Generalist,sus_scrofa,Sus scrofa,350.76,NA,84471.54,293.1,7560,100900,334,9855,130000,334,130000,9855,0.033891426,NA,NA,NA,2.540329475,0.136233145
74,74,74,HLequCab3,vs_equCab3,Horse,equus_caballus,Herbivore,equus_caballus,Equus caballus,834.72,NA,403598.53,NA,NA,NA,914,20805,3e+05,914,3e+05,20805,0.043931747,NA,NA,NA,3.528402438,0.136442291
75,75,75,equPrz1,vs_equPrz1,Przewalskii Horse,equus_przewalskii,Herbivore,equus_przewalskii,Equus przewalskii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.121123032,0.14562505
76,76,76,HLequAsi1,vs_HLequAsiAsi2,Wild Donkey,equus_asinus,Herbivore,equus_asinus,Equus asinus,742.46,NA,164998.49,684,16920,250000,708,17155,164998,708,164998,17155,0.041270767,NA,NA,NA,3.437750563,0.150706828
77,77,77,cerSim1,vs_HLcerSimCot1,White rhinoceros (Chad),ceratotherium_simum_cottoni,Herbivore,ceratotherium_simum,Ceratotherium simum,2741.23,NA,2285939.43,1997.1,18000,2233333.33,1643,16425,2175000,1643,2175000,16425,0.100030441,16425,1.950827302,-0.547587866,3.451939869,0.150885128
78,78,78,felCat8,vs_felCat9,Cat,felis_catus,Carnivore,felis_catus,Felis catus,296.98,NA,2884.8,NA,NA,NA,289,10950,3900,289,3900,10950,0.026392694,NA,NA,NA,3.135132651,0.152254229
79,79,79,HLaciJub1,vs_HLaciJub2,Cheetah,acinonyx_jubatus,Carnivore,acinonyx_jubatus,Acinonyx jubatus,741.97,NA,50577.92,762.3,6840,58750,456,7482.5,53500,456,53500,7482.5,0.060942198,NA,NA,NA,2.86332286,0.154459599
80,80,80,panTig1,vs_panTig1,Tiger,panthera_tigris_altaica,Carnivore,panthera_tigris,Panthera tigris,1522.5,NA,161914.66,1233.6,9450,119700,1268,9599.5,119700,1268,119700,9599.5,0.132090213,NA,NA,NA,2.86332286,0.154459599
81,81,81,HLpanPar1,vs_HLpanPar1,Leopard,panthera_pardus,Carnivore,panthera_pardus,Panthera pardus,810.68,NA,52399.99,1023,8280,42325,937,9964.5,53750,937,53750,9964.5,0.09403382,NA,NA,NA,3.504334912,0.15978238
82,82,82,canFam3,vs_canFam4,Dog,canis_lupus_familiaris,Carnivore,canis_lupus,Canis lupus,679.37,10620,31756.51,661.2,5760,34875,669,7519,26625,669,26625,7519,0.088974598,7519,0.456947365,-0.328316304,3.164352856,0.160044917
