,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
ABCD1,0.158884914329405,0.873759546330666,0.958190072948674
BCORL1,0.895928865292713,0.370290756456564,0.68516471134754
KCND1,1.53184279519512,0.125561232670488,0.412557862029783
PCSK1N,-0.517413311998321,0.604867668936865,0.840344565509355
GPR50,-2.83609710401383,0.00456685584896985,0.076483589744322
RP2,1.05966651270609,0.289296342608136,0.61524170468832
USP11,-4.05110889184536,5.09754761326041e-05,0.00724482432093445
TIMP1,-1.1265085511842,0.259950323124258,0.585844681556815
GLA,-1.01235686308776,0.311367455706426,0.635756148830315
ATP12A,1.23814239008792,0.215663268339294,0.540375006417006
MLNR,0.172434904580895,0.863095633248003,0.952342894439543
ACP5,1.2982071225964,0.194216171254311,0.512492503647638
SGCG,0.801905998647111,0.422607335911937,0.724642156754109
OLFM4,0.0655346374921916,0.947748328869245,0.981246964294523
NTHL1,0.600340773228318,0.548279150673298,0.807616761805366
ZNF263,-0.180238562071476,0.856965285973598,0.950330266389413
MMP2,-2.92353994934118,0.0034607581343888,0.0667918295878006
ORC6,-0.225464762189211,0.821617735349244,0.936241939395388
C16orf70,-1.06678610258515,0.286068435559214,0.613019998939622
CORO1A,0.650074774185464,0.51564392279528,0.787902747415978
NUTF2,-0.974564210849915,0.329776473622921,0.652110145291439
