,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
DMC1,0.18025997943517,0.856948472749455,0.950330266389413
HSCB,1.09259852245641,0.274570111745313,0.600284184148879
CBY1,-1.57343809625305,0.115617411609081,0.396225510189814
TOMM22,-1.49079492627092,0.136015344272309,0.426188423605229
RSPH14,1.50030481990262,0.133535461505614,0.422997126352257
RTCB,-0.508542945653597,0.61107262940887,0.843919060373904
JOSD1,-0.806539305550558,0.419931953998629,0.722290118336115
GTPBP1,0.116872005564177,0.906961482418875,0.9704919162293
PPP6R2,0.352671878769347,0.724334443893965,0.895025168312958
DNAL4,-1.41029157998968,0.158453603737006,0.460162083442077
C22orf31,1.93021840461374,0.0535797820662525,0.272163800536474
MIOX,2.10606347212668,0.035198839262233,0.221345422649456
RHBDD3,0.716494449404056,0.473686093628875,0.762902868607983
RASL10A,-1.25568737245567,0.209229339256436,0.531567141067019
HMGXB4,1.11346717917463,0.265507836686952,0.591517122791588
BIK,1.32459058031785,0.185306981859093,0.500273536848361
HMOX1,0.62052791430707,0.534910281982493,0.798350727555552
NIPSNAP1,0.859531277954159,0.390047471274452,0.700427992469254
MCM5,0.107805709731175,0.914149813579911,0.972111996832641
ARSA,-0.780559347445307,0.435061709466766,0.734421500598502
RASD2,0.599070158463384,0.549126100461197,0.807877191994225
TTLL12,-2.62632458211552,0.00863124682384628,0.106204979421618
CBX7,2.18553049139195,0.0288499727975305,0.199756176452444
CABP7,-2.02761681451996,0.0425993715453242,0.243780680335466
RPL3,0.1958783962423,0.844705347005427,0.946025631839354
TAB1,0.667327859611821,0.504562734679105,0.780759653118245
PNPLA5,-2.61664695345431,0.00887981320180353,0.107972196936237
MYH9,-0.787068179458245,0.431241955612185,0.731489353314467
TXN2,0.0637049196581934,0.949205187385726,0.981966675869277
EIF3D,-0.189944861795859,0.849352337711957,0.948427569630002
PVALB,-0.367913409446873,0.712937801180646,0.890731736057193
UPK3A,1.61094751741152,0.10719116194122,0.384964878449882
FAM118A,-2.79284800875379,0.00522462344006134,0.0822193411067518
ST13,-0.579760775033621,0.562075952709429,0.815785200346269
IL2RB,1.50742309262041,0.131702243287266,0.420856292533425
RBX1,0.215326756746516,0.829512570003798,0.939316088442252
L3MBTL2,0.636896868625537,0.524192022594632,0.792614791756495
CHADL,-1.02199804834461,0.306781824122057,0.631926113507996
PHF5A,-0.640806900839009,0.521648148844523,0.791045485722129
PMM1,-1.71041478545579,0.0871891988377632,0.347112743324218
CERK,-0.273242590724742,0.784666742512265,0.921034866099801
ZBED4,-0.448838315175284,0.653548296768805,0.864131874092215
HDAC10,1.25942639000069,0.207876362432417,0.530422166862997
RIPK3,-1.08095377421827,0.279717676581531,0.606547668188633
PAPOLA,-2.87790773673801,0.00400322202562865,0.0711896122424534
HSP90AA1,-0.371569321062412,0.710213534439426,0.889311373934458
SNAPC1,1.29240241459086,0.196217820954332,0.514726437910465
SUPT16H,0.290756994422164,0.771237178427064,0.915554667139613
FKBP3,1.67220889072059,0.0944831379319402,0.361027152932301
COCH,0.115463270423584,0.908077931677118,0.970617045713334
AP4S1,0.0915621927664388,0.927045891022469,0.975498759076853
POLE2,-0.587443251877579,0.556906052577033,0.813160094245665
SOS2,2.10917372689837,0.0349295888421541,0.220738913144451
PYGL,1.26259802625409,0.20673367758452,0.529041076723631
GNPNAT1,-0.746816229357563,0.455174497699523,0.749332056998941
CGRRF1,1.29208510476997,0.196327673649389,0.514841414892308
ATP6V1D,-0.0232217085803272,0.981473422332475,0.99454255455033
CCDC198,1.71526268378325,0.0862970768943362,0.34478036530189
PLEK2,-1.89307055803545,0.058348486904047,0.28311232234707
PIGH,-0.296110046131991,0.767146042140605,0.914179546909062
PSMA3,-0.994950667480152,0.319760258360257,0.643288492486481
TMED8,-0.871557494275806,0.383449827681691,0.695305767635365
AHSA1,-0.365253419462345,0.714922245727768,0.891973301759303
SPTLC2,-0.0951655834292537,0.924183306327416,0.974713539422955
RIN3,-0.427853101766786,0.668758073244315,0.870880665778027
ALKBH1,0.628037688954249,0.529979250640233,0.796295297889094
DHRS7,2.54541892532714,0.0109146706338714,0.120844191464769
SIX4,3.07964951970856,0.00207244315704095,0.0501376584066818
SLC10A1,2.29358901544426,0.0218141169428858,0.172553802407683
EIF5,0.31092263806543,0.755859434167451,0.908686704835547
ZFYVE21,-0.48209382923496,0.629739293239428,0.8538221835314
BDKRB1,-1.39567017998266,0.162813838094733,0.467343151089989
VRK1,-3.26218901752012,0.00110555400403155,0.0360067352436856
PABPN1,-1.5556349186104,0.119794930425919,0.403439856071829
EFS,1.86775938705132,0.0617956167061919,0.292197002600894
CINP,-0.69196656999464,0.488958323103637,0.772142201261677
PCK2,1.20824789136887,0.226951925389546,0.551406281027723
NFKBIA,-1.75728914552255,0.0788685369909632,0.328463544729322
EMC9,-0.494364313424883,0.621048912295022,0.849168863706442
BRMS1L,0.39620290784653,0.69195534632126,0.880922416629069
PNN,1.548820922855,0.121424774436754,0.406312674906804
RABGGTA,-0.307971316985295,0.758104157995376,0.909758665650926
CYP24A1,1.18523659174379,0.235923915993177,0.561375624535144
ZFP64,0.556640411970456,0.577773137054551,0.825554374053877
PYGB,-1.31286704696325,0.189227752619887,0.505303565439167
PROCR,-0.31851280691922,0.750095981593817,0.906659639496956
