"gmtNames","gmtOverlap"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",""
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE",""
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",""
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",""
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE","IC"
"REACTOME_MITOCHONDRIAL_UNCOUPLING",""
"REACTOME_MTORC1_MEDIATED_SIGNALLING",""
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",""
"REACTOME_SIGNALING_BY_NTRKS","I"
"REACTOME_COMPLEMENT_CASCADE",""
"REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION",""
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",""
"REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT",""
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS",""
"REACTOME_SIGNALLING_TO_RAS",""
"REACTOME_HIV_TRANSCRIPTION_INITIATION",""
"REACTOME_HIV_TRANSCRIPTION_ELONGATION",""
"REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME",""
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT","I"
"REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY",""
"REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION",""
"REACTOME_THE_FATTY_ACID_CYCLING_MODEL",""
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",""
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",""
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",""
"REACTOME_INNATE_IMMUNE_SYSTEM",""
"REACTOME_INFLUENZA_INFECTION","IC"
"REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS",""
"REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS",""
"REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS","C"
"REACTOME_NOD1_2_SIGNALING_PATHWAY",""
"REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS",""
"REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS","IC"
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES",""
"REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT",""
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA",""
"REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS",""
"REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY",""
"REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY","C"
"REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN",""
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",""
"REACTOME_ARMS_MEDIATED_ACTIVATION",""
"REACTOME_P38MAPK_EVENTS",""
"REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE",""
"REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION",""
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B",""
"REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1",""
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",""
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",""
"REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS",""
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING",""
"REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE",""
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE",""
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS",""
"REACTOME_TELOMERE_C_STRAND_SYNTHESIS_INITIATION",""
"REACTOME_ACTIVATION_OF_C3_AND_C5",""
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE",""
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION",""
"REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS",""
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",""
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",""
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C",""
"REACTOME_PHOSPHORYLATION_OF_EMI1",""
"REACTOME_UNWINDING_OF_DNA",""
"REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE",""
"REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS",""
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING",""
"REACTOME_SIGNALING_BY_EGFR",""
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM",""
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",""
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","C"
"REACTOME_DARPP_32_EVENTS",""
"REACTOME_GAB1_SIGNALOSOME",""
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING",""
"REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION",""
"REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN",""
"REACTOME_EXTENSION_OF_TELOMERES",""
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1",""
"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE",""
"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE",""
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS","C"
"REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION",""
"REACTOME_EGFR_DOWNREGULATION",""
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES",""
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA",""
"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS",""
"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION",""
"REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION",""
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE",""
"REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL",""
"REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL",""
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL",""
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT",""
"REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION",""
"REACTOME_SIGNALING_BY_PDGF",""
"REACTOME_ACTIVATION_OF_TRKA_RECEPTORS",""
"REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION",""
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",""
"REACTOME_SIGNALLING_TO_ERKS",""
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN",""
"REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE",""
"REACTOME_CELLULAR_HEXOSE_TRANSPORT",""
"REACTOME_METABOLISM_OF_PORPHYRINS",""
"REACTOME_HEME_BIOSYNTHESIS",""
"REACTOME_HEME_DEGRADATION",""
"REACTOME_SIGNALING_BY_FGFR","C"
"REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION",""
