"gmtNames","gmtDriver"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES","Carnivore"
"REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS","Herbivore"
"REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS","Both"
"REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS","Both"
"REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS","Both"
"REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN","Unclear"
"REACTOME_SULFIDE_OXIDATION_TO_SULFATE","Unclear"
"REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE","Unclear"
"REACTOME_SULFUR_AMINO_ACID_METABOLISM","Unclear"
"REACTOME_HIV_LIFE_CYCLE","Unclear"
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION","Unclear"
"REACTOME_INTEGRATION_OF_PROVIRUS","Unclear"
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE","Unclear"
"REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION","Both"
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Both"
"REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR","Herbivore"
"REACTOME_HIV_INFECTION","Unclear"
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","Unclear"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM","Carnivore"
"REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS","Both"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS","Carnivore"
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING","Both"
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS","Unclear"
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION","Unclear"
"REACTOME_TRIGLYCERIDE_CATABOLISM","Herbivore"
"REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY","Unclear"
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","Unclear"
"REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION","Unclear"
"REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS","Unclear"
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Both"
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","Carnivore"
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION","Both"
"REACTOME_CELL_CYCLE","Unclear"
"REACTOME_SIGNALING_BY_EGFR_IN_CANCER","Unclear"
"REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING","Unclear"
"REACTOME_2_LTR_CIRCLE_FORMATION","Unclear"
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS","Both"
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION","Unclear"
"REACTOME_NEF_AND_SIGNAL_TRANSDUCTION","Unclear"
