"","CH-Rho","CH-P","CH-p.adj","CH-significant","CO-Rho","CO-P","CO-p.adj","CO-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","CH-CO-Overlap","CH-HO-Overlap","CO-HO-Overlap","CH-CO-HO-Overlap","CH-CO-Delta","CH-HO-Delta","CO-HO-Delta"
"SLC23A1",-5.4967774909361,1.16038273090436e-07,2.82833932732688e-05,TRUE,-0.488377393414931,1,1,FALSE,4.66474951892133,9.26979567841317e-06,0.0127350138447436,TRUE,FALSE,TRUE,FALSE,FALSE,3.54147367185259,7.18528465588045,3.64381098402786
"RASGRP2",0.32195429107976,1,1,FALSE,1.27727884080933,0.604511463150327,1,FALSE,0.984696673370951,0.974319261807816,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.675516467347765,0.468629632697829,0.206886834649936
"SLC13A4",1.66566347561238,0.287341381835014,0.786791622085655,FALSE,1.63631647366009,0.305320110283536,0.958133569618307,FALSE,0.158488721589729,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.0207514640879567,1.06573348900258,1.04498202491462
"CWF19L1",-0.651719422199035,1,1,FALSE,-2.45156160262408,0.0426713512052918,0.314448023501996,FALSE,-1.84547485099108,0.194905480695603,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.27268061084413,0.844112558777113,0.428568052067016
"C1QTNF1",2.34161060004714,0.0576022082462662,0.2892626119394,FALSE,-0.541883020065615,1,1,FALSE,-2.73756982426039,0.0185684937640605,0.381778337091812,FALSE,FALSE,FALSE,FALSE,FALSE,2.03893789228988,3.59152292089782,1.55258502860795
"SLC12A9",-2.30907420376843,0.0628183918303079,0.305793920114984,FALSE,0.205775681912999,1,1,FALSE,2.27458642069988,0.0687922544183825,0.700059628801748,FALSE,FALSE,FALSE,FALSE,FALSE,1.77826740783155,3.24113751021931,1.46287010238776
"SLC12A6",-1.41831345305989,0.468297812143945,1,FALSE,-0.151118362992946,1,1,FALSE,1.21743177733212,0.670319936130686,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.896042241272635,1.86375332589029,0.967711084617657
"DDX21",-3.60456784958452,0.000938018278813118,0.017305692793148,TRUE,-1.99962494599425,0.136622334435211,0.614841190585142,FALSE,1.14513454235134,0.756460285546717,1,FALSE,FALSE,FALSE,FALSE,FALSE,1.13486601054591,3.35854676995581,2.2236807594099
"PLEKHB1",1.19596595348765,0.695129536716574,1,FALSE,0.295820423651452,1,1,FALSE,-0.76458248441077,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.636499008201933,1.38631709528266,0.749818087080732
"TBC1D20",1.93303065789964,0.159697263595164,0.547076576890779,FALSE,0.589646957844255,1,1,FALSE,-1.18804197261086,0.704450621627355,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.949915724044641,2.20693162160972,1.25701589756507
"PRKAA1",0.0599599813363293,1,1,FALSE,0.247902463742648,1,1,FALSE,0.199932434084261,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.132895403782541,0.0989754705173761,0.0339199332651652
"MAGI2",-2.93295136148872,0.0100726946101253,0.0903910694466823,FALSE,-0.120548874995104,1,1,FALSE,2.57827780310306,0.0297882406420631,0.480940056178267,FALSE,FALSE,FALSE,FALSE,FALSE,1.98866886962554,3.89702751495591,1.90835864533037
"UCKL1",2.08021609743561,0.11251714920597,0.438236896598096,FALSE,1.75829901249231,0.236089936912092,0.825650793852374,FALSE,-0.155262770023777,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.227629753743216,1.58072226637976,1.35309251263654
"REG4",-1.25958584414565,0.623456414320873,1,FALSE,1.67310913618647,0.282917439923961,0.916452409213416,FALSE,2.83303389314544,0.0138325490588522,0.333792660991296,FALSE,FALSE,FALSE,FALSE,FALSE,2.07372850774459,2.89391916905643,0.820190661311843
"DUSP19",-2.69800258663141,0.0209270695936499,0.150237470640968,FALSE,-2.04072946657009,0.123833174318312,0.579909181995143,FALSE,0.537192157242751,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.464762280287001,2.2876281418525,1.8228658615655
"SETDB2",-2.97316856332201,0.00884227607268914,0.0817031124903395,FALSE,-2.4584067571272,0.0418665032390991,0.312283611524811,FALSE,0.301829883939518,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.363991563856182,2.31577361043404,1.95178204657786
"NDUFV3",-0.497010779427059,1,1,FALSE,-1.3651325235445,0.516634204474404,1,FALSE,-0.919183800537075,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.613854772160936,0.298521406060904,0.315333366100031
"TAP1",-2.90452909367934,0.0110341805438461,0.0961640924905433,FALSE,-1.65485742491107,0.293860266697497,0.936881086568053,FALSE,0.977197092692903,0.985414761170671,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.883651311242752,2.74479490909321,1.86114359785046
"EPPIN",-2.07340879696314,0.114402752836066,0.44253177392478,FALSE,-1.13340483764559,0.771132850477491,1,FALSE,0.801126946372035,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.664683173975645,2.03260371687542,1.36792054289977
"FBXO2",-0.986909453158801,0.971061088712159,1,FALSE,-0.0598568267977167,1,1,FALSE,0.840763818485478,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.655525198616722,1.29236016417307,0.636834965556351
"PPTC7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYT5",1.41809697709113,0.468487361124639,1,FALSE,0.164616163723538,1,1,FALSE,-1.12430240234777,0.782654278733972,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.886344783219455,1.79774784168571,0.91140305846626
"CRKL",-1.18258595514497,0.710919844336467,1,FALSE,-0.736182080251807,1,1,FALSE,0.340444607707729,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.31565520708491,1.07694523894751,0.761290031862601
"SLC26A5",0.810145795702889,1,1,FALSE,1.32530848129779,0.55520657133687,1,FALSE,0.580726701314378,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.364275028398429,0.162223797375793,0.526498825774222
"GNAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRDE2",2.51003316364602,0.0362159470944465,0.215301098541021,FALSE,1.13846447335411,0.76477975633167,1,FALSE,-1.16252769109453,0.735063549962862,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.96984552176856,2.59689268470731,1.62704716293875
"COPS8",-0.104593136064898,1,1,FALSE,0.0505621213413592,1,1,FALSE,0.147936795244691,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.109711334648709,0.178565626881584,0.0688542922328745
"KIAA0586",-2.39718404603422,0.0495648683016283,0.2632774305006,FALSE,-4.14765900668049,0.000100767653633696,0.00810000415804475,TRUE,-1.9206366613374,0.164332589588487,0.986541139263501,FALSE,FALSE,FALSE,FALSE,FALSE,1.23777271497023,0.336969887275833,1.57474260224607
"ARNT",0.0622999732106729,1,1,FALSE,-1.0705902254111,0.853061161246359,1,FALSE,-1.13315795415528,0.771443782434897,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.801074341785227,0.845316407063683,0.0442420652784557
