,permpval,permstats
ACOT12,0.835675922751686,-0.0779621104171476
ACOT13,0.899097246029025,0.046193332594096
ACOT2,0.959433207633413,-0.0179852539310323
ACOT4,0.719003542452291,-0.143268969890146
ACOT6,0.69134956005028,0.160302309188926
ACOT7,0.744257799108673,-0.128276605667313
ACOT8,0.0145126271283282,-1.83825396288544
ACOT9,0.730659353216775,0.136285051905726
ACOX1,0.0955319392069478,-1.01985140640238
ACOX2,0.261341560964461,-0.582791519234647
ACOX3,0.396411838647012,-0.401853383999335
ACOXL,0.723003085361673,-0.140859849382246
ACP1,0.303965261113016,-0.517176047210328
ACP2,0.722088904125243,-0.141409328477407
ACP3,0.546109016112444,0.262720653320601
ACP4,0.855330819334933,-0.067865879162324
ACP5,0.402239744029254,-0.395515020363264
ACP6,0.4233801851217,0.373269471526048
ACP7,0.978402468289338,0.00948246034310451
ACR,0.375385670209119,-0.425522309945596
ACRBP,0.724717175179979,0.139831446150325
ACRV1,0.40395383384756,-0.393668265708477
ACSBG1,0.987315735344532,0.00554394136250181
ACSBG2,0.528739572620272,-0.276758184341498
ACSF2,0.392298023083076,-0.406383880415645
ACSF3,0.985144554908011,-0.00650003874838112
ACSL1,0.360073134498914,-0.443609280667395
ACSL3,0.950634213232773,0.021986559543871
ACSL4,0.909724602902525,0.0410900599222708
ACSL5,0.646326134156096,-0.189548283052552
ACSL6,0.474002971089018,0.324218936124392
ACSM1,0.262027196891784,-0.581653629111456
ACSM2A,0.638212775682779,-0.195034506389767
ACSM2B,0.875785624500057,-0.0576021877709071
ACSM4,0.795680493657868,0.099261288665815
ACSM5,0.83853273911553,0.076479976421466
ACSM6,0.288153070577452,-0.540376748188339
ACSS1,0.833733287624271,-0.0789728585210354
ACSS2,0.547594560621643,0.26154087446014
ACSS3,0.744829162381442,-0.12794332771227
ACTA1,0.673065935321678,0.171942389054293
ACTA2,0.547251742657982,0.261812846798787
ACTB,0.186150154268084,0.730136599532886
ACTBL2,0.689635470231973,0.161380409408027
ACTC1,0.272197463147069,0.565115926694636
ACTG1,0.368186492972232,0.433932147758196
ACTG2,0.109016112444292,0.9625093091373
ACTL10,0.634098960118844,0.197842959027229
ACTL6A,0.551822648840133,0.258200478441049
ACTL6B,0.130042280882185,0.885915421782343
ACTL7A,0.267740829619472,-0.572285395244432
ACTL7B,0.928808136213004,-0.0320739889015511
ACTL8,0.0874185807336304,-1.05839624868778
ACTL9,0.725402811107302,-0.139420765758585
ACTN1,0.78573877271169,0.10472181582638
ACTN2,0.558793280767912,0.252748824717775
ACTN3,0.482344874871443,0.316642331686987
