"","main_Rho","Carnivore_Rho","Herbivore_Rho","main_P","Carnivore_P","Herbivore_P","main_p.adj","Carnivore_p.adj","Herbivore_p.adj","Driver","DriverNumeric"
"MRPL11",-0.799064076543705,1.22057621816961,-0.970721159317952,1,0.222246515245418,0.331687152168665,1,0.439437324095378,0.614646970332902,"Unclear",0
"NPAS4",0.622901272262153,-1.87923698957817,0.325632835044994,1,0.0602121410338571,0.744702166312918,1,0.200444977800777,0.890808712727641,"Carnivore",1
"MOBP",-2.9817667925095,2.66451161059242,-2.45815884855327,0.00859770649733825,0.00771002048154604,0.013965138866677,0.0799560249770927,0.0538734098424758,0.107483825208911,"Both",3
"PCP2",-0.416077554748979,-0.406916020966507,-0.596286983643374,1,0.684069668729561,0.55098352505346,1,0.830640165669759,0.783301238157019,"Unclear",0
"BOD1",-0.738473739924797,0.693489849075311,-0.306968896712423,1,0.488002193960327,0.758867046813448,1,0.692664620594811,0.897802713763372,"Both",3
"GPR151",2.41496549911085,-0.992443100696291,1.55973709018188,0.0472101006184031,0.320981422686599,0.11882202335738,0.254438692884136,0.549747115618246,0.361144979673686,"Both",3
"PCSK1",-0.52861009880547,1.34542005299486,0.940507833817678,1,0.178489623021617,0.346957133259553,1,0.387424227639274,0.629272659580467,"Unclear",0
"RPL38",-0.553020456245234,0.569606364657478,0.458713827694131,1,0.568944710670097,0.646439682903843,1,0.754354768012944,0.838720949346706,"Unclear",0
"KMT2E",1.73983829479136,-1.50081791207422,0.603996764084266,0.245662248348867,0.133402664464598,0.545845793560353,0.713462324804662,0.325797056062611,0.779869058423954,"Both",3
"SLC19A1",-0.603966235702903,0.210047879617586,-0.768275950626825,1,0.83363030395927,0.442323259299888,1,0.916725089998211,0.70801509267909,"Herbivore",2
"HEG1",-1.04106353924162,0.589241536911951,-0.263072203228501,0.893538179876364,0.555699256925746,0.792494928150221,1,0.744082789527377,0.915969073758338,"DoubleBoth",4
"DENND6A",-0.0194463557673808,0.200900311343157,1.00555523252368,1,0.840776524259762,0.314629567911068,1,0.921005569891664,0.598431197637937,"Herbivore",2
"PPP2R1B",2.26815919951125,-1.56409209744114,1.24202520562375,0.0699585157096862,0.11779594156526,0.214227262385977,0.325897993034765,0.301785464807958,0.492330879911286,"Both",3
"ACOT1",NA,NA,-1.28277895625221,NA,NA,0.199569528711276,NA,NA,0.475215418382647,"MissingData",5
"TNS3",5.25267700406437,-5.72394580551166,3.43259855364537,4.49712859183193e-07,1.04077962633895e-08,0.000597826562557868,7.42491473494524e-05,6.75466871868945e-06,0.0141050520414854,"Carnivore",1
"HOXB9",NA,NA,2.22479098237435,NA,NA,0.0260952730495789,NA,NA,0.153364133742068,"MissingData",5
"PDE12",-2.59852082473388,2.56666880259822,-0.133380314451818,0.0280879097565565,0.0102680634122873,0.89389261308806,0.182565373006917,0.0642513602584945,0.959244861331282,"Both",3
"B4GAT1",0.54258235044418,0.111088752501143,2.6003300146691,1,0.911545967739351,0.00931341473453008,1,0.9587267760297,0.0826731322190569,"Herbivore",2
"KRT17",1.51856388521064,-2.16029291414493,-0.348539804966601,0.386616922294889,0.0307500011686747,0.727434825515312,0.953108471406257,0.131173834772585,0.882957227319391,"Carnivore",1
"CD84",-0.689606535973311,1.50271561079391,0.447735672107884,1,0.132912395394158,0.654343973795217,1,0.325166518501179,0.842297932101294,"Carnivore",1
"INTS6",0.608313482306405,0.33914906161044,2.56508015138436,1,0.734497440412428,0.0103151973817336,1,0.859848685570805,0.0882316804013299,"Herbivore",2
"GPR162",-0.615089197920185,-0.603026729784579,-0.166921561001274,1,0.546490907427521,0.867431767931386,1,0.737201379293768,0.948795568283949,"Both",3
"MAP9",-0.80384868467415,-0.291040902989306,-1.8049938035095,1,0.771020036803298,0.0710756516878561,1,0.881980402709887,0.270882962193384,"Herbivore",2
"ABCC12",0.208891290040838,-1.07948069653702,-0.6216876771532,1,0.280373494493029,0.534147256074467,1,0.508071371016109,0.772713890973288,"Carnivore",1
"TTC9B",-0.145771697692338,0.182264815784949,0.286770235801404,1,0.855374909090906,0.774288254540922,1,0.930296000867927,0.907105612075335,"Herbivore",2
"RIN1",0.650451074750361,-0.210881770236551,0.948306597884684,1,0.832979529493237,0.342973392979152,1,0.916266749165235,0.626122732699602,"Herbivore",2
"ZNF624",-1.7204470383612,1.17176614136311,-0.922510992216232,0.25605363865702,0.241290959918735,0.356262099338545,0.732440391327824,0.462085094790883,0.637027288271205,"Both",3
"HERPUD2",0.366928879953568,0.657339782856987,0.859375845175052,1,0.510962461631959,0.39013319175566,1,0.711684191882157,0.667405689199735,"Unclear",0
"LSM1",NA,NA,3.21929769679341,NA,NA,0.00128504999511563,NA,NA,0.0235360173681686,"MissingData",5
"OR52W1",-1.25680361001345,1.20462157144693,-1.56439711280248,0.626474275579769,0.228349425289954,0.117724338334089,1,0.447386359359614,0.359253050585413,"Unclear",0
"RFESD",-1.5945180084651,1.17629991778556,-1.01196788473684,0.332460181556307,0.239475048621812,0.311553409087117,0.863182873198253,0.459914264639674,0.595094179577313,"Both",3
"WFIKKN2",0.0782158141673158,-0.222289269339499,0.110305877245949,1,0.824088704982598,0.912166796341704,1,0.91112998345997,0.964343308237847,"Carnivore",1
"ZBTB4",-1.59505360383798,1.99318753515923,-0.430712459959951,0.332100748105028,0.0462409155145261,0.666677457859246,0.862765429837234,0.169137593430292,0.850678966735458,"Carnivore",1
"RNF26",-1.13979807227597,2.25341790895169,-0.192755050506116,0.763111311133437,0.0242328113834822,0.847150807729419,1,0.113552129876417,0.938402300595838,"Carnivore",1
"ZMAT3",-0.721878222792558,0.849521576744413,0.286687198146085,1,0.395591129194506,0.774351840720976,1,0.617897975454221,0.907105612075335,"Carnivore",1
"CNIH2",-2.62593800550495,2.69775650276535,-2.0849336445122,0.0259231661659193,0.00698084814893735,0.0370753241737627,0.173187836913958,0.0502975628249022,0.187271402160336,"Unclear",0
"PLAC8L1",0.125618287172026,-0.778886973407909,0.40614581150038,1,0.436046298149934,0.684635466911486,1,0.653313972368292,0.861253883055358,"Carnivore",1
"COQ2",-1.92317973987913,2.46452184985113,-0.91824569618461,0.163372442253605,0.0137196198340143,0.358490250066077,0.555554533604068,0.0775273635185045,0.639130298482395,"Carnivore",1
"RAB1B",NA,NA,3.04682102369631,NA,NA,0.00231275371642622,NA,NA,0.0344145765522613,"MissingData",5
"HMGA1",NA,NA,1.87614825545192,NA,NA,0.060634925062093,NA,NA,0.248692181257962,"MissingData",5
"METTL2A",-0.207495994019551,0.638495716548895,0.370061998285561,1,0.523151041503476,0.711336296214594,1,0.720188795302368,0.876225366080941,"Carnivore",1
"ADGRF3",-1.7630061575839,2.36265865779392,-2.02851221647387,0.233698353412537,0.0181443730126766,0.0425079977586171,0.693159865901914,0.0933414084815661,0.203128577732731,"Unclear",0
"RPL13",2.23214950892716,-0.476262971306455,3.44082927947534,0.0768152495876112,0.633887042056935,0.000579934317640422,0.348284443974792,0.799758618628534,0.013844116869858,"Herbivore",2
"RPL21",NA,NA,3.53888036565582,NA,NA,0.000401827916290578,NA,NA,0.0109282360656946,"MissingData",5
"FGFBP3",-0.694507536327039,0.288184440487564,-0.870390027544364,1,0.773205558489055,0.38408729466266,1,0.883151688796044,0.662444210110661,"Herbivore",2
"EDN3",-0.364721189839898,-0.0591976632049677,-1.32969457417715,1,0.952794670872691,0.183618923267098,1,0.977553198225845,0.45711551639324,"Herbivore",2
"MLC1",1.19976391963886,-1.81809363196382,-0.0142677888971289,0.690693121377212,0.0690498231403496,0.988616337751804,1,0.217673415212041,0.996123760051195,"Carnivore",1
"SH3PXD2B",-1.74332684117706,0.641181494575481,-2.4193903472559,0.243829618176822,0.521404771296674,0.0155465471547932,0.709698226095558,0.718886460431948,0.113870850921336,"Herbivore",2
