"","stat","pval","p.adj","num.genes","gene.vals","Driver","DriverNumeric"
"REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE",-0.0704221398899742,0.275849160439539,0.642820613076462,20,"PDE1B:830, ITPR1:1309, GUCY1A2:1614, IRAG1:6282.5, NOS1:6282.5, PDE10A:6282.5, PDE1A:6282.5, PDE11A:6282.5, PRKG2:6282.5, KCNMB1:6282.5, KCNMA1:6282.5, PDE9A:6282.5, NOS3:6282.5, KCNMB3:6282.5, PDE2A:6282.5, KCNMB2:6282.5, GUCY1B1:10892, NOS2:12071, PDE5A:12497, GUCY1A1:12670","Unclear",0
"REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",-0.0511879412753558,0.722933378004901,0.901960889070325,4,"GNAT3:831, GNB5:6282.5, GNB3:6282.5, P2RY12:14253","Unclear",0
"REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA",-0.218210361067504,0.0234245645863219,0.25290113741999,9,"RHOA:150, PIK3R5:237, PIK3R6:1518, AKT2:6282.5, AKT1:6282.5, GNB5:6282.5, PIK3CG:6282.5, GNB3:6282.5, PDPK1:6282.5","Herbivore",1
"REACTOME_RAP1_SIGNALLING",0.0522709431423124,0.567154893694572,0.835441399780484,10,"RAF1:1228, PRKACB:3070, RAP1GAP:4070, PRKACA:4247, RASGRP2:8822.5, RAPGEF3:8822.5, RAPGEF4:8822.5, RASGRP1:8822.5, RAP1GAP2:8822.5, SIPA1:8822.5","Unclear",0
"REACTOME_SIGNAL_AMPLIFICATION",-0.0702280800149561,0.399719004857279,0.744517939832307,12,"GNAT3:831, GNA13:1420, TBXA2R:6282.5, GNA15:6282.5, GNB5:6282.5, GNB3:6282.5, AAMP:6282.5, GNA14:6282.5, P2RY1:6282.5, SRC:6282.5, PLA2G4A:13125, P2RY12:14253","Unclear",0
"REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR",-0.0970416853428956,0.560486080073582,0.832230033888205,3,"GNB5:6282.5, GNB3:6282.5, PTGIR:6282.5","Unclear",0
"REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING",-0.0704220073457762,0.16190017185721,0.532505210137871,33,"CDC42:60, RHOA:150, TIAM1:396, ACTG1:418, ITSN1:829, GRIN2B:988, EPHB6:1167, ROCK1:6282.5, PTK2:6282.5, ACTB:6282.5, SDC2:6282.5, CFL1:6282.5, SRC:6282.5, GRIN1:6282.5, EFNB1:6282.5, EFNB3:6282.5, EFNB2:6282.5, ARPC1B:6282.5, ROCK2:6282.5, PAK1:6282.5, EPHB1:6282.5, KALRN:6282.5, LIMK2:6282.5, EPHB3:6282.5, ARHGEF28:6282.5, ARPC4:6282.5, LIMK1:12567, EPHB2:13123, LYN:13217, EPHB4:13852, RASA1:14114, YES1:14402, WASL:14429","Herbivore",1
"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE",-0.0527836441249158,0.361291273792812,0.715907225781514,25,"RHOA:150, EPHA4:248, MYH10:800, EPHA10:844, NGEF:1140, ROCK1:6282.5, SRC:6282.5, EPHA8:6282.5, EPHA6:6282.5, MYH9:6282.5, MYH14:6282.5, ROCK2:6282.5, EPHA7:6282.5, EPHA2:6282.5, EFNA3:6282.5, EPHA5:6282.5, EPHA1:6282.5, EFNA1:6282.5, EFNA4:6282.5, EFNA2:12425, MYL6:12928, LYN:13217, MYH11:13948, YES1:14402, EPHA3:14614","Herbivore",1
"REACTOME_EPHRIN_SIGNALING",-0.0281253506901583,0.697020892440756,0.891929502534197,16,"EPHB6:1167, PAK2:6282.5, SRC:6282.5, ARHGEF7:6282.5, NCK2:6282.5, PAK3:6282.5, EFNB1:6282.5, EFNB3:6282.5, EFNB2:6282.5, SDCBP:6282.5, PAK1:6282.5, EPHB1:6282.5, EPHB3:6282.5, EPHB2:13123, GIT1:13400, EPHB4:13852","Unclear",0
"REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS",-0.00679298032522541,0.877667969362749,0.960894915092087,43,"EPHA4:248, TIAM1:396, ACTG1:418, EPHA10:844, EPHB6:1167, MMP9:1252, ACTB:6282.5, VAV2:6282.5, SRC:6282.5, AP2M1:6282.5, AP2A2:6282.5, NCSTN:6282.5, EPHA8:6282.5, EPHA6:6282.5, MMP2:6282.5, EFNB1:6282.5, DNM1:6282.5, EFNB3:6282.5, CLTA:6282.5, EFNB2:6282.5, EPHA7:6282.5, EPHA2:6282.5, EFNA3:6282.5, EPHA5:6282.5, EPHA1:6282.5, EPHB1:6282.5, EFNA1:6282.5, CLTB:6282.5, EPHB3:6282.5, EFNA4:6282.5, ADAM10:11589, PSEN2:11958, PSEN1:12167, AP2A1:12312, EFNA2:12425, EPHB2:13123, LYN:13217, VAV3:13539, EPHB4:13852, APH1B:14076, YES1:14402, EPHA3:14614, CLTCL1:14961","Both",3
"REACTOME_MUSCLE_CONTRACTION",-0.0342305035268697,0.119365484480966,0.470932097416153,176,"CAMK2B:23, ACTC1:37, ACTG2:97, ACTA2:121, CACNA1G:217, DMD:232, CACNB2:278, SLC8A3:452, SCN5A:523, MYH8:586, KCNH2:590, ATP1A4:891, NEB:906, SLC8A2:916, NPR1:933, HIPK1:961, KCND3:963, ITGB5:1095, CACNA1I:1110, KCNK7:1163, RANGRF:1284, ITPR1:1309, KCNE1:1353, RYR3:1503, GUCY1A2:1614, DYSF:1747, VIM:6282.5, PAK2:6282.5, VCL:6282.5, ATP2B3:6282.5, ATP2A3:6282.5, ACTN2:6282.5, NOS1:6282.5, ITPR2:6282.5, ATP1B2:6282.5, GATA4:6282.5, TLN1:6282.5, ATP2B2:6282.5, STIM1:6282.5, ATP2A2:6282.5, ANXA2:6282.5, SLC8A1:6282.5, ITGA1:6282.5, CAMK2A:6282.5, CAMK2G:6282.5, CACNA2D2:6282.5, CACNB1:6282.5, CACNG4:6282.5, ALDH2:6282.5, KCNJ2:6282.5, CACNG8:6282.5, KCNJ4:6282.5, KCNJ12:6282.5, KCNQ1:6282.5, KCNK2:6282.5, KCNK6:6282.5, KCND1:6282.5, KCNK1:6282.5, KCNK13:6282.5, KCNJ14:6282.5, KCND2:6282.5, KCNK18:6282.5, KCNJ11:6282.5, WWTR1:6282.5, SCN1B:6282.5, SCN7A:6282.5, SCN1A:6282.5, PAK1:6282.5, SCN2B:6282.5, SCN3A:6282.5, SCN3B:6282.5, SCN4B:6282.5, CACNA1H:6282.5, SCN8A:6282.5, ANXA1:6282.5, PXN:6282.5, ACTN3:6282.5, MME:6282.5, MYLK:6282.5, HIPK2:6282.5, TBX5:6282.5, NPPA:6282.5, NKX2-5:6282.5, CASQ2:6282.5, CASQ1:6282.5, CLIC2:6282.5, TRDN:6282.5, ASPH:6282.5, RYR2:6282.5, ATP1A3:6282.5, FXYD6:6282.5, ATP1A1:6282.5, FXYD1:6282.5, MYBPC2:6282.5, TNNT1:6282.5, MYH3:6282.5, TNNT2:6282.5, TMOD2:6282.5, TNNI3:6282.5, TNNT3:6282.5, TNNI2:6282.5, MYBPC3:6282.5, TMOD1:6282.5, TPM1:6282.5, TNNI1:6282.5, MYL3:6282.5, TMOD4:6282.5, TCAP:6282.5, DES:6282.5, MYBPC1:6282.5, SORBS1:6282.5, DMPK:6282.5, MYL10:6282.5, MYL7:6282.5, KCNIP2:6282.5, SORBS3:6282.5, CALD1:6282.5, CORIN:6282.5, KCNE4:6282.5, KCNE2:6282.5, NPR2:6282.5, FGF11:6282.5, NPPC:6282.5, LMOD1:6282.5, KCNE3:6282.5, KCNE5:6282.5, TRIM72:6282.5, CAV3:6282.5, KCNK12:6282.5, MYL6B:6282.5, ANXA6:6282.5, PRKACA:10858, MYL1:10885, GUCY1B1:10892, RYR1:10916, MYH6:11080, ATP1A2:11178, KCNK10:11413, AKAP9:11645, SCN2A:11745, ITPR3:11892, TRPC1:12157, KCNIP1:12219, ATP1B3:12329, PDE5A:12497, MYL2:12610, GUCY1A1:12670, CAMK2D:12869, KCNK4:12925, MYL6:12928, CACNA1C:12952, KCNK3:12974, ATP1B1:13005, KCNIP3:13051, ATP2B1:13115, ATP2A1:13148, SCN9A:13170, SCN10A:13285, ORAI2:13432, CACNG6:13450, ABCC9:13525, KCNK5:13716, KAT2B:13850, MYH11:13948, ORAI1:14037, TMOD3:14215, SRI:14550, TPM4:14631, KCNK9:14649, ACTA1:14790, KCNK15:14795, KCNK16:14823, ATP2B4:14942, MYL4:14986, KCNK17:15005, SCN11A:15028","Herbivore",1
