,Rho,N,P,p.adj
FCF1,0.020931274928179,75,0.671027796183356,0.778862990792617
ZNF606,0.0148825484929604,279,0.247009824373394,0.429733042855389
NBR1,0.0704294611753362,353,1.70733129941696e-05,0.000949414359390012
TSTD2,0.0373560643776827,347,0.00480119274694925,0.0379786676207151
MGAT3,0.0123409996175265,237,0.405317453784545,0.578471221609363
TOX2,0.00545183985637578,270,0.69001298696452,0.792563331948633
LCN6,0.0181352466397882,253,0.206123658694413,0.383606646146391
SERPINA12,0.0082831231268272,314,0.458785257888635,0.621604300373079
LIMA1,0.0413640656332404,341,0.0028196071723085,0.0270778558779935
RTL6,0.0364736900116606,174,0.097466665769451,0.242935830528969
SH2B3,0.00793595029935681,274,0.538574063650668,0.682765293912506
DLK1,0.0083102383135199,291,0.491781573824315,0.645904929845046
FBXL5,0.00876520874111332,291,0.467764502161776,0.628136905127225
C2orf80,0.073215603421207,295,8.18774937826758e-05,0.0025809056553134
KAT5,0.0234263940445192,81,0.598941719250566,0.727705730666122
KLHL6,0.00428900759108028,245,0.789997981991665,0.859326973420355
RHBDD1,0.00641678617334912,331,0.548372573668798,0.689292089237129
NOXA1,0.0100093341957583,273,0.436410623084341,0.604731574915354
CORO1B,0.000757084750972772,299,0.973352557591529,0.981037575820186
PTMA,0.0350066784063166,78,0.440990141078181,0.607795119054794
NFYA,0.00782093353773437,71,0.90834636398918,0.93890275050924
CAPRIN1,0.0157883472385722,235,0.296401566587814,0.479819514434241
FLRT3,0.0208383926361532,246,0.164239508566204,0.334051877665039
SGK2,0.017417565239217,288,0.171882015260934,0.342747556160974
SLC24A5,0.0162805254465547,311,0.168390414089948,0.339426432811409
SYDE2,0.0997535260517113,354,1.09833099380695e-07,3.49221502509139e-05
LCTL,0.018892581372942,316,0.11401057072491,0.267487745816896
ATP7A,0.020017884305963,333,0.0840813914484299,0.222623901398395
DCAF5,0.0109305506593772,318,0.325331982545651,0.508583323718756
CDH5,0.0100525323994546,313,0.371070781932407,0.549375570051968
NAPEPLD,0.040641726773608,286,0.00895754095154806,0.0564548437295164
ING4,0.0343479077313664,77,0.455662046448792,0.619378540089223
CFAP65,0.0237012724202775,371,0.0325182339613798,0.124034730485206
TMEM248,0.0307308749508416,208,0.0952963186471552,0.239944168854558
SERPINA6,0.0312906524622716,311,0.0212951828563715,0.0957170695935124
CLUAP1,8.37345191358515e-05,269,0.999111912233474,0.999552767371433
TMEM202,0.039661161161414,275,0.0124663228858212,0.0690130350219608
PPA2,0.0309130480888456,308,0.0234347147778474,0.101708052920117
GNA14,0.0283815409418325,191,0.145212020838374,0.309828011200884
MESP2,0.00606626936556889,233,0.703807023151711,0.801309393599122
PMEPA1,0.0141663301092095,231,0.353495029092468,0.532589252056865
PRR19,0.0183742133840803,324,0.114822250172018,0.268466303194409
RAD1,0.0177238116793774,232,0.251470196661979,0.434289976511476
DNER,0.0189486059365548,335,0.0966628609859633,0.242046054576391
JARID2,0.00845388754279102,312,0.452400509777985,0.616864799324675
FAM163A,0.0100599631924334,257,0.461827305407569,0.623528678010811
TRIM29,0.0620468963865446,320,0.000187364660933764,0.00459158021342502
DPP8,0.0274480786872769,245,0.0821968035073989,0.219301431612407
TAF9B,0.0397897964291361,208,0.0413688785970898,0.144379490546205
TMEM220,0.0426928400092708,295,0.00571356528920204,0.0424411406398523
CEP97,0.00580655448101279,350,0.566927363154758,0.702943807152805
MYB,0.00292416399992292,326,0.813262474745663,0.875619012898579
EPB41L3,0.0285865506220105,356,0.0173472884415652,0.0841809690598316
DALRD3,0.019424211720266,336,0.0893824880867243,0.231545921139998
OR2S2,0.0671976593394034,193,0.00485351277168685,0.0382269670429143
ZNF70,0.0732979457484417,229,0.000809991303820834,0.0122421049612575
NADK,0.0392066944641347,289,0.0102495378839087,0.0613008549379998
SLC24A2,0.0194810079829601,313,0.10787290332317,0.258308625410066
IKZF2,0.0275823802227543,188,0.160593049518646,0.329740383969574
CIR1,0.0512941735065167,180,0.026970660104945,0.110865204431887
PPP1R17,0.0204805367422665,248,0.167549490603079,0.338290840635095
KCNQ5,0.0207328676507522,273,0.130538047124185,0.289895152936279
PEAK3,0.0117366819659595,193,0.521498627939775,0.670408116439268
RASSF6,0.00616763966132406,323,0.575321707658875,0.709379134734337
PDPK1,0.025899083446053,238,0.105082084169443,0.253727604101441
CLDN14,0.0299243934623285,259,0.0521556445171402,0.167691461136006
IFNAR2,0.0087901707635494,308,0.440468250237827,0.607509087796114
DPY30,0.109408923143725,48,0.161674482040489,0.330998176697115
DPH5,0.0149834517408737,277,0.247206325632652,0.429940940302178
SSX2IP,0.0353344662655241,299,0.0145609669472911,0.0760602509182427
CLEC14A,0.0116982348162734,317,0.296139435174921,0.479622123629317
PKN1,0.0224033938919352,321,0.0666993086769881,0.193851973594735
JPH1,0.00488616925260822,289,0.703843961408992,0.801309393599122
SP6,0.0373234226135101,233,0.0341851152124877,0.128137236057879
SMPD1,0.028472480199304,341,0.0214852750829024,0.0962756229664615
CECR2,0.0246456978879132,339,0.0396575189422855,0.140606476093062
