,Rho,N,P,p.adj
AGAP1,0.0151793817685975,256,0.275764143941524,0.452589762374277
ZNF638,0.0391663346312573,342,0.00392721207461019,0.0323812257860837
OLA1,0.00362142671148829,190,0.876855310304985,0.918044924081732
KDM3A,0.00578430442377741,334,0.58787017991131,0.719527964215668
NR4A2,0.0298833303478323,82,0.489820755878292,0.642156724077191
AFF3,0.0347043456209016,313,0.0126946756056098,0.0687600825040422
DYSF,0.00581750319464127,353,0.562553112581641,0.698652412573953
PLD3,0.00217238555648441,259,0.905417918057835,0.935883891183509
IL18R1,0.0254667811985459,342,0.0337984956280793,0.125853338661969
R3HDM1,0.0166877062719092,322,0.147461832131138,0.308650743273838
LYPD6B,0.00240650411212402,291,0.8737010250273,0.916196849219589
WDR81,0.0361733361680841,351,0.00543096870693034,0.040123194192096
MGAT5,0.0147531236624189,241,0.315515355158061,0.491530155270215
APOL6,0.0141756073130888,214,0.388643071085847,0.55774873690176
CAPG,0.039316629394152,261,0.0167678338860957,0.0822028717574893
NOTUM,0.0173131314281113,251,0.228128067459616,0.403179370569567
PSMD14,NA,NA,NA,NA
FAM124B,0.0190866742509107,315,0.111940762238354,0.261563069205959
SAPCD2,0.00384131225611953,258,0.804344965835488,0.870887206010146
CEP19,0.0239355162956417,202,0.186168383163542,0.356276422760546
STAMBP,0.00505018921238356,237,0.754960957799226,0.836626307009315
NHEJ1,0.0310522359532409,318,0.0199438404931642,0.0920034724422745
MYADML2,0.0301766660014083,275,0.0407783337468429,0.141667885229348
PSTPIP2,0.00889660132641057,311,0.430469553934981,0.5937945281162
ASB18,0.00421763647965582,269,0.769758627549673,0.845843458820555
PPP3R1,NA,NA,NA,NA
GPATCH11,0.00495716446034575,290,0.697906426764163,0.798770379148618
RAB1A,NA,NA,NA,NA
KCMF1,NA,NA,NA,NA
CNPPD1,0.0210007895667608,322,0.0806185143530742,0.215026831112496
CLEC16A,0.01505222055307,337,0.167631508844748,0.334143036242347
CXCR4,0.00433219930665806,248,0.784307823085344,0.856367586002867
GULP1,0.0221191103016373,211,0.199714463662097,0.371784763055673
CPVL,0.0149632073983503,347,0.15926737337487,0.32401629397969
NPPC,0.0378359277480633,187,0.0707126232285443,0.198530408868464
EPHA4,0.0663915878941728,199,0.00433221937515563,0.0344077088147573
CCDC74A,0.010806397339896,280,0.389320571222325,0.558358362996287
UAP1L1,0.0202421784257888,325,0.0873850554619011,0.22546454744044
RABL2A,0.0562628742800054,238,0.00396670654541052,0.0325234340927406
TMEM237,0.0118531595386233,315,0.293103044423971,0.469420837689968
CHN1,NA,NA,NA,NA
ELOB,0.0557582001331998,65,0.311982829031775,0.487690010437929
IQCA1,0.0148165065848625,338,0.172298488770569,0.339419432332159
LRRTM4,0.0104564868251907,246,0.464218924067047,0.621808360906741
IL1RN,0.00671425281471377,277,0.60344124412938,0.730609513108675
PREPL,0.0280040758482897,302,0.0379258163095385,0.135526157083633
CCDC74B,0.00977767311425635,279,0.437144411849968,0.599326095548597
MAP3K2,0.00873196599915247,239,0.556334017268787,0.693886784272024
TMEM131L,0.101110630669609,364,5.31722630680492e-08,2.25327615345223e-05
SERF2,NA,NA,NA,NA
UNC50,0.016770858149405,243,0.255211046161056,0.432136801021008
VSTM5,0.01121688187368,258,0.410060138284486,0.577688075704047
ARHGEF33,0.00495859144361499,291,0.696653967025469,0.798050882441005
AGFG1,0.0181925401009531,250,0.209634985408289,0.38279463548386
TAX1BP1,0.00523012578462143,339,0.621970789109919,0.745294341475238
DPAGT1,0.0407379456014765,250,0.0173829231215459,0.0841353128936857
COA5,NA,NA,NA,NA
C5orf52,0.00220926771499711,266,0.899753680653464,0.931682891165391
FAM243A,0.0044452285030722,307,0.714880596210351,0.809515060882969
CD207,0.0292484095589514,305,0.0307685524565539,0.118619585538598
HOXD3,0.0222360443449772,236,0.1560122694696,0.320149265493554
COPS7B,0.0191735916367371,247,0.193756326844803,0.364795736402351
NFU1,0.0184053588008763,250,0.205010957606662,0.378034206515109
IL1R1,0.0248873765318718,348,0.0345444202354379,0.127462109899512
MEF2B,0.0142769154418127,260,0.29600912064278,0.472264251301626
CWC22,0.0174619838732468,321,0.133478494348578,0.289979437676847
ZNF385B,0.0143959864849006,280,0.259690053062584,0.436365369106724
PRPF40A,0.018412040802574,262,0.186602748453189,0.35663363548781
METTL5,0.00588895091264276,215,0.738596497616801,0.82585010119919
IMMT,0.00329928303193063,318,0.790154004049452,0.86032471148631
METTL21A,0.0354536332514942,245,0.0343144512189634,0.126982825273981
GPR137,0.00361741558183926,300,0.781515916841951,0.854587567380693
HJURP,0.0168407112353186,338,0.128520595114209,0.283342268130692
EPN1,0.0771291206870024,306,3.13943265224859e-05,0.00137823921751418
NUP214,0.0093064803129789,356,0.347114034535537,0.520845138754738
SMIM26,0.0748062966118053,277,0.000124654741834009,0.00336844301454969
ZNF142,0.0804613128788153,337,5.78871761902259e-06,0.000456305351482862
AP2M1,NA,NA,NA,NA
TOM1,0.020371600153756,317,0.0921632180107426,0.232660004161465
TBXA2R,0.00967353411981574,180,0.629939653552656,0.750904092896794
TCAF2,0.0112892832727472,271,0.384267410166658,0.554113757075002
PRRT3,0.0358362797137954,301,0.0131521063300153,0.0703514974162069
UNC13D,0.0103874171919583,345,0.311382650523187,0.487220696564109
SNRNP35,0.0195295705704,215,0.242739700457891,0.418665842495741
PPP4R3C,0.0226427163771095,287,0.090621120782528,0.230158124516987
PRR29,NA,NA,NA,NA
ADGRA2,0.0319655406862994,332,0.0142240308247511,0.0735814248503311
EIF3L,0.0130183921271375,263,0.332514152809284,0.50827946877194
ETFBKMT,0.0304080580069608,278,0.0380319951923724,0.135706550577811
BUB1B,0.0503667230121348,346,0.000591265620218045,0.00944667989286076
U2AF1L4,NA,NA,NA,NA
TMEM182,0.0243410834108862,237,0.124724800124271,0.278374328704843
SLC35G6,0.00581983083034623,214,0.743517367560101,0.829161674907401
ARRB2,0.0706678749435644,241,0.00072015753917339,0.010853590788841
CDHR4,0.012141299741501,341,0.247965725936192,0.424872356711345
PIGZ,0.0249789964219936,317,0.0482677579240159,0.156777982563193
PPP6R1,0.0375439024010206,334,0.00584689431521607,0.0418186723398069
PWP1,0.00413171598017339,253,0.791285976391245,0.861084538399852
CBFB,NA,NA,NA,NA
SGO1,0.0641059723225972,333,9.19398881193024e-05,0.00276859694347928
FAM185A,0.0481899028835477,326,0.00133021336539623,0.0160288882870529
MOV10,0.0495761088177417,323,0.0011536877700866,0.0146658795746922
LARGE1,0.00861624693458587,221,0.594360881464363,0.724163625897788
SDCBP,0.00713514883152593,243,0.631012849671619,0.751509315629279
RNF10,0.0234247610742896,320,0.0582693023116076,0.175974168493442
NUGGC,0.0215013551393609,337,0.0650775036799963,0.188726051636157
SBK2,0.0140005466899182,294,0.250641886663807,0.427851455649735
P2RX6,0.0117689952878783,286,0.340174938215779,0.514485559877558
RPP30,0.0134788693381812,276,0.294927908533218,0.471259273674403
PRKCA,NA,NA,NA,NA
CFAP221,0.015469470038464,368,0.128410670385849,0.283142622982011
AMDHD2,NA,NA,NA,NA
PPRC1,0.0322650872380915,354,0.00979545943250426,0.0581640217074654
PHOSPHO1,0.0129108180332757,250,0.359678916970442,0.532848205025425
NFATC4,0.0128113178280782,323,0.248253731288761,0.425166506292221
HHAT,0.0204238715331955,317,0.0914966663063764,0.231585948248554
SMARCA4,0.00847969546922561,264,0.52603226655771,0.671562807161572
DENND6B,0.0391867076146252,301,0.0082674522384977,0.0520209289729615
EPGN,0.00953910859034968,268,0.466867313499681,0.623417056195171
EXOC3L2,0.0197190151275224,287,0.1305211963148,0.286156174104089
GPR6,0.0242630498351739,270,0.0886130930138695,0.227518812287146
CAMTA2,0.112943504347034,346,1.76511345019046e-08,1.22877112039688e-05
SPRN,0.0527920509371221,219,0.00927055100573243,0.0562472229595678
NDRG1,0.033610194972263,228,0.0543224148233507,0.168893956253204
EWSR1,NA,NA,NA,NA
RIC1,0.0491181814538229,337,0.000893826004510295,0.0123155912911744
ENPP3,0.0602834240029172,352,9.75449231756205e-05,0.00286347235322168
LY6H,0.0560433524102303,219,0.00667420148637316,0.0455297020668639
WDR26,0.0259554867263918,182,0.195299301499119,0.366615829588643
SNRPE,NA,NA,NA,NA
