,Rho,N,P,p.adj
PLSCR3,0.0311590733414505,286,0.064161109851387,0.137334481830742
ABR,0.0468383823808,224,0.0335636664440636,0.088201921007582
CTRL,0.0657933945547798,264,0.00168720206329762,0.0116321236486544
METTL4,0.0648473906605805,334,0.00024135598264749,0.00304136790508388
NMRAL1,0.0143468990829609,313,0.345374999082227,0.447716033990044
USP6,0.0631141328225366,264,0.00231222059305645,0.0143346263093187
TSPAN10,0.0911794255603684,297,1.99799373087099e-05,0.000509628390793596
ZNF213,0.0601768610864789,313,0.000870033820122576,0.00728055508221396
WSCD1,0.0202376881181542,299,0.196857592321896,0.299983900291536
HCFC1R1,0.0100900969208231,279,0.590961835171572,0.663460181523938
NAA38,0.0249464557792551,224,0.234241843640632,0.33967659246685
BAIAP2,0.028165045889091,304,0.0738630433282235,0.151187006111593
NLGN2,0.0113294941819246,195,0.699409755604266,0.752484610701877
TMEM100,0.0135100102237578,247,0.505223437155383,0.590228125052784
LITAF,0.0420977114023676,241,0.0387206607436694,0.0975198994097328
NPY4R2,0.0287731382092147,302,0.0701626592617997,0.146173823297565
PAM16,0.0683522458338163,220,0.00476564880415667,0.023319186713038
PCDHGB3,0.053719752172927,190,0.0379272670092775,0.0961968766571561
RUNX2,0.038779603298382,271,0.0332058789867161,0.0876130606107841
ATPAF1,0.0195707619270423,302,0.207453220037824,0.311873065255865
SPON1,0.00675462850513532,286,0.749538361274561,0.793780664940546
GFY,0.0314025168960946,325,0.0375899609505253,0.0955587526180445
AIPL1,NA,NA,NA,NA
TNK1,0.00987307049742488,337,0.506187741493947,0.591055663752636
INCA1,0.0556588608684231,318,0.00144837670546063,0.0104140781184183
CCNQ,0.0665287854671684,233,0.00387959283497583,0.0202316067875159
GOSR2,0.0104779037852667,247,0.630802604574015,0.697200862407065
ZSCAN10,0.0650996775394971,293,0.000782713252060414,0.00671724714081316
GRAPL,NA,NA,NA,NA
CDH8,0.0433280085927575,260,0.0241796079821594,0.0706633453362663
FBXL20,NA,NA,NA,NA
RNF43,0.0525032734731829,344,0.00122931858320435,0.00926353018373639
SLC25A35,0.00196500991752734,297,0.965081567460069,0.970555471986568
MIEN1,0.0243776421237749,285,0.140000107092002,0.235616037295763
CUEDC1,0.0480001850274903,268,0.0122104776818708,0.044513745351786
HEXD,0.0347354031558962,307,0.0310652494748822,0.0835595885839638
