"X","stat","pval","p.adj","num.genes","gene.vals","Directionality","DirectionalityNumeric"
"REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE",-0.0528528191906737,0.11,0.11,6,"XIAP:797, CASP7:1664, APAF1:6330.5, CASP9:6330.5, DIABLO:11691, CASP3:14697","Unclear",0
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE",-0.0543324262147907,0.11,0.11,16,"UACA:510, XIAP:797, CASP7:1664, MAPK3:6330.5, GSDMD:6330.5, GSDME:6330.5, C1QBP:6330.5, APAF1:6330.5, CASP9:6330.5, CDKN2A:6330.5, APIP:6330.5, AVEN:6330.5, DIABLO:11691, BAK1:11864, BAX:12666, CASP3:14697","Unclear",0
"REACTOME_OPIOID_SIGNALLING",-0.0259203891120174,0.11,0.11,58,"CAMK2B:18, ADCY1:209, NBEA:414, ADCY2:584, GNAT3:732, PDE1B:848, ADCY8:1225, ITPR1:1461, ADCY5:1637, PPP3R1:6330.5, PRKAR2B:6330.5, GNA15:6330.5, GNB5:6330.5, PRKACA:6330.5, PRKAR1A:6330.5, GNB3:6330.5, PPP2R5D:6330.5, PDE1A:6330.5, ITPR2:6330.5, PRKCG:6330.5, PPP2R1B:6330.5, PRKCA:6330.5, GNA14:6330.5, PRKAR1B:6330.5, CAMKK1:6330.5, CAMK2A:6330.5, PDYN:6330.5, PLCB4:6330.5, CAMKK2:6330.5, OPRM1:6330.5, ADCY7:6330.5, PPP1R1B:6330.5, ADCY3:6330.5, GNAL:6330.5, CAMK2G:6330.5, PLCB3:6330.5, PDE1C:6330.5, ADCY9:6330.5, PPP1CA:6330.5, GRK2:6330.5, ADCY6:6330.5, PDE4B:6330.5, PRKACB:11306, CAMK4:11329, PDE4D:12007, PLCB2:12278, ADCY4:12597, KPNA2:12632, ITPR3:12647, PLCB1:12840, CAMK2D:12950, PDE4A:13098, PLA2G4A:13389, PRKAR2A:14293, PRKCD:14572, PPP3CC:14706, PRKX:14908, PDE4C:14948","Herbivore",1
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB",-0.0910345282894303,0.11,0.11,17,"ADCY1:209, NBEA:414, ADCY2:584, ADCY8:1225, ADCY5:1637, PRKAR2B:6330.5, PRKACA:6330.5, PRKAR1A:6330.5, PRKAR1B:6330.5, ADCY7:6330.5, ADCY3:6330.5, ADCY9:6330.5, ADCY6:6330.5, PRKACB:11306, ADCY4:12597, PRKAR2A:14293, PRKX:14908","Both",3
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",0.00107915685614979,0.991567950268319,0.996409777264579,8,"CAMK2D:2155, KPNA2:2473, CAMK4:3776, CAMKK1:8774.5, CAMK2A:8774.5, CAMKK2:8774.5, CAMK2G:8774.5, CAMK2B:15087","Herbivore",1
"REACTOME_CA_DEPENDENT_EVENTS",-0.0496265783538102,0.11,0.11,33,"CAMK2B:18, ADCY1:209, NBEA:414, ADCY2:584, PDE1B:848, ADCY8:1225, ADCY5:1637, PRKAR2B:6330.5, PRKACA:6330.5, PRKAR1A:6330.5, PDE1A:6330.5, PRKCG:6330.5, PRKCA:6330.5, PRKAR1B:6330.5, CAMKK1:6330.5, CAMK2A:6330.5, CAMKK2:6330.5, ADCY7:6330.5, ADCY3:6330.5, CAMK2G:6330.5, PDE1C:6330.5, ADCY9:6330.5, GRK2:6330.5, ADCY6:6330.5, PRKACB:11306, CAMK4:11329, ADCY4:12597, KPNA2:12632, CAMK2D:12950, PLA2G4A:13389, PRKAR2A:14293, PRKCD:14572, PRKX:14908","Herbivore",1
"REACTOME_G_PROTEIN_MEDIATED_EVENTS",-0.0484134659666575,0.11,0.11,44,"CAMK2B:18, ADCY1:209, NBEA:414, ADCY2:584, GNAT3:732, PDE1B:848, ADCY8:1225, ITPR1:1461, ADCY5:1637, PRKAR2B:6330.5, GNA15:6330.5, PRKACA:6330.5, PRKAR1A:6330.5, PDE1A:6330.5, ITPR2:6330.5, PRKCG:6330.5, PRKCA:6330.5, GNA14:6330.5, PRKAR1B:6330.5, CAMKK1:6330.5, CAMK2A:6330.5, PLCB4:6330.5, CAMKK2:6330.5, ADCY7:6330.5, ADCY3:6330.5, GNAL:6330.5, CAMK2G:6330.5, PLCB3:6330.5, PDE1C:6330.5, ADCY9:6330.5, GRK2:6330.5, ADCY6:6330.5, PRKACB:11306, CAMK4:11329, PLCB2:12278, ADCY4:12597, KPNA2:12632, ITPR3:12647, PLCB1:12840, CAMK2D:12950, PLA2G4A:13389, PRKAR2A:14293, PRKCD:14572, PRKX:14908","Herbivore",1
"REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS",-0.229287155346335,0.11,0.11,5,"GJC1:889, GJA10:1426, PANX2:6330.5, PANX1:6330.5, GJD2:6330.5","Unclear",0
"REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING",-0.0794213300437367,0.11,0.11,10,"CACNB2:368, CACNA1E:1063, CACNA2D2:6330.5, CACNB1:6330.5, CACNG4:6330.5, CACNA1B:6330.5, CACNA2D3:6330.5, CACNB4:6330.5, CACNB3:11298, CACNA1A:14678","Unclear",0
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",0.064305812364338,0.149816154653823,0.542406680403298,42,"GLS2:36, PPFIA3:188, SLC1A1:394, SLC6A12:481, SLC1A6:666, SYN2:688, ABAT:1312, SLC22A1:1454, SLC5A7:1877, MAOA:2164, SLC6A1:2364, ARL6IP5:2605, GAD2:2741, GAD1:2859, SLC6A11:3111, UNC13B:3381, SLC1A3:3411, SLC38A2:3463, SLC18A3:3529, SYN1:8774.5, SLC6A13:8774.5, SYT1:8774.5, CHAT:8774.5, RIMS1:8774.5, SLC32A1:8774.5, SLC17A7:8774.5, STX1A:8774.5, APBA1:8774.5, SLC1A2:8774.5, ALDH5A1:8774.5, SLC22A2:8774.5, GLS:8774.5, NAAA:8774.5, PPFIA2:8774.5, PPFIA4:8774.5, SLC1A7:8774.5, SYN3:8774.5, SLC18A2:14685, DNAJC5:14734, TSPOAP1:14834, LIN7C:14898, SNAP25:15094","Both",3
"REACTOME_NEUROTRANSMITTER_CLEARANCE",0.155635303353146,0.0884093535106468,0.419860752355541,10,"COMT:65, SLC22A1:1454, MAOA:2164, SLC6A4:3195, SLC6A3:3694, ACHE:4097, SLC22A2:8774.5, ALDH2:8774.5, BCHE:8774.5, LRTOMT:8774.5","Herbivore",1
