,Background...Omnivore.Rho,Background...Omnivore.P,Background...Omnivore.p.adj
XPNPEP2,0.0744041687616473,0.940688791807908,0.984211675954424
OCRL,0.760957975898145,0.446682168242653,0.793961529814512
FOXD3,-0.899537357370724,0.368366506708266,0.742877505318901
PKHD1,-3.81386468197963,0.000136810397166521,0.0364788245730644
SMARCA1,0.929157003847263,0.352807726186851,0.732566573609271
ACTRT1,NA,NA,NA
PRR32,-0.00176129325465084,0.998594692031648,0.999344688891262
DCAF12L1,2.45480420534707,0.014096134103012,0.221833773662471
ANGPTL3,-2.36906459055161,0.0178331387985222,0.240353036565985
SH2D1A,-0.155191839483439,0.876670081495812,0.965320862997867
STX16,0.497034095866909,0.619165007654755,0.877922655019229
TM9SF3,0.21777187201875,0.827606861466394,0.951207906868857
USP1,0.380147979904586,0.703835571609177,0.910316221374711
APCDD1L,-1.56134184431602,0.118443115549952,0.496232980923447
KANK4,-2.8604233991674,0.00423075746388694,0.14004283061329
CRISP3,-0.591751144222184,0.554017243063365,0.849695608277737
C20orf85,0.342565316188999,0.731925498543931,0.919210349372217
OPALIN,2.14403802831659,0.0320298398657348,0.298399823828929
ZBP1,0.880918091564635,0.378362154625827,0.750762720680869
DNTT,0.836511746023707,0.402867071580215,0.766827239361556
NFIA,-0.696757857672821,0.485954343597612,0.818960003857002
GLYATL3,0.579222786783106,0.562438857312405,0.854142901387304
C1orf87,-0.634694172589482,0.525627895033666,0.839086420446141
ENTPD1,3.39341666501099,0.000690265573825604,0.0728281611522118
HOOK1,-1.84850377639829,0.0645294985793751,0.388418394401524
ADGRF4,-1.79999797643839,0.0718609577474521,0.403702232833648
JUN,0.376109147866225,0.706835753779332,0.911064154829642
ALDH18A1,0.790013491693263,0.429519889118415,0.782801380263379
TACSTD2,0.974233545177898,0.329940592310527,0.71807453886404
OMA1,-1.26136529200146,0.207177267171688,0.60840708540586
DAB1,1.39566137728483,0.162816490124802,0.561241514317063
C8B,-0.364334387872901,0.715608324065568,0.913254095935909
PRKAA2,-0.688314136723042,0.49125498127602,0.820334630275817
PLPP3,1.39434103830428,0.163214643906669,0.561973045959806
ADGRF1,-1.26941490105689,0.204293124327637,0.605498836630983
SPO11,-0.064132771807026,0.948864507420027,0.986531849751046
TMEM61,-0.55206231809389,0.580905657867043,0.861242647080031
DHCR24,0.395019156218104,0.692828750629642,0.90622641703235
LEXM,0.689517529094918,0.490497646097805,0.820334630275817
TTC22,-0.63943865822555,0.52253760698497,0.837896059581128
PARS2,-1.5934216917742,0.111065622690445,0.483556234542782
TTC4,0.4342305743582,0.664121012951875,0.895559932951344
MCTS1,NA,NA,NA
SSBP3,NA,NA,NA
TCEANC2,0.15573296905011,0.876243508671591,0.965301155599709
SLC25A27,-0.663208491666653,0.507197033700851,0.830725788634569
CACNA1B,3.19399303358967,0.00140319503404628,0.0954217963872754
LDLRAD1,-2.01418678210612,0.0439899269084965,0.337621013428745
NOC3L,-0.610481180982532,0.541543105942826,0.846695331998539
LRRC42,-1.11158615675152,0.266316127280229,0.669949339682548
PLCE1,-2.12494736125044,0.0335910054235477,0.303786519425884
ENPP5,-0.625486804924299,0.531651605958726,0.841541631465232
FAM210B,-0.412845374367017,0.679719905107884,0.900995484801477
SLC35G1,0.858579664411449,0.390572461422098,0.759124667313926
NKAP,-0.206786073661841,0.836176932698367,0.953571823166932
LGI1,-1.80016337038665,0.0718348457827257,0.403702232833648
PFDN4,0.0103782621788798,0.991719493486357,0.998412307155068
ARRDC1,1.1723308139783,0.241064264815661,0.645229041780777
NDC1,-0.358327836135828,0.720097989043236,0.914573004630678
RNF113A,-1.12012224069051,0.262661674212078,0.665825553388042
MRPL41,-0.607568661311203,0.543473591047082,0.847309698535386
PDE6C,0.0301589893841728,0.975940255371725,0.993962066260784
SUPT3H,0.49763831876724,0.618738990270098,0.877678805394165
RBP4,1.04055740118444,0.298081010470415,0.696268831885413
MAGOH,-1.60756035505961,0.107931500858113,0.477337091298742
ZNF217,-0.00697079609933023,0.994438154459408,0.998708142687451
