,Background...Herbivore.Rho,Background...Herbivore.P,Background...Herbivore.p.adj
TIMM10B,1.20314223860935,0.228921282511424,0.534774837117427
EFR3A,0.767326246802018,0.442887566927011,0.725018851440203
OC90,-0.0761461971996753,0.939302786752463,0.976321873127672
PTCD3,-1.86284567726667,0.0624839814620568,0.278013854649531
ILKAP,-0.00355499148313942,0.997163533156347,0.998749689359671
PER2,-0.890911575673177,0.37297660970794,0.673407709188337
RAMP1,-0.889237851846924,0.373875263973809,0.673939325894451
PTPRE,1.49851848835196,0.133998592779091,0.413262598791351
RPA1,0.353842642036247,0.723456814474247,0.890361722847064
SERPINF1,-2.70166709293736,0.00689928036826342,0.0838439317195519
EEFSEC,-2.51927201157187,0.0117597769863563,0.113953443218841
COQ3,0.177784709090636,0.858892056417442,0.948938204165842
POPDC3,1.18025585928698,0.237898468319776,0.546486170779937
LANCL2,-1.39436332038472,0.163207918566983,0.456402306695827
GRSF1,-3.75476974773607,0.00017350090098959,0.00771154473466282
JCHAIN,-0.844927536231884,0.398151299027815,0.693426579567632
UTP3,0.0775017284194153,0.938224416331458,0.976321873127672
TRIM47,0.866177194914183,0.386392997401481,0.683808379100075
KDM6B,0.551959449482221,0.580976136049852,0.812779132945616
GUCY2D,2.45938949204811,0.013917353653992,0.126393658905726
RIDA,-2.36127243683587,0.0182123456328141,0.145161609132645
MATN2,1.73791593264522,0.0822256278545612,0.32233299303194
BRD8,-1.67926042912478,0.0931012994102967,0.342191814338053
REEP2,-0.522596639894363,0.601254979309501,0.825151275940236
ERAL1,-2.92034654149522,0.00349642348339405,0.0563905567567245
NIP7,2.66272510754308,0.00775107058929951,0.0894837117994608
TERF2,-0.741958381904249,0.458112551552785,0.734405936313355
VPS4A,0.0242853924650949,0.980624964820082,0.993310843110201
JAG1,-0.608668104767892,0.542744452318307,0.791622659014451
HSPA12B,-1.73529109390615,0.0826892584410298,0.323334291657055
SNAP25,4.7979643073602,1.60286332065123e-06,0.000353151742945923
NXT1,NA,NA,NA
RIN2,-1.91223406722762,0.055846178332913,0.26274827116033
SSTR4,1.90043698416293,0.0573757972898402,0.266706566793007
CRP,-1.13997857619123,0.254295226727111,0.565216865171363
HAPLN2,-1.49838238645408,0.134033929958331,0.413287237202674
APCS,1.16335246683222,0.244686526577539,0.555063465032383
IGHMBP2,-0.311455302875302,0.75545451733226,0.903270523300206
ACY3,-4.22076651943593,2.43473010141768e-05,0.00222995532386857
TESMIN,1.0097655951861,0.3126076071974,0.618526609054205
DPH2,-0.156232302811771,0.875849915396625,0.955311722950112
ZSWIM3,0.00800599923132604,0.993612205058308,0.997758310511439
OSER1,-0.0714816969779725,0.943014390986619,0.977960024470888
SERINC3,-1.86640138678008,0.0619852292525924,0.277243417915911
DMGDH,-3.83668838592912,0.000124704542860957,0.00632394312655969
BHMT2,-1.46657648868927,0.142491299737117,0.425474910418358
AP3B1,-2.03440902073609,0.0419103731047018,0.225632190366317
SYT4,-2.31286298946967,0.0207301732491054,0.154703396612583
NMUR2,-0.665305826260831,0.505854904839221,0.767999053957421
PDE6A,0.550655347549944,0.581869959777033,0.813283280813034
ATP8A2,-0.358432958405463,0.720019330634451,0.889255649276547
USPL1,0.678902858227221,0.497199414580862,0.762759356805097
RNF17,-2.79553968487489,0.00518131400775234,0.0711001148162871
MYH4,-0.198042693246746,0.843011660815451,0.941581095213828
PEMT,-2.06732257508532,0.0387037684217083,0.215667901323324
SCO1,-0.196358061329614,0.844329919427619,0.942361782937674
CHI3L1,2.14340499126878,0.0320805926611963,0.195664762631384
MYBPH,0.693819240662845,0.487795574734646,0.756290830551961
CCNA1,-0.229394018512309,0.818562684763753,0.931860850622234
RFXAP,0.139785418996468,0.888829534131525,0.959947568903497
RNF128,-0.372697668369608,0.709373472006636,0.884156661382758
KMT5C,-2.05772323245256,0.0396167088918362,0.218260191313681
PDE6B,1.81345804462023,0.0697612039941654,0.29439578742246
HSPBP1,0.610559152617661,0.541491471635691,0.791326067023879
CSNK1G2,1.60309279840739,0.10891416773427,0.370784260237442
CEP20,-4.56354202285686,5.02977364356254e-06,0.000723904183823973
MED10,NA,NA,NA
CCDC134,0.631837969118047,0.527492760232333,0.782201833760345
SEC14L4,-0.952285975626057,0.340951968343977,0.645671350168974
PI4KA,-1.02952474963901,0.303233155782767,0.610343560227647
MKRN1,0.13901064684838,0.889441735768664,0.960225997352197
ACTR3B,-0.579873675565255,0.561999809049389,0.803267158112403
NTS,-0.460279307946807,0.645315751561233,0.847927279157756
BTG1,NA,NA,NA
KRAS,NA,NA,NA
IPO8,0.69728734387058,0.485622986881752,0.754433000242579
PMP2,-0.634468425246387,0.52577516661239,0.78086089771644
FABP4,-2.29112083790392,0.0219564257638692,0.159675412003653
CCDC59,-1.81256756402852,0.0698985443667783,0.294445724971865
LYVE1,-1.80423084793119,0.071195125319203,0.29696404466569
RRAS2,NA,NA,NA
SARAF,-2.10221874172404,0.0355341187991893,0.206156639711651
RNF122,NA,NA,NA
DUSP26,2.2789146980407,0.0226721365276292,0.161995899387959
ERG28,0.0424592923866936,0.966132562435802,0.988436482535363
DGLUCY,-1.15974754815277,0.246151605098936,0.556113478286009
CATSPERB,0.227427491131181,0.820091345467074,0.932260900860911
VRTN,-0.71273405599799,0.476010338443049,0.74808287360847
SYNJ2BP,0.426407142496098,0.669811197746623,0.862049635526058
TTC9,2.6780665023251,0.00740485146284192,0.0871877968761831
EIF2S1,NA,NA,NA
ELP3,2.80806369656497,0.00498403676286289,0.0698042294350176
ADAMDEC1,-3.32472538130521,0.000885056654861679,0.023382825469003
MBD2,NA,NA,NA
MRPS36,-0.807445004659466,0.419410147092539,0.708942269925108
CCNB1,-2.30115966769424,0.0213826076976759,0.157166326618326
CDK7,0.0708214231796525,0.943539881402453,0.978195491133957
CD180,-0.569694606496914,0.568884848842698,0.80679422573125
IRAK2,-0.799552400835182,0.423970174988422,0.711693695122292
CAMK1,-1.4218786765323,0.155061474431797,0.444318823356053
VHL,-0.678207524356721,0.497640122429907,0.763170567351367
BHLHE40,0.0795978367137851,0.936557115811351,0.97548081426295
ARL8B,NA,NA,NA
EDEM1,-1.00319814742913,0.315765266669741,0.621819743277707
CHL1,-0.539291312861194,0.589685862085582,0.818078834833132
DPH6,-0.614948986884201,0.53858841020835,0.789059433356139
KATNBL1,-0.39949119322144,0.68953131158897,0.873319982871012
EMC7,1.46433062269148,0.143103633989535,0.426460681689972
TSHB,-0.259942583127575,0.794908063392652,0.922893234307838
SORT1,-0.291296298880281,0.770824717841719,0.911926651832434
NOTCH2,1.90061678871927,0.0573522248579091,0.266706566793007
TRIM45,-0.0718875866947666,0.942691368872456,0.977885804804323
ARF3,-1.48506635746889,0.137526246896324,0.41886822070538
SLC38A2,-0.966490112396854,0.333798992207655,0.638204753320102
KIDINS220,-0.283212872332312,0.777013661451276,0.914644549953686
CMPK2,-1.14558566423964,0.251966631727312,0.563191865119943
FST,1.08068913418722,0.279835418096324,0.591890411192192
CFHR5,NA,NA,NA
ERN2,-0.220040009231163,0.825839995350707,0.934352172225024
NARS1,-3.6958729710747,0.000219132524143818,0.00904157788301071
RELCH,-0.918146297609777,0.358542279233785,0.659801622476979
CCNH,0.0276365440190761,0.977952034876146,0.992156414071343
HRH4,-1.92511577015989,0.0542148764595902,0.258070130696821
CABLES1,-2.8091882390838,0.00496665970749948,0.0697547969328365
EMP1,-3.44537625683656,0.000570265001015586,0.0174450297476671
RERG,NA,NA,NA
SLCO1B1,-3.63581311686854,0.000277105176380372,0.0106284604707111
