	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj	Herbivore...Omnivore.Rho	Herbivore...Omnivore.P	Herbivore...Omnivore.p.adj	Insectivore...Omnivore.Rho	Insectivore...Omnivore.P	Insectivore...Omnivore.p.adj	Herbivore...Vertivore.Rho	Herbivore...Vertivore.P	Herbivore...Vertivore.p.adj	Insectivore...Vertivore.Rho	Insectivore...Vertivore.P	Insectivore...Vertivore.p.adj	Omnivore...Vertivore.Rho	Omnivore...Vertivore.P	Omnivore...Vertivore.p.adj
LYL1	0.741375598	1	1	0.650428605	1	1	-0.152316441	1	1	1.64632004	0.598187314	1	1.061338608	1	1	1.223561604	1	1
COL5A3	2.232212367	0.153605583	1	3.512734245	0.002661125	0.307892881	0.930380102	1	1	2.005238035	0.269625634	1	0.171985607	1	1	-0.566434463	1	1
ICAM1	0.180939109	1	1	0.369619497	1	1	0.156753819	1	1	2.062150231	0.235160612	1	1.831066264	0.402543919	1	1.816653527	0.415621091	1
KLF1	1.58129762	0.682860021	1	1.797427091	0.433607059	1	0.030422622	1	1	2.118856006	0.204615828	1	0.877793312	1	1	0.90616339	1	1
C3orf52	0.342992551	1	1	0.592078692	1	1	0.193444199	1	1	1.122673437	1	1	0.82787044	1	1	0.73846021	1	1
PI4K2B	1.351025388	1	1	1.789277534	0.441420782	1	0.282010157	1	1	1.380236393	1	1	0.31938526	1	1	0.117346774	1	1
PPARGC1A	0.593776654	1	1	1.00273974	1	1	0.352972986	1	1	0.408590836	1	1	-0.015277693	1	1	-0.263859158	1	1
F13A1	0.084447442	1	1	0.965276576	1	1	0.797300064	1	1	-0.787607013	1	1	-0.816486552	1	1	-1.513186912	0.781393126	1
CXCL9	-0.463933236	1	1	0.500270057	1	1	0.952788716	1	1	-0.938905608	1	1	-0.55911145	1	1	-1.321170242	1	1
SCARB2	-2.283225559	0.134502512	0.950708218	-0.138007985	1	1	2.276329104	0.136957917	1	-1.707527561	0.526344237	1	0.060752526	1	1	-1.659704935	0.581842956	1
USO1	0.382534067	1	1	-0.499885521	1	1	-0.874030071	1	1	0.12043737	1	1	-0.167314979	1	1	0.480198468	1	1
