,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
AGBL2,2.02390233226612,0.257881211572382,1,0.902820095279881,1,1,-1.22123635075905,1,1,0.882442702762299,1,1,-0.791898253658578,1,1,0.19368446695359,1,1
POT1,1.49601942694252,0.807891556463886,1,1.67509217648069,0.563496886360905,1,0.0184882142273628,1,1,2.05039357968897,0.241956235244396,1,0.804595862481696,1,1,0.833375879594494,1,1
CCR9,-1.07918879817722,1,1,0.979794148362918,1,1,1.98949936050081,0.279876673964012,1,-2.05346281949938,0.240166272832429,1,-1.09308352677642,1,1,-2.81910945641287,0.0288942560639685,0.613809906596597
FAM219B,-0.942519159873205,1,1,0.101150937873934,1,1,1.04947319114914,1,1,0.884358330205088,1,1,1.54488813050503,0.73423994976753,1,0.820784185256666,1,1
DENND2D,-0.548507658262792,1,1,-0.935625002545221,1,1,-0.29209828752019,1,1,0.147022661861631,1,1,0.55883780255513,1,1,0.831455320142251,1,1
BRPF3,0.25467558439349,1,1,0.282384334225612,1,1,-0.00309048663217114,1,1,2.7801491167659,0.0326003654445636,0.38928133134489,2.40755827473425,0.0963575936843575,0.842205011493567,2.56190410307331,0.0624600347282287,0.859195231817091
BRCA1,2.35726229984576,0.110461425445118,0.647090468860063,-3.16044713498038,0.0094516313058642,0.426561204310064,-5.12231061627091,1.81088501920233e-06,0.000882368329517781,-0.875896306670783,1,1,-2.70098336820113,0.041480877371121,0.579889239187051,1.54763914430914,0.73025520828781,1
ATP2B4,2.23934983027238,0.150798977906565,0.780074849752969,-1.22299867852286,1,1,-3.357135064993,0.00472527785315977,0.108090970893466,3.81393352704776,0.000820633624055991,0.0412773599527468,2.02600252066353,0.256587158026396,1,4.66096132567521,1.88841519360219e-05,0.0285226230841675
BCO2,2.62474858872223,0.0520277810587594,0.417389376260726,1.22611318180607,1,1,-1.61589788706812,0.636698355239614,1,0.773100432008416,1,1,-1.45190442766063,0.879169087590552,1,-0.152659769440119,1,1
ASB13,-1.72481989053109,0.507359616082909,1,-1.3934217619017,0.980953732647363,1,0.288275536832456,1,1,0.221587307911738,1,1,1.48054398767745,0.832368784656112,1,1.24428538189279,1,1
MYBPC2,-2.03381656732022,0.251820560970942,1,2.35151271828825,0.11218350255185,1,4.05768194776985,0.000297373208837186,0.0172481453864862,-0.287763225487992,1,1,1.27695718286706,1,1,-2.00514884187249,0.269682823785832,1
SAP130,-2.85714198753596,0.0256484740333547,0.267597574007832,0.0466020184469362,1,1,2.85132240002235,0.0261226801904818,0.299595129986855,0.593638117298109,1,1,2.73229768309827,0.0377365715718306,0.554867766845595,0.55293208957675,1,1
CREB5,0.846469473483013,1,1,-0.782380077567696,1,1,-1.5658871072751,0.704250292025437,1,0.430138999571533,1,1,-0.148021729856306,1,1,0.924590500645627,1,1
NEGR1,1.6474228880428,0.596826924363297,1,-0.117084744047065,1,1,-1.70784982507493,0.525985267306892,1,2.41062107409681,0.0955523072239055,0.712367632928419,1.15386209527748,1,1,2.4528083028083,0.0850475126495731,0.97241304395091
MAFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCTP2,-0.632403374577369,1,1,2.06034869146145,0.236191309089094,1,2.4684992547526,0.0814085607590166,0.595917615701337,-0.422029822279809,1,1,0.0817894317023479,1,1,-1.90933057735309,0.337316761030592,1
CHM,0.950558640401571,1,1,-1.62985895761136,0.618787858008171,1,-2.42350454830352,0.0922293646466061,0.645862101523869,-1.70272799544353,0.531713899505859,1,-2.34130474249868,0.115298848075878,0.933766113317996,-0.512693808476828,1,1
GJA9,1.54869590231613,0.728729036380289,1,-0.305690929936054,1,1,-1.72568907156316,0.506420190982865,1,-1.62861224042353,0.620370788312124,1,-2.72977511397636,0.0380265258003793,0.555147966702672,-1.28560834447288,1,1
APOA4,0.354226377125749,1,1,0.782120004079278,1,1,0.345323021147722,1,1,2.16407439717037,0.182751840566448,1,1.7450909166938,0.485814266678124,1,1.57382691137774,0.693164824139574,1
SGO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COPS5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STMN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
