	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
MEFV	2.635575418	0.050396855	0.577635956														
CRYM	-0.598102585	1	1														
CAPN15	-1.175724778	1	1														
AQP8	0.817734122	1	1														
USP31	-2.490494897	0.076539197	0.713795404														
TOX3	-1.445702086	0.889564674	1														
MAZ	-1.82981628	0.403664493	1														
SLC6A2	-1.206783303	1	1														
KNOP1	0.372893154	1	1														
MGA	2.876984774	0.024089698	0.399315383														
AQP9	3.506481397	0.002724439	0.133949833														
MTFMT	1.953479089	0.304577116	1														
RASL12	1.083113836	1	1														
CTSH	-1.633348437	0.61437441	1														
CEMIP	-0.645429511	1	1														
EHD4	0.527514197	1	1														
GABPB1	0.16550961	1	1														
SCG3	2.292998394	0.131088585	0.942689242														
DNAJC17	1.578139272	0.687201707	1														
RHOV	-0.659907673	1	1														
VPS18	0.249109126	1	1														
OIP5	-0.01797357	1	1														
EXTL3	-0.042567274	1	1														
AGO2	-0.261369106	1	1														
PAG1	1.189607921	1	1														
TG	1.230711579	1	1														
BRF2	0.729971163	1	1														
ZFAND1	-0.024078511	1	1														
RP1	1.369983747	1	1														
RIPK2	1.618484237	0.633349688	1														
CPQ	2.839874815	0.027078745	0.417040247														
DECR1	2.509991383	0.072440465	0.691496908														
PLAT	1.342813806	1	1														
DKK4	3.189996746	0.008536464	0.236920461														
UBR5	1.658740907	0.583008075	1														
PYCR3	-1.182824985	1	1														
MTMR9	-0.472639743	1	1														
GSR	-0.559727251	1	1														
PPP2CB	-0.305788315	1	1														
KCTD9	-1.104350379	1	1														
CNOT3	-1.075127632	1	1														
EXOSC5	-0.483437131	1	1														
MAN2B1	2.935530311	0.019978685	0.370318152														
TULP2	1.683564625	0.55359504	1														
DHDH	5.075970946	2.31E-06	0.002677767														
ECH1	4.179029336	0.000175654	0.032893711														
HNRNPL	-1.299278379	1	1														
KCNA7	0.532841084	1	1														
RELB	0.73805483	1	1														
CLASRP	0.04915578	1	1														
LIN7B	-0.662962174	1	1														
PPP1R37	1.445926129	0.889187535	1														
FCGRT	0.229300887	1	1														
PEX11G	0.117419009	1	1														
RNASEH2A	1.703258013	0.531118767	1														
AMH	1.062599207	1	1														
DKKL1	0.096332979	1	1														
RSPH6A	0.289572202	1	1														
TBC1D17	1.247326373	1	1														
C19orf44	2.40196038	0.097844847	0.804528893														
FBL	-1.504662552	0.794465133	1														
EBI3	0.02241873	1	1														
TBCB	1.126516541	1	1														
FSD1	1.311754862	1	1														
APLP1	0.047270172	1	1														
TGFB1	-1.744616366	0.486310021	1														
DMAC2	3.276335371	0.006309816	0.204862396														
PLIN3	2.272477463	0.138346126	0.961446734														
CD79A	1.038513529	1	1														
NKG7	-3.806434197	0.000845909	0.074288284														
ICAM5	0.291584057	1	1														
CNFN	-1.995457104	0.275958289	1														
EPOR	1.327692711	1	1														
RASIP1	-0.255904423	1	1														
GCDH	3.372877217	0.004463227	0.17541584														
DNASE2	2.97220013	0.017740433	0.345952028														
LENG1	0.43503118	1	1														
RPL18A	-0.870153008	1	1														
SLC5A5	1.538230155	0.743954101	1														
KCNN1	0.299265012	1	1														
ARRDC2	2.246244821	0.148129985	0.99444253														
PIK3R2	0.037585795	1	1														
COMP	-0.341118931	1	1														
TMEM147	-1.275325459	1	1														
ERF	0.027861722	1	1														
SIPA1L3	1.831192157	0.402431201	1														
PON1	1.32030065	1	1														
HGF	-0.808659119	1	1														
WNT16	0.483610907	1	1														
CPA2	0.795240004	1	1														
CPA4	0.93010405	1	1														
GTPBP10	-1.619522535	0.632009292	1														
ITGB8	1.746735514	0.484099362	1														
NPVF	0.593749916	1	1														
CAV2	-0.540022905	1	1														
LFNG	-1.735448329	0.495968556	1														
HOXA5	0.327351049	1	1														
HOXA6	-0.82436895	1	1														
TSPAN12	0.089558899	1	1														
ABHD11	3.555138597	0.002266679	0.120769436														
STX1A	-0.212639662	1	1														
NOD1	-0.711462423	1	1														
SNX8	-1.059039665	1	1														
HYAL4	-1.10774545	1	1														
AIMP2	0.058224576	1	1														
MOSPD3	0.064424793	1	1														
PCOLCE	1.913829212	0.33385189	1														
RBM28	0.922991749	1	1														
SERPINE1	2.623154676	0.052271827	0.588011872														
PLOD3	0.381478289	1	1														
GLCCI1	-2.110090658	0.209103287	1														
ZNF862	3.289335164	0.006025462	0.200173897														
MEST	-0.583797435	1	1														
RARRES2	1.359632851	1	1														
YAE1	-0.102509309	1	1														
MRPL32	2.072137951	0.229515468	1														
AEBP1	-0.668358012	1	1														
CLIP2	2.060113723	0.236326021	1														
ZNF688	0.772966189	1	1														
CHMP5	-0.890764037	1	1														
FKTN	3.363755567	0.004613377	0.177776434														
SEC61B	-1.311220136	1	1														
C5	0.48667471	1	1														
TNFSF8	0.314439064	1	1														
AK1	0.120962405	1	1														
PLGRKT	3.613128233	0.00181515	0.109028866														
SETX	-1.139064332	1	1														
BLNK	0.548894347	1	1														
CYP26A1	1.796049388	0.434919976	1														
ATE1	-1.156879904	1	1														
CDH23	-0.155000611	1	1														
ACTA2	-1.549193338	0.12133525	0.903029268														
SFXN3	-0.182954059	1	1														
PITRM1	0.92564091	1	1														
TBC1D12	1.388232886	0.990396849	1														
MPO	1.292367519	1	1														
ST6GALNAC2	1.588986367	0.672380823	1														
DHX33	1.565830688	0.704329559	1														
UTP18	1.896137174	0.347651448	1														
P2RX5	0.223869153	1	1														
NUFIP2	-0.430966632	1	1														
CSF3	2.239625276	0.150691562	1														
WNT3	-0.087338088	1	1														
SHPK	-0.141487787	1	1														
P2RX1	0.563948882	1	1														
RPS6KB1	-1.08557981	1	1														
CBX1	-1.158432651	1	1														
PIGL	1.057550862	1	1														
GALK1	-0.897382734	1	1														
PFN1	-0.447691855	1	1														
C1QBP	2.23063526	0.154231795	1														
CPD	1.831965015	0.401739798	1														
MED31	-0.794561603	1	1														
DRG2	0.638284739	1	1														
AKAP10	0.047341969	1	1														
ALDH3A1	-0.762816502	1	1														
SYNGR2	-0.113689968	1	1														
DDX5	-1.362201007	1	1														
C17orf75	0.571193775	1	1														
CCL1	-0.991602307	1	1														
PEX12	0.303268126	1	1														
KRT32	1.925628803	0.324904438	1														
NAGLU	5.085044031	2.21E-06	0.002677767														
HSD17B1	1.227002456	1	1														
ABI3	-0.483753669	1	1														
COL1A1	1.306121669	1	1														
MRPL27	0.017644012	1	1														
LRRC59	-1.864492283	0.373515626	1														
HDAC5	0.545541095	1	1														
PPY	0.927797998	1	1														
CACNG1	-1.463362766	0.860208848	1														
RANGRF	0.996508939	1	1														
MYH1	-2.006377944	0.268895638	1														
VTN	1.612808758	0.640716376	1														
TMEM97	1.31137102	1	1														
CD38	-0.538621015	1	1														
IBSP	2.301465688	0.128191936	0.930140236														
LAP3	-0.429899195	1	1														
CXCL6	-0.37245911	1	1														
JADE1	-0.776136568	1	1														
AFM	0.431868471	1	1														
AFP	3.281887894	0.006186875	0.202365837														
PHOX2B	-1.302247401	1	1														
GNRHR	1.144876828	1	1														
CWH43	1.125078458	1	1														
SULT1E1	1.998190472	0.274176085	1														
PF4V1	-1.023743975	1	1														
NFKB1	0.995593375	1	1														
IL2	0.196511356	1	1														
FRG1	1.432435691	0.912115022	1														
CD82	-0.573843912	1	1														
CTSC	0.65811122	1	1														
ZPR1	0.079046008	1	1														
CRTAM	-1.227130927	1	1														
JHY	3.084064555	0.012251597	0.280596827														
DTX4	1.496806258	0.806662066	1														
UNC93B1	-0.046989976	1	1														
PUS3	1.600788306	0.656542887	1														
PRPF19	-0.977124171	1	1														
TMEM109	-1.4597788	0.866105261	1														
PANX1	0.173661992	1	1														
IL10RA	3.163812494	0.009343025	0.248899749														
BIRC2	0.156318778	1	1														
PDHX	0.566066634	1	1														
SLC15A3	1.622204214	0.628557778	1														
DGAT2	0.6031765	1	1														
YBX3	-0.296723991	1	1														
SART3	2.071664696	0.229780331	1														
RPLP0	-0.223769407	1	1														
CD69	0.952628329	1	1														
PRDM4	-0.871920028	1	1														
ASIC1	0.680848528	1	1														
DAO	2.227095062	0.155645527	1														
KCTD10	1.118716489	1	1														
MVK	0.231008328	1	1														
CSRNP2	1.863022666	0.374754464	1														
IL23A	2.514631787	0.071494056	0.687333421														
SYT10	1.03876201	1	1														
CYP27B1	2.322988311	0.121078682	0.902174337														
MYF5	1.793891146	0.436983269	1														
GLI1	1.219671929	1	1														
LTA4H	-0.234553511	1	1														
ITFG2	-0.923395094	1	1														
ARPC3	1.366131929	1	1														
MYL2	0.38131498	1	1														
RAD51AP1	2.542187212	0.066096691	0.661223698														
CREBL2	0.95176257	1	1														
GPRC5D	0.976437731	1	1														
LTBR	0.094170082	1	1														
OGFOD2	1.437257807	0.903868518	1														
OAS3	1.925719663	0.324836324	1														
ART4	2.995145261	0.01645885	0.331101105														
VDR	3.259287985	0.006701534	0.210190467														
FZD10	-2.56642585	0.061651555	0.64053673														
IL26	-0.08846323	1	1														
IFNG	1.095139167	1	1														
NUP107	1.017548486	1	1														
CNOT2	-0.763242133	1	1														
KRR1	-0.105913188	1	1														
MRPL51	1.641704411	0.603907663	1														
ACRBP	1.837830577	0.396524247	1														
CHPT1	0.674163355	1	1														
USP5	1.472772559	0.844874243	1														
TPI1	0.702045897	1	1														
C12orf57	-0.596311801	1	1														
APOBEC1	0.532614824	1	1														
GOLT1B	-0.799512107	1	1														
HCFC2	2.093984611	0.217568107	1														
RAB35	-1.362010449	1	1														
COX6A1	-0.461676433	1	1														
SRSF9	0.304905033	1	1														
RSPH4A	1.439721356	0.899677492	1														
ADTRP	1.866079032	0.372181855	1														
HINT3	2.189618221	0.171311619	1														
SLC44A4	3.012021883	0.015570833	0.322929953														
FBXO5	1.365776251	1	1														
FANCE	3.822196252	0.00079361	0.071167827														
TULP1	1.723966782	0.50828304	1														
MAPK14	0.571784582	1	1														
STK38	-0.653011111	1	1														
HLA-DOA	1.931142497	0.320792597	1														
SAYSD1	1.169489108	1	1														
CAP2	-0.441430399	1	1														
GPR63	-1.670470434	0.568957946	1														
GPLD1	1.899773129	0.344777392	1														
ACOT13	2.274492	0.137618529	0.961446734														
B3GAT2	0.814791799	1	1														
ZBTB24	-1.323770206	1	1														
UNC93A	1.679609731	0.558199639	1														
C6orf118	1.095220926	1	1														
BYSL	0.457749293	1	1														
PRPH2	-0.209462725	1	1														
PTK7	0.918290531	1	1														
EXOC2	-0.45751772	1	1														
TMEM30A	2.102641393	0.212982772	1														
LAMA4	0.28173315	1	1														
PRSS16	1.020841491	1	1														
MTREX	-1.326577047	1	1														
NUDT12	2.759807229	0.034701286	0.475118862														
TENT4A	-1.435194923	0.907389359	1														
HBEGF	1.569234553	0.699559774	1														
LOX	1.402032813	0.965432691	1														
GZMK	0.258231768	1	1														
CDH9	-0.677519565	1	1														
THG1L	2.251083417	0.146281527	0.987148366														
IL12B	0.519929849	1	1														
TTC1	1.739722206	0.491446849	1														
LNPEP	-0.171698653	1	1														
AGXT2	2.25496257	0.14481407	0.982451979														
IL4	1.025286127	1	1														
IL5	1.433499571	0.910290728	1														
ST8SIA4	2.302245056	0.127928138	0.92935139														
PCDH12	0.917926455	1	1														
NUP155	-0.648111824	1	1														
C5orf15	1.923207849	0.326723712	1														
RARS1	2.766619156	0.033984529	0.469879468														
CDX1	2.598413465	0.056193389	0.61176517														
BNIP1	-0.32373029	1	1														
SLC7A14	-0.870098893	1	1														
SEMA3G	0.615849257	1	1														
ZMYND10	0.963212099	1	1														
MLH1	2.593206585	0.057051382	0.616814426														
EHHADH	4.056046942	0.000299461	0.043831511														
RBP2	0.796186687	1	1														
RBP1	0.217816721	1	1														
HES1	0.023720107	1	1														
GNAT1	-0.487992863	1	1														
TUSC2	1.074725933	1	1														
GNB4	-1.137410042	1	1														
MORC1	2.309674915	0.125436952	0.919320772														
UMPS	0.862087612	1	1														
ABTB1	-0.170786497	1	1														
RRP9	0.286787099	1	1														
ZBTB47	1.020045674	1	1														
TNNC1	-0.269990926	1	1														
NEK4	0.934880409	1	1														
EIF2AK2	1.715922517	0.517057349	1														
DAZAP1	-1.313305688	1	1														
HEATR5B	1.699841188	0.53496481	1														
MAPRE3	-1.890635076	0.352038448	1														
MSH2	0.212546009	1	1														
TFPI	0.576742525	1	1														
SLC11A1	-0.198998973	1	1														
APOB	0.926132013	1	1														
TTL	0.265332816	1	1														
FAHD2A	2.528655894	0.068700135	0.67242699														
SLC30A3	1.533369587	0.751108907	1														
TTC31	1.279041231	1	1														
PCGF1	0.440436796	1	1														
DOK1	1.02191616	1	1														
ACADL	0.30309844	1	1														
FANCL	1.076371552	1	1														
IGFBP2	0.417870006	1	1														
GGCX	2.965148338	0.018152221	0.3507593														
NEU2	1.616320626	0.636150057	1														
HSPE1	0.618044116	1	1														
IL1RL1	1.245438111	1	1														
SLC9A2	0.437418654	1	1														
AZU1	-1.07341535	1	1														
PROC	2.5176643	0.070881514	0.685870215														
ID2	0.009467243	1	1														
ODC1	1.00342989	1	1														
GORASP2	2.039878278	0.248174704	1														
CEBPZ	2.151033769	0.188841206	1														
