	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
PAPPA2	1.983049757	0.284171232	1														
TNR	-1.530750658	0.754986172	1														
ECT2L	2.782836981	0.032331524	0.46104102														
RC3H1	0.605283913	1	1														
SERPINC1	1.849761427	0.386087656	1														
SLC9C2	0.634472108	1	1														
FASLG	-0.340076029	1	1														
SUCO	1.208177362	1	1														
C1orf105	2.174492225	0.178009132	1														
IFNGR1	1.085494435	1	1														
PRRC2C	0.205226267	1	1														
FMO4	1.379560021	1	1														
FMO1	0.824360528	1	1														
FMO3	2.316901552	0.123054571	0.909600421														
MROH9	3.018029924	0.015265427	0.320247027														
GORAB	2.66978461	0.045539951	0.553000768														
SCYL3	0.392696626	1	1														
F5	1.250403676	1	1														
AHI1	-1.201432087	1	1														
CCDC181	0.604926738	1	1														
NME7	1.033394446	1	1														
ATP1B1	0.184152482	1	1														
TBX19	1.80164992	0.429603012	1														
HBS1L	2.475292835	0.079876182	0.727050255														
DCAF6	-0.171312585	1	1														
ADCY10	1.920926439	0.328445892	1														
SGK1	-1.058846154	1	1														
POU2F1	1.060627678	1	1														
GPA33	-0.104568033	1	1														
MAEL	-0.431970931	1	1														
POGK	1.124360257	1	1														
MGST3	3.543838834	0.002366077	0.122603241														
NUF2	0.438876511	1	1														
CCDC190	0.366605168	1	1														
DDR2	0.181206383	1	1														
VNN1	2.306165864	0.126608197	0.922855628														
SH2D1B	-0.988085982	1	1														
TAAR2	-0.117672989	1	1														
SPATA46	-0.142833417	1	1														
OLFML2B	-1.325455043	1	1														
ATF6	-1.663260596	0.577561696	1														
DUSP12	-0.79455254	1	1														
FCRLB	0.020212721	1	1														
FCRLA	0.39990711	1	1														
MOXD1	-0.424798161	1	1														
FCGR3B	-2.050441367	0.24192828	1														
FCGR3A	-1.736558457	0.494790826	1														
CFAP126	-0.670943455	1	1														
SDHC	1.690797202	0.545253251	1														
CCN2	1.286936713	1	1														
NR1I3	0.266569954	1	1														
APOA2	-1.196162777	1	1														
NDUFS2	0.882100388	1	1														
ADAMTS4	-0.861304456	1	1														
UFC1	-1.767056042	0.46331306	1														
DEDD	-0.123635946	1	1														
NIT1	1.562655231	0.708802259	1														
KLHDC9	1.440066617	0.899091316	1														
NECTIN4	-1.336661434	1	1														
ARHGAP30	1.588522142	0.67300991	1														
USF1	-1.566148601	0.703882995	1														
F11R	0.524175664	1	1														
SLAMF7	0.519305723	1	1														
SLAMF6	1.696417957	0.538840532	1														
VANGL2	-0.594993292	1	1														
COPA	0.184210765	1	1														
PEX19	0.980813104	1	1														
CASQ1	-1.35521051	1	1														
ATP1A4	1.045647294	1	1														
PIGM	-2.279729614	0.135742379	0.956052793														
SLAMF9	0.376102227	1	1														
IGSF9	-0.533436641	1	1														
TAGLN2	1.467357651	0.853672731	1														
CFAP45	-0.881153034	1	1														
VSIG8	-2.620637248	0.052659357	0.589766269														
FCRL6	0.547743096	1	1														
FCER1A	0.77269334	1	1														
ACKR1	0.746568089	1	1														
CADM3	-2.450761608	0.085532598	0.74914902														
EPB41L2	-0.317065139	1	1														
OR6K6	-1.456518781	0.87149557	1														
ARHGAP18	-1.737107418	0.494209274	1														
CD1D	-1.261719668	1	1														
CD5L	0.595347845	1	1														
FCRL1	-0.407014828	1	1														
FCRL3	1.407333317	0.955971447	1														
ETV3	1.875379285	0.364443378	1														
ARHGEF11	-0.028006573	1	1														
INSRR	1.255319934	1	1														
MRPL24	-0.521867798	1	1														
RRNAD1	-0.463351455	1	1														
ISG20L2	-0.823032648	1	1														
NAXE	0.5134418	1	1														
TTC24	0.812240648	1	1														
BGLAP	0.133780719	1	1														
PMF1	-0.131899223	1	1														
LAMTOR2	2.658462872	0.0470988	0.561569395														
UBQLN4	1.371758089	1	1														
RSPO3	0.981379045	1	1														
DAP3	0.00452383	1	1														
YY1AP1	1.774454874	0.455927641	1														
ASH1L	-0.528883236	1	1														
RUSC1	0.171115498	1	1														
FDPS	-1.503616335	0.796081096	1														
NCOA7	0.88111408	1	1														
HCN3	0.099651554	1	1														
MTX1	-0.515826743	1	1														
THBS3	-0.348452829	1	1														
SLC50A1	0.876957454	1	1														
EFNA1	2.578406265	0.059554335	0.628826616														
NKAIN2	-2.379696569	0.103961394	0.832083212														
DCST2	1.621206244	0.629840484	1														
SMPDL3A	0.02145731	1	1														
PBXIP1	0.905376102	1	1														
PMVK	-0.528786067	1	1														
MAN1A1	1.285194522	1	1														
CHRNB2	-0.345142203	1	1														
TDRD10	-1.293625826	1	1														
IL6R	0.675161009	1	1														
CEP85L	0.031719098	1	1														
ROS1	1.956294484	0.302582842	1														
C1orf189	0.517905014	1	1														
ECHS1	0.175120921	1	1														
FAM162B	2.000615363	0.27260314	1														
NUP210L	1.127269751	1	1														
TUBGCP2	-1.197070799	1	1														
ZUP1	3.711279653	0.001237285	0.09322831														
CFAP46	-0.667728115	1	1														
CALHM4	-0.468681108	1	1														
CALHM5	0.207710818	1	1														
CREB3L4	1.057102921	1	1														
LRRC27	0.648618121	1	1														
CRTC2	0.219093905	1	1														
TCERG1L	-1.692297954	0.543535067	1														
GLRX3	-1.620364546	0.630923947	1														
TUBE1	-0.029665411	1	1														
CLRN3	-0.564970534	1	1														
ADAM12	0.126848381	1	1														
NPR1	-0.860538878	1	1														
SNAPIN	0.298666834	1	1														
CHTOP	-0.419378124	1	1														
FANK1	0.385126399	1	1														
S100A8	1.198099347	1	1														
PRR9	1.309236609	1	1														
UROS	-0.459832435	1	1														
TCHHL1	0.37675448	1	1														
MMP21	-2.360695612	0.109444173	0.857110764														
S100A10	0.393189444	1	1														
THEM4	0.602715415	1	1														
THEM5	1.858408491	0.378666164	1														
LINGO4	0.522043094	1	1														
TEX36	0.445546434	1	1														
MRPL9	1.550754092	0.725763757	1														
LHPP	-0.869623842	1	1														
OAT	-1.616521999	0.635889006	1														
TUFT1	-0.126474792	1	1														
SLC16A10	0.930779175	1	1														
BUB3	0.180497051	1	1														
PI4KB	-0.389387831	1	1														
PIP5K1A	0.760063686	1	1														
SCNM1	0.36158061	1	1														
LYSMD1	0.643991376	1	1														
TNFAIP8L2	1.126130438	1	1														
SEMA6C	-0.001993014	1	1														
GABPB2	1.4484974	0.884867955	1														
SLC22A16	3.054719622	0.013516261	0.297778656														
DDO	1.634691702	0.612682157	1														
BNIPL	1.722607507	0.509757159	1														
ANXA9	-0.686023578	1	1														
CEP57L1	2.232822984	0.15336372	1														
AFG1L	0.60466865	1	1														
NR2E1	1.298208484	1	1														
HTRA1	-0.918908997	1	1														
CTSS	1.292582392	1	1														
PLEKHA1	-1.039802003	1	1														
TACC2	-0.151663961	1	1														
SCML4	1.107549677	1	1														
NSMCE4A	-0.614251908	1	1														
PDSS2	0.838993704	1	1														
ADAMTSL4	1.222102312	1	1														
BEND3	0.594235612	1	1														
QRSL1	2.453681123	0.084841386	0.748697299														
ECM1	-1.485018884	0.825232931	1														
RTN4IP1	1.116444775	1	1														
TARS2	2.101948562	0.213346692	1														
RPRD2	-0.744626514	1	1														
SEC23IP	0.188043104	1	1														
BAG3	-0.369552245	1	1														
CIART	0.387519287	1	1														
C1orf54	0.387436466	1	1														
APH1A	-0.197277179	1	1														
PLEKHO1	-0.637886895	1	1														
EIF3A	-2.27387296	0.137841755	0.961446734														
BOLA1	1.508047018	0.789254963	1														
ASCC3	-0.844991409	1	1														
FCGR1A	-1.410389349	0.950548492	1														
FAM204A	0.050397413	1	1														
RAB11FIP2	-0.996109002	1	1														
SIM1	0.54763692	1	1														
PRDM13	0.466762578	1	1														
PNLIP	3.999447869	0.000380943	0.049499213														
GJA8	-2.737825072	0.037108178	0.49480161														
PNISR	0.779097586	1	1														
FBXL4	0.462474986	1	1														
FAM160B1	1.304162643	1	1														
CHD1L	-0.072213785	1	1														
UFL1	0.239341634	1	1														
CCDC186	0.0475854	1	1														
ADRB1	0.771459499	1	1														
NHLRC2	0.473979194	1	1														
DCLRE1A	1.821325687	0.411344184	1														
PLEKHS1	1.638440996	0.607978399	1														
GJA10	0.425294985	1	1														
SCAF11	3.322116434	0.005360244	0.190766144														
FCGR1B	-1.184263061	1	1														
MDN1	3.348280631	0.004878878	0.179042154														
ZDHHC6	0.890114312	1	1														
HMGCS2	-1.812236347	0.419698111	1														
GDAP2	-1.60731335	0.647913884	1														
SHOC2	0.356108753	1	1														
VTCN1	0.997692509	1	1														
TTF2	0.328885137	1	1														
CD101	1.045933667	1	1														
CD2	1.065593978	1	1														
IGSF3	-0.444037133	1	1														
FUNDC2	-0.320818383	1	1														
MAB21L3	-0.533754883	1	1														
SLC22A15	-1.413378706	0.945266419	1														
NHLH2	1.011843649	1	1														
RBM20	1.542045979	0.738374525	1														
SYCP1	1.156335613	1	1														
SMIM9	0.562859102	1	1														
MPP1	-1.240383874	1	1														
NRAS	-0.68789549	1	1														
RARS2	2.065477149	0.233267253	1														
BCAS2	-0.856356211	1	1														
SYT6	-1.848225797	0.38741811	1														
DKC1	-0.655844429	1	1														
SLC35A1	1.279141931	1	1														
CFAP206	2.357007082	0.110537373	0.861433848														
AP4B1	-0.660916084	1	1														
GAB3	-1.177882911	1	1														
DUSP5	0.255849923	1	1														
SMNDC1	-2.244789204	0.148690009	0.99444253														
PHTF1	-0.070813299	1	1														
G6PD	1.195382209	1	1														
TAFA3	-0.810645298	1	1														
RHOC	-0.057037854	1	1														
TBX18	1.576938409	0.688858186	1														
CYB5R4	1.953597905	0.304492732	1														
SORCS3	-2.378428175	0.104319743	0.832653356														
PRSS35	4.270062482	0.000117251	0.027860769														
DDX20	-1.919700882	0.329374157	1														
CFAP58	0.898609103	1	1														
ME1	1.282667213	1	1														
GSTO1	3.101500007	0.011552572	0.271424247														
TMIGD3	2.272032594	0.13850725	0.961446734														
ATP5PB	1.922499586	0.327257554	1														
SFR1	2.216725188	0.159851259	1														
UBE3D	2.647921613	0.048592981	0.568728551														
SLK	1.58309395	0.680400315	1														
TENT5A	1.612989568	0.640480646	1														
ATP6AP1	0.86446028	1	1														
LRIF1	2.397245595	0.099113085	0.806973164														
KCNA10	-2.917908939	0.021143234	0.377360719														
SH3PXD2A	2.928530298	0.020434118	0.374673222														
SLC16A4	0.765218785	1	1														
NEURL1	0.07781231	1	1														
CALHM3	-0.889207299	1	1														
RBM15	-1.573210686	0.69402025	1														
KCNC4	-1.509814546	0.786544515	1														
CALHM2	-2.69566906	0.042148452	0.533352071														
STRIP1	-0.688284158	1	1														
PDCD11	1.726436938	0.505613011	1														
TTK	1.26099984	1	1														
AHCYL1	-1.249516035	0.634429177	1														
EPS8L3	-2.155973417	0.186514445	1														
ELOVL4	-1.836409133	0.397783019	1														
SH3BGRL2	0.515951262	1	1														
TAF5	1.628163435	0.620941414	1														
EMD	-2.128060049	0.199992631	1														
PCGF6	-0.49304692	1	1														
INA	0.240578951	1	1														
FLNA	0.243834113	1	1														
GNAI3	-1.180753589	1	1														
AMIGO1	-0.198196581	1	1														
ATXN7L2	1.454359358	0.875080209	1														
SYPL2	-0.998307718	1	1														
AS3MT	2.064975273	0.23355204	1														
CYP17A1	3.514029196	0.002648186	0.131675242														
ZNF512B	-0.711388902	1	1														
SFXN2	2.135356004	0.196391649	1														
PSRC1	2.035195208	0.25098741	1														
TKTL1	-1.228248003	1	1														
ABHD16B	-0.137181021	1	1														
SARS1	-0.04009573	1	1														
OPN1MW2	-2.684420332	0.043593418	0.540242398														
CUEDC2	0.619268579	1	1														
ELAPOR1	-0.707708719	1	1														
IRAK1BP1	0.972240081	1	1														
HTR1B	0.565457143	1	1														
C1orf194	1.357703119	1	1														
IMPG1	1.893213105	0.349977212	1														
OPN1LW	-2.470116335	0.081041471	0.728800915														
NFKB2	2.577888378	0.059643662	0.629248044														
TMEM187	0.538527263	1	1														
HCFC1	-3.113267872	0.01110168	0.267743923														
AKNAD1	0.722330481	1	1														
ELOVL3	0.042337324	1	1														
STXBP3	0.07446064	1	1														
FNDC7	-1.285483636	1	1														
PRPF38B	1.216816968	1	1														
ARHGAP4	0.929837928	1	1														
HENMT1	-0.160500627	1	1														
ARMH3	-0.454770126	1	1														
FAM102B	0.744442542	1	1														
STMN3	-1.056025834	1	1														
L1CAM	-2.325669441	0.120217152	0.900526595														
GMEB2	-2.17808702	0.176397353	1														
PRMT6	-0.561914293	1	1														
FNDC11	-1.876857117	0.363226078	1														
SRPK3	-0.718056194	1	1														
SLC30A7	1.161291888	1	1														
EXTL2	0.373291234	1	1														
DBT	0.98578314	1	1														
TRMT13	-0.455870659	1	1														
DPCD	-0.375272913	1	1														
MFSD14A	0.299749109	1	1														
SLC35A3	-0.675213349	1	1														
POLL	1.873023248	0.366391049	1														
PLPPR4	-1.648596105	0.595382443	1														
BTRC	-0.721817489	1	1														
DPYD	1.177427042	1	1														
LBX1	-0.70082166	1	1														
PTBP2	-2.665958251	0.046061536	0.55439281														
KAZALD1	0.497942276	1	1														
RWDD3	0.407705834	1	1														
TLCD4	-0.75918264	1	1														
ALG14	0.714467749	1	1														
CNN3	-1.081521916	1	1														
HAUS7	1.26792111	1	1														
ABCD3	2.078386817	0.226042476	1														
LZTS2	0.990454536	1	1														
ABCA4	-1.082740173	1	1														
TREX2	-2.781845795	0.032430429	0.46151381														
MRPL43	3.136285953	0.010266137	0.258357687														
BCAR3	1.408134002	0.954548366	1														
ZNF275	-1.596096136	0.662803988	1														
CHRNA4	-2.237241177	0.151623489	1														
SLF2	0.92424324	1	1														
DR1	-0.3759951	1	1														
NSDHL	-1.724304038	0.507917824	1														
RPL5	-1.182102028	1	1														
GABRE	-1.201010103	1	1														
DDX43	0.684381662	1	1														
YTHDF1	-1.829825034	0.403656637	1														
SEC31B	2.768651165	0.03377332	0.469508141														
FATE1	-0.131054857	1	1														
SLC17A9	0.263497466	1	1														
SCD	2.591175035	0.057389297	0.618213579														
GLMN	2.202719613	0.165687102	1														
DPPA5	0.932374077	1	1														
C1orf146	-0.003434972	1	1														
EPHX4	0.233975055	1	1														
MTM1	0.166740179	1	1														
CHUK	-0.5420695	1	1														
CPN1	0.902498447	1	1														
HFM1	2.283011815	0.134578034	0.950708218														
OGFRL1	1.253935294	1	1														
SMAP1	0.901753378	1	1														
AFF2	-1.129714149	1	1														
FMR1NB	-1.287379493	1	1														
SDHAF4	1.076802013	1	1														
CUTC	0.370160069	1	1														
ENTPD7	-1.351840778	1	1														
GTF2B	-0.47905926	1	1														
NTSR1	-1.997569088	0.274580384	1														
GOT1	1.675321457	0.563227066	1														
PKN2	0.818283162	1	1														
CLCA4	-1.086636121	1	1														
CLCA2	3.144875557	0.00996945	0.254921627														
COL24A1	2.742605217	0.036572351	0.49176737														
ZNHIT6	0.888768106	1	1														
PYROXD2	1.819619942	0.412901416	1														
MCOLN3	0.26147744	1	1														
CRTAC1	1.122673397	1	1														
ADGRB3	1.575206616	0.691252563	1														
GOLGA7B	-1.913533083	0.334079054	1														
MCOLN2	0.561021619	1	1														
LPAR3	0.056415962	1	1														
AVPI1	1.473030794	0.844456396	1														
CD40LG	1.251132157	1	1														
CTBS	1.347277085	1	1														
HOGA1	2.174359088	0.178069068	1														
BRS3	0.866780784	1	1														
RPF1	-1.36526554	1	1														
LGSN	0.011220152	1	1														
UBTD1	-1.219079114	1	1														
DNASE2B	1.392090816	0.983369394	1														
SAMD13	0.370086247	1	1														
SLC9A6	-0.962274141	1	1														
ZNF451	3.266779562	0.006526701	0.209347626														
ADGRL2	2.824941586	0.028373542	0.430129382														
ADGRL4	2.026479996	0.256293724	1														
BEND6	2.716889911	0.039539114	0.512720035														
IFI44	-0.583722999	1	1														
IFI44L	-0.38255989	1	1														
PTGFR	5.195581747	1.22E-06	0.002598763														
GIPC2	-1.222444688	1	1														
FUBP1	0.061463981	1	1														
MMS19	-0.221558097	1	1														
MIGA1	0.907443644	1	1														
USP33	0.288064531	1	1														
ZZZ3	1.899410175	0.3450634	1														
PIGK	2.325215889	0.120362515	0.900526595														
MTG2	-1.25443099	1	1														
GPC4	-0.011237874	1	1														
ACADM	3.983595275	0.000407283	0.049868626														
MBNL3	-0.109726027	1	1														
SLC44A5	3.667195055	0.001471354	0.101358677														
TYW3	2.068325441	0.231656586	1														
PSMA7	0.392375604	1	1														
LRRC1	1.237783261	1	1														
FPGT	3.304734346	0.005703988	0.195780539														
EXOSC1	-1.015093321	1	1														
IGSF1	-2.491649876	0.076290786	0.712930809														
KLHL31	1.664693276	0.575843791	1														
ZRANB2	-0.356097353	1	1														
CTH	1.837062496	0.397204019	1														
LRRC40	2.223896529	0.15693244	1														
GADD45A	0.072430113	1	1														
PPP1R3D	-0.538163529	1	1														
C1orf141	3.541611002	0.002386149	0.122603241														
PHACTR3	-1.416737033	0.939358953	1														
FRAT1	-1.687189508	0.549401509	1														
WDR78	2.548562143	0.064900808	0.659574533														
LEPROT	1.395950497	0.976376417	1														
DNAJC6	1.579019921	0.685988927	1														
ROR1	1.483519873	0.827618043	1														
PGM1	-0.241955881	1	1														
EFCAB7	3.152916391	0.009698886	0.253085273														
XPNPEP2	0.876413612	1	1														
OCRL	-0.208065477	1	1														
PKHD1	3.028946284	0.014724499	0.313580111														
SMARCA1	-0.030187975	1	1														
PRR32	-0.240414005	1	1														
ANGPTL3	3.31938968	0.005412867	0.190824003														
STX16	-0.387431257	1	1														
TM9SF3	-1.701281368	0.53334099	1														
USP1	2.777607304	0.032856453	0.462814998														
APCDD1L	0.240769516	1	1														
KANK4	2.997507081	0.016331852	0.32978435														
CRISP3	0.296398777	1	1														
C20orf85	1.098246438	1	1														
OPALIN	0.129835899	1	1														
DNTT	2.293848096	0.130795354	0.942689242														
GLYATL3	-0.566301755	1	1														
C1orf87	2.243950464	0.149013532	0.996083107														
ENTPD1	-1.358911473	1	1														
HOOK1	0.493514546	1	1														
ADGRF4	2.625322623	0.05194014	0.586437912														
ALDH18A1	0.453376206	1	1														
TACSTD2	1.444969595	0.890798557	1														
OMA1	1.645040863	0.599768307	1														
DAB1	-0.323310388	1	1														
C8B	1.234854353	1	1														
ADGRF1	5.093347009	2.11E-06	0.002677767														
SPO11	0.714087361	1	1														
TMEM61	2.625656936	0.051889159	0.586437912														
LEXM	-0.83669606	1	1														
TTC22	0.154167521	1	1														
PARS2	0.541482374	1	1														
TTC4	0.590271992	1	1														
MCTS1	-1.189505107	1	1														
SSBP3	0.322004093	1	1														
TCEANC2	0.363230942	1	1														
CACNA1B	-1.866752342	0.371617084	1														
LDLRAD1	2.092690888	0.218260543	1														
NOC3L	-0.382556945	1	1														
LRRC42	4.033614047	0.000329553	0.045458468														
PLCE1	2.640716865	0.049638496	0.573590383														
ENPP5	1.281670117	1	1														
FAM210B	2.213601078	0.161137399	1														
SLC35G1	2.065077023	0.233494279	1														
PFDN4	-0.718663382	1	1														
ARRDC1	-3.289256106	0.006027154	0.200173897														
NDC1	1.424231837	0.92627623	1														
RNF113A	0.763611794	1	1														
MRPL41	-1.130985414	1	1														
PDE6C	0.489306864	1	1														
SUPT3H	2.482689054	0.078236913	0.720367931														
RBP4	0.537805726	1	1														
ZNF217	0.880166954	1	1														
NSMF	-2.189683338	0.171283262	1														
FFAR4	0.986081847	1	1														
CEP55	1.234231966	1	1														
TSHZ2	1.196455362	1	1														
TCTE1	3.178245913	0.008890141	0.242933605														
ENTPD8	-0.790289517	1	1														
SCP2	0.226074088	1	1														
NDOR1	0.801221074	1	1														
ECHDC2	-0.227922331	1	1														
ZYG11A	3.348970881	0.004866739	0.179042154														
LRRC26	1.093259005	1	1														
GRIN1	-0.80537167	1	1														
ORC1	1.964446341	0.296870119	1														
KCNG1	-1.562892665	0.708467059	1														
DPP7	-0.054968218	1	1														
CC2D1B	1.962516978	0.298213956	1														
DPM1	2.314268288	0.123918061	0.911069624														
MAN1B1	0.496479288	1	1														
NPDC1	-0.209851661	1	1														
PARD6B	1.569144649	0.699685428	1														
KTI12	0.653935629	1	1														
PAXX	-1.406004548	0.958336646	1														
PTPN1	1.500291323	0.801233737	1														
PTGDS	-1.771745671	0.458620708	1														
LONRF3	0.123779256	1	1														
LCN12	-1.548285435	0.729321538	1														
C8G	0.858426989	1	1														
TMEM189	0.517264733	1	1														
RABL6	-1.819828864	0.412710424	1														
IL13RA1	-1.625310952	0.624577914	1														
LCN8	1.372919085	1	1														
DIPK1B	-1.955926492	0.302842884	1														
AGPAT2	-0.96660134	1	1														
ANKRD1	-0.689107532	1	1														
EGFL7	0.324645737	1	1														
INPP5E	0.118272004	1	1														
PMPCA	-1.338557378	1	1														
KIF20B	1.996208609	0.275467325	1														
CARD9	0.120995164	1	1														
EPS15	1.669033579	0.570664351	1														
DNLZ	1.144537481	1	1														
KCNB1	1.322960555	1	1														
LHX3	0.145967222	1	1														
ZNFX1	-1.445640607	0.889668186	1														
UBAC1	-0.054004865	1	1														
C1orf185	1.301492365	1	1														
MRPS2	1.123725264	1	1														
SLC16A12	1.324999137	1	1														
IFIT1	0.086726337	1	1														
IFIT3	1.826449877	0.406695149	1														
COL5A1	-1.790095687	0.440631181	1														
AGBL4	0.316324381	1	1														
SPATA6	-0.061801933	1	1														
VAV2	-0.682676691	1	1														
CH25H	0.668373948	1	1														
STAU1	3.596560956	0.001934712	0.112149761														
SARDH	1.551950507	0.724044398	1														
PDZK1IP1	-0.72706508	1	1														
SLC2A6	-1.099841362	1	1														
CYP4X1	-2.85117881	0.02613448	0.408840877														
ARFGEF2	0.318082756	1	1														
STAMBPL1	1.587307181	0.674658538	1														
ADAMTS13	-0.070580181	1	1														
ANKRD22	0.715513639	1	1														
IL13RA2	2.13306965	0.197514078	1														
PREX1	2.326259781	0.120028177	0.900526595														
REXO4	-0.704828576	1	1														
MKNK1	1.108245396	1	1														
PTEN	-2.69478493	0.042260446	0.533511188														
STKLD1	-1.163446782	1	1														
AMOT	0.502886217	1	1														
SURF2	-0.134008097	1	1														
SURF1	0.612403459	1	1														
LURAP1	0.577403151	1	1														
POMGNT1	0.470606766	1	1														
MINPP1	-0.550639532	1	1														
NCOA3	1.200622608	1	1														
TSPAN1	2.878815625	0.023950298	0.397631147														
MRPL14	1.900989349	0.343820447	1														
SURF6	-0.693687824	1	1														
TMEM69	3.025213096	0.01490748	0.314477351														
MMRN2	0.786646441	1	1														
GBGT1	-0.272450993	1	1														
VEGFA	0.758319234	1	1														
AKR1A1	0.537826026	1	1														
OPN4	1.76873119	0.461632468	1														
TESK2	1.390023889	0.98712974	1														
CCSER2	-0.22527612	1	1														
TOE1	2.03028585	0.25396495	1														
MUTYH	3.177595259	0.008910114	0.242958008														
LRIT1	-2.732765653	0.037683001	0.498810113														
GTF3C5	0.562664111	1	1														
IRS4	-0.71091635	1	1														
MRPS18A	3.062051097	0.013189555	0.292097042														
GHITM	-0.552622217	1	1														
SPACA9	0.277779673	1	1														
GTF3C4	-0.617925204	1	1														
RSPH9	1.758007649	0.472477248	1														
MAD2L1BP	0.072394486	1	1														
HECTD3	-0.533285563	1	1														
RAPGEF1	1.040940851	1	1														
PTCH2	3.360825073	0.004662601	0.177776434														
DYDC2	1.625347358	0.624531396	1														
PLK3	-0.38151987	1	1														
DYDC1	2.308668802	0.125771801	0.920447191														
BEST4	0.201311377	1	1														
UCK1	0.495931448	1	1														
MAT1A	1.19978956	1	1														
KIF2C	1.072072756	1	1														
POMT1	0.499134119	1	1														
ATG4A	0.356556835	1	1														
POLH	3.102693386	0.011506093	0.271424247														
TMEM53	2.82333555	0.028516081	0.431263385														
ERI3	-0.39264509	1	1														
PLAC9	1.37766179	1	1														
CD40	-1.615834691	0.636780354	1														
KLF17	2.48066195	0.078683206	0.722387848														
CCDC24	0.685133048	1	1														
SFTPA2	1.092127052	1	1														
MMP9	-1.170724231	1	1														
ZCCHC24	-2.413706855	0.094746969	0.789599411														
FIBCD1	0.022927275	1	1														
ABL1	2.148827049	0.189888674	1														
POLR3A	0.323190298	1	1														
DLG5	1.277542031	1	1														
KDM4A	1.228270793	1	1														
PCIF1	0.417860633	1	1														
USP20	0.381933219	1	1														
PLTP	-0.125953846	1	1														
HYI	0.374762294	1	1														
TJAP1	0.854305645	1	1														
C9orf78	0.444666922	1	1														
DNAAF6	1.179522511	1	1														
ELOVL1	1.602354031	0.654464064	1														
NUP62CL	-0.654258697	1	1														
MPL	3.952088478	0.000464833	0.055319412														
TIE1	0.091488294	1	1														
RBM41	1.712886109	0.520400966	1														
CTSA	1.309497005	1	1														
ZNF691	2.196127545	0.168496893	1														
ERMAP	1.336116112	1	1														
NEURL2	-2.188988276	0.171586153	1														
SPATA25	0.36271618	1	1														
ZSWIM1	0.404583468	1	1														
ZNF503	-0.485090205	1	1														
C1orf50	2.727840964	0.038250201	0.501449419														
ABCC10	3.150490699	0.009779787	0.253776025														
COMTD1	1.710577631	0.522954667	1														
RADX	7.78E-05	1	1														
TNNC2	-0.429045493	1	1														
PPCS	2.20538634	0.164561975	1														
SERPINA7	4.901298413	5.71E-06	0.005595436														
ZMYND12	1.53866465	0.74331712	1														
NUP188	1.079530785	1	1														
GUCA2B	3.831251605	0.000764958	0.069578419														
IL1RAPL2	0.677221186	1	1														
HIVEP3	1.377594341	1	1														
SLC22A7	2.478285838	0.079209203	0.725125798														
DOLK	-0.049484359	1	1														
EDN2	0.046802719	1	1														
GLRA4	-1.511778231	0.783541735	1														
ENDOG	0.248261354	1	1														
ZDHHC12	-1.201958597	1	1														
WDR34	0.138444821	1	1														
DBNDD2	0.871258147	1	1														
SDC4	0.858369748	1	1														
COL9A2	1.441682144	0.896352379	1														
MATN4	2.825192253	0.028351353	0.430129382														
ZMPSTE24	0.313946023	1	1														
PLAU	0.528493046	1	1														
TMCO2	0.576627285	1	1														
RLF	1.489399971	0.818292458	1														
CAP1	1.031508394	1	1														
GNMT	2.227281674	0.155570727	1														
MFSD2A	1.553066231	0.722443876	1														
TOMM34	-0.626222451	1	1														
CHCHD1	1.644958208	0.599870579	1														
CNPY3	0.958835792	1	1														
CERCAM	0.894676348	1	1														
FUT11	2.204828103	0.164796955	1														
RIMS4	-1.086177218	1	1														
HEYL	0.705767207	1	1														
KCNK15	4.386447908	6.91E-05	0.024576648														
CCN5	-0.299963905	1	1														
ADA	-0.661526589	1	1														
TBCC	3.260669152	0.006668979	0.209910264														
TRUB2	0.208204985	1	1														
UBR2	0.775996267	1	1														
TIMM8A	-0.726079844	1	1														
ANXA7	1.782589519	0.447918883	1														
CENPI	1.928141153	0.323025429	1														
MRPS16	1.241700913	1	1														
DNAJC9	1.105264944	1	1														
XKRX	0.156604361	1	1														
NOX1	0.332590326	1	1														
NDUFS5	2.092901721	0.218147572	1														
ECD	3.309101121	0.005615762	0.194205896														
JPH2	1.316628446	1	1														
RHBDL2	0.568077655	1	1														
C9orf16	-2.551889733	0.064284253	0.656301849														
RRAGC	-0.576665248	1	1														
SRPX2	-0.818918245	1	1														
POU3F1	-2.461696892	0.082968885	0.73881951														
UTP11	0.075053899	1	1														
FRS3	0.701606743	1	1														
SF3A3	-2.125502305	0.100634166	0.814652062														
TSPAN6	0.957825251	1	1														
INPP5B	0.747012762	1	1														
PGC	5.915927441	1.98E-08	8.40E-05														
PLA2G12B	-0.364044291	1	1														
PCDH19	-0.050740494	1	1														
MTF1	3.742042406	0.001095184	0.087162974														
C1orf122	0.100638546	1	1														
YRDC	1.854953225	0.381617438	1														
EPHA10	2.239860695	0.150599808	1														
MDFI	0.736098365	1	1														
FOXP4	1.040122697	1	1														
DIAPH2	0.386526883	1	1														
GNL2	2.339165899	0.115961095	0.881461571														
ZC3H12A	2.238037266	0.15131175	1														
PCDH11X	1.757096911	0.473407753	1														
CSF3R	2.898594987	0.022490325	0.386353556														
TREM2	0.811288909	1	1														
CHST3	0.559426945	1	1														
MRPS15	2.266563552	0.140501404	0.968676169														
KLHL4	0.195141587	1	1														
DACH2	-0.503571136	1	1														
