"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"vs_HLdinBra1","vs_HLdinBra1","Pacarana","0"
"vs_dipOrd2","vs_dipOrd2","Ord Kangaroo Rat","0"
"vs_HLdolPat1","vs_HLdolPat1","Patagonian cavy","0"
"vs_echTel2","vs_echTel2","Tenrec","0"
"vs_HLeidHel2","vs_HLeidHel2","Straw-colored Fruit Bats","0"
"vs_eleEdw1","vs_eleEdw1","Cape elephant shrew","0"
"vs_HLellLut1","vs_HLellLut1","Transcaucasian mole vole","0"
"vs_HLellTal1","vs_HLellTal1","Northern Mole Vole","0"
"vs_eptFus1","vs_eptFus1","Big brown bat","0"
"vs_equCab3","vs_equCab3","Horse","0"
"vs_eriEur2","vs_eriEur2","Hedgehog","0"
"vs_HLeryPat1","vs_HLeryPat1","Red Guenon","0"
"vs_HLescRob1","vs_HLescRob1","Gray Whale","0"
"vs_HLeulFul1","vs_HLeulFul1","Common Brown Lemur","0"
"vs_HLgliGli1","vs_HLgliGli1","Fat dormouse","0"
"vs_HLgraMur1","vs_HLgraMur1","African dormouse","0"
"vs_hetGla2","vs_hetGla2","Naked mole-rat","0"
"vs_HLhipArm1","vs_HLhipArm1","Great Roundleaf Bat","0"
"vs_HLhipGal1","vs_HLhipGal1","Cantor's roundleaf bat","0"
"vs_HLhyaHya1","vs_HLhyaHya1","Striped hyaena","0"
"vs_HLhydHyd1","vs_HLhydHyd1","Capybara","0"
"vs_HLhysCri1","vs_HLhysCri1","Porcupine","0"
"vs_HLindInd1","vs_HLindInd1","Indri","0"
"vs_HLlniGeo1","vs_HLlniGeo1","Amazon Dolphin","0"
"vs_jacJac1","vs_jacJac1","Lesser Egyptian jerboa","0"
"vs_HLkogBre1","vs_HLkogBre1","Dwarf Sperm Whales","0"
"vs_HLlasBor1","vs_HLlasBor1","Hairy-taled Bats","0"
"vs_lepWed1","vs_lepWed1","Weddell seal","0"
"vs_lipVex1","vs_lipVex1","Chinese River Dolphin","0"
"vs_HLloxAfr4","vs_HLloxAfr4","Elephant","0"
"vs_HLlycPic2","vs_HLlycPic2","African Hunting Dog ","0"
"vs_macNem1","vs_macNem1","Southern Pig-tailed Macaca","0"
"vs_HLmacSob1","vs_HLmacSob1","Long-tongued Fruit Bats","0"
"vs_HLmanJav1","vs_HLmanJav1","Sunda pangolin","0"
"vs_HLmegLyr2","vs_HLmegLyr2","Asian False Vampire Bats","0"
"vs_HLmelCap1","vs_HLmelCap1","Honey Badger","0"
"vs_HLmerUng1","vs_HLmerUng1","Jird","0"
"vs_mesAur1","vs_mesAur1","Golden hamster","0"
"vs_HLmesBid1","vs_HLmesBid1","Beaked Whale","0"
"vs_HLmicHir1","vs_HLmicHir1","Little Big-eared Bats","0"
"vs_HLminSch1","vs_HLminSch1","Common Bent-wing Bat","0"
"vs_HLmirAng2","vs_HLmirAng2","Elephant Seal","0"
"vs_HLmirCoq1","vs_HLmirCoq1","Coquerel's Dwarf Lemur","0"
"vs_monDom5","vs_monDom5","Opossum","0"
"vs_HLmorBla1","vs_HLmorBla1","Leaf-chinned Bats","0"
"vs_HLmunMug1","vs_HLmunMug1","Banded mongoose","0"
"vs_HLmusCar1","vs_HLmusCar1","Ryukyu mouse","0"
"vs_HLmusPah1","vs_HLmusPah1","Gairdner's shrewmouse","0"
"vs_HLmusAve1","vs_HLmusAve1","Common dormouse","0"
"vs_HLmusPut1","vs_HLmusPut1","Ferret","0"
"vs_HLmyoCoy1","vs_HLmyoCoy1","Nutria","0"
"vs_myoDav1","vs_myoDav1","David's myotis bat","0"
"vs_HLmyoLuc1","vs_HLmyoLuc1","Microbat","0"
"vs_HLmyoMyo6","vs_HLmyoMyo6","Greater mouse-eared bat","0"
"vs_HLnocLep1","vs_HLnocLep1","Fisherman Bats","0"
"vs_HLnycCou1","vs_HLnycCou1","Slow Loris","0"
"vs_ochPri3","vs_ochPri3","Pika","0"
"vs_octDeg1","vs_octDeg1","Brush-tailed rat","0"
"vs_HLodoRos1","vs_HLodoRos1","Pacific walrus","0"
"vs_HLondZib1","vs_HLondZib1","Muskrat","0"
"vs_HLonyTor1","vs_HLonyTor1","Southern grasshopper mouse","0"
"vs_orcOrc1","vs_orcOrc1","Killer whale","0"
"vs_HLornAna3","vs_HLornAna3","Platypus","0"
"vs_oryAfe1","vs_oryAfe1","Aardvark","0"
"vs_otoGar3","vs_otoGar3","Bushbaby","0"
"vs_panTro6","vs_panTro6","Chimp","0"
"vs_HLpapAnu5","vs_HLpapAnu5","Olive Baboon","0"
"vs_HLparHer1","vs_HLparHer1","Palm Civet","0"
"vs_HLperLonPac1","vs_HLperLonPac1","Silky Pocket Mouse","0"
"vs_HLperManBai2","vs_HLperManBai2","Deer mouse","0"
"vs_HLpetTyp1","vs_HLpetTyp1","Dassie rat","0"
"vs_HLpipPip1","vs_HLpipPip1","Pipistrelles","0"
"vs_HLpitPit1","vs_HLpitPit1","Saki","0"
"vs_ponAbe3","vs_ponAbe3","Orangutan","0"
"vs_HLproCap3","vs_HLproCap3","Hydrax","0"
"vs_HLpsaObe1","vs_HLpsaObe1","Fat sand rat","0"
"vs_HLratNor7","vs_HLratNor7","Rat","0"
