"","Rho","N","P","p.adj","permPValue","qValueNoperm","qValuePerm"
"UPP2",0.0777713771047819,32,0.60150813444059,1,0.999997625656209,1,0.999998240152332
"PRSS21",NA,NA,NA,NA,NA,NA,NA
"MARK4",-0.0587968040575849,54,0.603439408904629,1,0.999997871389344,1,0.999998240152332
"PROM1",NA,NA,NA,NA,NA,NA,NA
"CCDC124",0.055794898657775,68,0.578707175711768,1,0.999993200193115,1,0.999998240152332
"PAFAH1B1",-0.166991553264794,41,0.201242620957724,1,0.307787711388432,1,0.999998240152332
"NOS2",0.031510052661165,59,0.770709705706111,1,0.999997625656209,1,0.999998240152332
"DNAH9",-0.0198779268053623,38,0.883782185585655,1,0.883248186037017,1,0.999998240152332
"BLTP2",0.0258902195602594,62,0.805929058944871,1,0.999991420065036,1,0.999998240152332
"SLC13A2",-0.065021632695425,54,0.565659088074039,1,0.99993954050786,1,0.999998240152332
"GAS7",-0.104574722748857,48,0.384820773523065,1,0,1,0
"TRAPPC6A",-0.00910379896311753,57,0.934077936550405,1,0,1,0
"MATK",-0.00420294224883908,37,0.975687355291384,1,0.999997392621641,1,0.999998240152332
"CD79B",-0.177571201301144,37,0.197887812135486,1,0.535837432761712,1,0.999998240152332
"SCN4A",0.11453422015351,48,0.341190973930472,1,0.200293598119049,1,0.999998240152332
"ST7L",0.0426355543820392,58,0.695886261876501,1,0.999998187394416,1,0.999998240152332
"TKTL1",0.162650012158089,10,0.568811400413337,1,0.999995254973974,1,0.999998240152332
"PAX6",-0.0496608887642327,24,0.775032604908896,1,0,1,0
"RPUSD1",-0.0373023548476495,22,0.837761913983851,1,0.999991420065036,1,0.999998240152332
"RHBDF1",-0.0666942319631378,31,0.659681877818457,1,0.0884447962010289,1,0.741406983255195
"LUC7L",-0.0625270504232531,56,0.573485103377122,1,0.99993954050786,1,0.999998240152332
"CACNA2D2",-0.0636595070120767,41,0.626117479916739,1,0.843355474420446,1,0.999998240152332
"BAIAP3",0.00910379896311753,57,0.934077936550405,1,0.794358640539207,1,0.999998240152332
"TSR3",0,65,1,1,0,1,0
"PIGQ",0.0367739104789881,68,0.714382889841032,1,0.999998187394416,1,0.999998240152332
"CRAMP1",0.00507226351434318,68,0.959740312506868,1,0.999997786048118,1,0.999998240152332
"TEAD3",-0.197923695331785,40,0.134849226699296,1,0.99993954050786,1,0.999998240152332
"SELE",-0.0284267621807481,25,0.867174601424439,1,0.999993200193115,1,0.999998240152332
"DNAJC11",-0.028120236731305,66,0.782866699669326,1,0.351504718184137,1,0.999998240152332
"FMO3",-0.173954026417552,64,0.0933533279197416,1,0.99993954050786,1,0.999998240152332
"MYLIP",-0.124270456101408,68,0.21618105713166,1,0.999991420065036,1,0.999998240152332
"NOX1",-0.100916529798716,45,0.417429194992072,1,0.680055486424186,1,0.999998240152332
"PSMB1",0.0326435455427419,66,0.749032993448596,1,0,1,0
"SYN1",-0.0128448151289569,58,0.906257585986684,1,0.99999776706465,1,0.999998240152332
"JARID2",0.0108218834123928,46,0.929908548180603,1,0.999997625656209,1,0.999998240152332
"CDKL5",0.0271810451120902,60,0.799804937182689,1,0.999998187394416,1,0.999998240152332
"CAMK1G",0.00497567861688777,34,0.972475828466415,1,0.999997786048118,1,0.999998240152332
"NADK",0.0110341853688094,56,0.920868378195854,1,0.999994314822395,1,0.999998240152332
"TFAP2D",NA,NA,NA,NA,NA,NA,NA
"DLEC1",-0.0814900515848111,55,0.467328473727883,1,0.792517492503213,1,0.999998240152332
"CYTH3",-0.115159064709154,66,0.259072141250941,1,0.766226900799853,1,0.999998240152332
"ADAM22",-0.317829688091089,51,0.00641281427704811,1,0.228664517456616,1,0.999998240152332
"SYPL1",0.0354279699922623,64,0.732546764604725,1,0.999998240152332,1,0.999998240152332
"CYB561",-0.00158142548943501,61,0.988126928189484,1,0.999996331998181,1,0.999998240152332
"SPAG9",-0.035114257347645,61,0.741078327261265,1,0.999998187394416,1,0.999998240152332
"CELSR3",-0.0855757102533048,57,0.436849909467615,1,0.112462006079027,1,0.87421027066455
"AASS",0.0141711879969049,64,0.891271174493957,1,0.99993954050786,1,0.999998240152332
"PLEKHG6",-0.139497256152448,49,0.241286618568704,1,0.0596978830153946,1,0.52652881175009
"SS18L2",-0.00825226547725335,53,0.942439523632546,1,0.999998187394416,1,0.999998240152332
"MPND",-0.0297681319897904,67,0.768755423197306,1,0.999998187394416,1,0.999998240152332
"MGST1",-0.0515955285711012,55,0.645376251302274,1,0.936162911435283,1,0.999998240152332
"CRY1",0.0191669355923945,65,0.852155624499068,1,0,1,0
"PGLYRP1",-0.188712839024099,13,0.440400698139003,1,0.46005549875858,1,0.999998240152332
"NFIX",0.117569789198115,54,0.298939043413545,1,0.426388306964431,1,0.999998240152332
"ST3GAL1",NA,NA,NA,NA,NA,NA,NA
"MMP25",-0.182081204434379,61,0.0866413826175594,1,0.276686982479341,1,0.999998240152332
"PKD1",0.0356159927970223,44,0.777297410789522,1,0.999998187394416,1,0.999998240152332
"MAPK8IP2",-0.0346713668816579,55,0.757136184738046,1,0.999993200193115,1,0.999998240152332
"MED24",0.00275428797707474,65,0.978634265741958,1,0.999978746918303,1,0.999998240152332
"RHOBTB2",0,57,1,1,0,1,0
"HEATR5B",-0.0436989484810084,58,0.688693527589982,1,0.99993954050786,1,0.999998240152332
"SEC62",-0.0495451790027755,66,0.627282830858096,1,0.141903544371134,1,0.881985106552892
"CSDE1",-0.0661452989084736,62,0.530216610920017,1,0.397426472491574,1,0.999998240152332
"UBE3C",-0.0984592848299782,65,0.338383660927284,1,0,1,0
"REV3L",-0.0803435335180144,66,0.431055818951591,1,0.141903544371134,1,0.881985106552892
"TENM1",0.010223972648865,41,0.937632308094486,1,0.999997786048118,1,0.999998240152332
"PAX7",NA,NA,NA,NA,NA,NA,NA
"MASP2",-0.176572048939494,69,0.076642773823286,1,0.351504718184137,1,0.999998240152332
"IYD",-0.102658887183694,57,0.350955308639846,1,0.99993954050786,1,0.999998240152332
"FAM76A",0.0241088516818307,58,0.825070520457273,1,0.99993954050786,1,0.999998240152332
"TRAF3IP3",-0.0264774117434518,66,0.795260986921156,1,0.847731534504959,1,0.999998240152332
"POMT2",-0.171471374762549,64,0.0981233824969847,1,0,1,0
"VTA1",-0.0174077655955698,66,0.864538026866961,1,0,1,0
"MLXIPL",-0.129451097801297,62,0.219294675380796,1,0.353561921326984,1,0.999998240152332
"BAZ1B",-0.0976410726511063,68,0.331185029602302,1,0.351504718184137,1,0.999998240152332
"RANBP9",0.00930238148193878,62,0.929659314205143,1,0.999998061493309,1,0.999998240152332
"ETV7",NA,NA,NA,NA,NA,NA,NA
"SPRTN",0.00537070663330036,57,0.961080949261351,1,0.81871769030546,1,0.999998240152332
"METTL13",0.0380841364665322,66,0.708974428911641,1,0.217948211108915,1,0.999998240152332
"DYRK4",0.0216067907850721,18,0.915424584298719,1,0.999993696816893,1,0.999998240152332
"ZNF207",0.0629357679224446,66,0.537375978733466,1,0.724274573175016,1,0.999998240152332
"UQCRC1",-0.0608671621721182,68,0.544678392863482,1,0.999998187394416,1,0.999998240152332
"STARD3NL",-0.0215595097155339,59,0.841941337007716,1,0.734791987441319,1,0.999998240152332
"CD9",0.0415108256509741,66,0.684142982673364,1,0.999991420065036,1,0.999998240152332
"HHATL",-0.121110219452863,34,0.401006483409924,1,0.999993200193115,1,0.999998240152332
"NCAPD2",-0.0672074915650472,68,0.503589304430051,1,0.141903544371134,1,0.881985106552892
"IFFO1",0.0278290975275073,38,0.837848032415042,1,0.999997864251847,1,0.999998240152332
"GIPR",0.00877058019307029,26,0.957967251805562,1,0.999991181113473,1,0.999998240152332
"PHF7",-0.21927163526382,41,0.0933219024710248,1,0.242245954331971,1,0.999998240152332
"SEMA3G",-0.0442115569377615,58,0.685236254818152,1,0.797801619314795,1,0.999998240152332
"NISCH",0.180767614415003,49,0.128901508766054,1,0.944691965807008,1,0.999998240152332
"STAB1",0.0852718302511055,62,0.418415301619938,1,0,1,0
"FUZ",-0.231376987486855,59,0.0323482380346919,1,0.208708445501784,1,0.999998240152332
"SLC6A13",0.21053798026663,48,0.0801812246793444,1,0.304271502023183,1,0.999998240152332
"IDS",0.0307983545152388,66,0.762780608741561,1,0.231041778329431,1,0.999998240152332
"ZNF200",0.043837575820391,54,0.698535358303339,1,0.999998187394416,1,0.999998240152332
"CD4",-0.0280415390802197,48,0.815735131836463,1,0.999996414883968,1,0.999998240152332
"LRRC23",-0.108230629773451,49,0.363277660936094,1,0.298426961154171,1,0.999998240152332
"BTK",-0.114964269304785,56,0.300662129328781,1,0.141903544371134,1,0.881985106552892
"HFE",0.0470078093001575,50,0.689865651014755,1,0.15342882604821,1,0.944737022034364
"SCMH1",-0.176245925520638,55,0.115953586137955,1,0,1,0
"FYN",-0.162980103169622,55,0.146039118048844,1,0.255237794903128,1,0.999998240152332
"HIVEP2",NA,NA,NA,NA,NA,NA,NA
"FMO1",-0.0550867239195998,52,0.633187660781809,1,0,1,0
"ELOA",0.0489653183141129,66,0.63131837576298,1,0.999998187394416,1,0.999998240152332
"LYPLA2",-0.0950731813296504,66,0.351470731279953,1,0.999997786048118,1,0.999998240152332
"CLCN6",-0.0190209881787869,68,0.849859265484803,1,0.999991420065036,1,0.999998240152332
"MRC2",-0.198581568718347,66,0.0516369925982246,1,0.189359184330358,1,0.999998240152332
"SLC6A7",-0.0361845778992201,38,0.790169451022532,1,0.99993954050786,1,0.999998240152332
"TSPAN9",0.00493243622303575,60,0.96329454497708,1,0.999998187394416,1,0.999998240152332
"APBA3",-0.115010926557059,64,0.267257493154388,1,0.433264178187914,1,0.999998240152332
"MKS1",-0.151833527039905,62,0.149641101685076,1,0,1,0
"ABHD5",0.103876593214983,62,0.324270257669242,1,0.243890863703022,1,0.999998240152332
"ANOS1",-0.199813594260811,52,0.0834358280882949,1,0.432870152186365,1,0.999998240152332
"AKAP8L",-0.0595990962935324,68,0.553091663704875,1,0,1,0
"MBTD1",0.0572891899231546,40,0.665159038276376,1,0.999998187394416,1,0.999998240152332
"UTP18",-0.0405781081147455,68,0.686333523268837,1,0.999990001199856,1,0.999998240152332
"RNF216",-0.145555627434896,60,0.174452200756426,1,0.212884480299708,1,0.999998240152332
"TTC19",-0.0824815222131074,60,0.441564594766279,1,0.112462006079027,1,0.87421027066455
"PTBP1",-0.120022614760537,60,0.262793544045965,1,0,1,0
"DPF1",-0.118469775551818,19,0.548506235500147,1,0.276843228292846,1,0.999998240152332
"SYT7",-0.0851869990541116,50,0.469599483935707,1,0.999991420065036,1,0.999998240152332
"PIK3C2A",0.0547713598396044,59,0.612436863173879,1,0.679451967024049,1,0.999998240152332
"PLAUR",NA,NA,NA,NA,NA,NA,NA
"ANLN",-0.0636595070120767,41,0.626117479916739,1,0.691895671476138,1,0.999998240152332
"WIZ",-0.0650256088762355,43,0.609893133886768,1,0.999991420065036,1,0.999998240152332
"RABGAP1",-0.153891934580346,40,0.244990156367002,1,0.999991420065036,1,0.999998240152332
"DCN",0.0874965456224199,68,0.383879320587852,1,0.741041959557175,1,0.999998240152332
"QPCTL",0.0330656413851545,64,0.749762446900944,1,0.81871769030546,1,0.999998240152332
"PPP5C",0.127210594736856,66,0.212509416455259,1,0.219882200075191,1,0.999998240152332
"CEP68",-0.0884096025115927,66,0.386251302059872,1,0.858087875693902,1,0.999998240152332
"MAP4K3",-0.00485185424782985,60,0.963893794791117,1,0.99993954050786,1,0.999998240152332
"ZBTB32",NA,NA,NA,NA,NA,NA,NA
"TYROBP",-0.110974190404619,29,0.479500122186953,1,0.999998187394416,1,0.999998240152332
"LDAF1",-0.108465228909328,18,0.593954675326915,1,0,1,0
"GABRA3",0.0395477859112111,31,0.794002680192762,1,0.999998187394416,1,0.999998240152332
"BRCA1",0.0594305699341715,58,0.585853245493651,1,0.999998187394416,1,0.999998240152332
"ERCC1",-0.0578722554876386,62,0.582889032248327,1,0.894041331782321,1,0.999998240152332
"CD22",-0.142861903016514,39,0.286868651325368,1,0.520368253741472,1,0.999998240152332
"SEMA3B",-0.00952103411663306,66,0.925658515751337,1,0.999998240152332,1,0.999998240152332
"MBTPS2",-0.0811783213876721,62,0.441104825356111,1,0.99993954050786,1,0.999998240152332
